aor|apprehension_landmark|n
DAL|BOWIE COUNTY GENERAL AREA|1
DAL|BOWIE COUNTY JAIL|3
DAL|BOWIE COUNTY NON CRIM|1
DAL|BOWIE COUNTY PROBATION|15
DAL|BOWIE COUNTY SHERIFF'S OFFICE|1
DAL|BOWIE COUNTY SHERIFFS OFFICE|13
DAL|BROWN COUNTY JAIL - BROWNWOOD, TX|11
DAL|BROWN COUNTY, TX AT LARGE|5
DAL|BROWN COUNTY, TX JAIL|12
DAL|BRYAN COUNTY JAIL|52
DAL|BSA GENERAL AREA, NON-SPECIFIC|1
DAL|BSC GENERAL AREA, NON-SPECIFIC|2748
DAL|BURLESON POLICE DEPARTMENT|2
DAL|CADDO COUNTY JAIL|7
DAL|CALLAHAN COUNTY, TX JAIL|2
DAL|CAMP COUNTY CRIM AT LARGE|4
DAL|CAMP COUNTY GENERAL AREA|2
DAL|CAMP COUNTY NON CRIM|1
DAL|CAMP COUNTY PROBATION|3
DAL|CAMP COUNTY SHERIFFS OFFICE|18
DAL|CANADIAN COUNTY JAIL|66
DAL|CAP - HARLINGEN CITY JAIL TX STATE|1
DAL|CAP - LEWIS|2
DAL|CAP - RUSSELL COUNTY JAIL, AL STATE|1
DAL|CARROLLTON CITY JAIL|404
DAL|CARSON COUNTY|51
DAL|CARSWELL FMC|29
DAL|CARSWELL JOINT RESERVE BASE, NAVAL AIR STATION, FTW|4
DAL|CARTER COUNTY JAIL|33
DAL|CASS COUNTY SHERIFFS OFFICE|4
DAL|CASTRO COUNTY|50
DAL|CAX GENERAL AREA, NON-SPECIFIC|1
DAL|CEDAR HILL POLICE DEPARTMENT|10
DAL|CHEROKEE COUNTY CRIM AT LARGE|13
DAL|CHEROKEE COUNTY JAIL|33
DAL|CHEROKEE COUNTY NON CRIM|1
DAL|CHEROKEE COUNTY PROBATION|11
DAL|CHEROKEE COUNTY SHERIFFS OFFICE|51
DAL|CHILDRESS COUNTY|7
DAL|CHOCTAW COUNTY JAIL|5
DAL|CIMARRON COUNTY JAIL|6
DAL|CLAY COUNTY GENERAL AREA|1
DAL|CLAY COUNTY SHERIFFS OFFICE|4
DAL|CLEBURNE POLICE DEPARTMENT|1
DAL|CLEVELAND COUNTY JAIL|58
DAL|COCHRAN COUNTY JAIL|11
DAL|COCKRELL HILL POLICE DEPARTMENT|9
DAL|COLEMAN COUNTY, TX AT LARGE|1
DAL|COLEMAN COUNTY, TX JAIL|2
DAL|COLLEYVILLE POLICE DEPARTMENT|5
DAL|COLLIN COUNTY GENERAL AREA|158
DAL|COLLIN COUNTY JAIL|732
DAL|COLLINGSWORTH COUNTY|4
DAL|COMANCHE COUNTY JAIL|23
DAL|COOK COUNTY GENERAL AREA|2
DAL|COOKE COUNTY SHERIFFS OFFICE|79
DAL|COPPELL POLICE DEPARTMENT|5
DAL|CORCORAN POLICE DEPARTMENT|1
DAL|CORNELL - AIRPARK|1
DAL|CORNELL - CEDAR HILL|1
DAL|CORNELL - FLIGHTLINE|2
DAL|CORSICANA CORRECTION CENTER|5
DAL|COTTON COUNTY JAIL|10
DAL|CRAIG COUNTY JAIL|11
DAL|CREEK COUNTY JAIL|9
DAL|CROCKETT COUNTY, TX JAIL|2
DAL|CROSBY COUNTY JAIL|2
DAL|CROWLEY POLICE DEPARTMENT|1
DAL|CUSTER COUNTY JAIL|22
DAL|DAL COUNTY JAIL|5892
DAL|DAL GENERAL AREA, NON-SPECIFIC|10
DAL|DALLAM COUNTY|99
DAL|DALLAM COUNTY JAIL|1
DAL|DALLAS COUNTY DISTRICT ATTORNEY'S OFFICE|5
DAL|DALLAS COUNTY GENERAL AREA|7446
DAL|DALLAS DISTRICT OFFICE|35
DAL|DALLAS POLICE DEPARTMENT|282
DAL|DALWORTHINGTON GARDENS POLICE DEPARTMENT|6
DAL|DAWSON COUNTY JAIL|10
DAL|DEAF SMITH COUNTY|165
DAL|DEAF SMITH COUNTY JAIL|9
DAL|DECATUR POLICE DEPARTMENT|4
DAL|DELAWARE COUNTY JAIL|7
DAL|DELTA COUNTY CRIM AT LARGE|1
DAL|DELTA COUNTY SHERIFFS OFFICE|11
DAL|DENTON CITY JAIL|21
DAL|DENTON COUNTY GENERAL AREA|29
DAL|DENTON COUNTY JAIL|642
DAL|DENTON COUNTY SHERIFFS OFFICE|3
DAL|DESOTO POLICE DEPARTMENT|14
DAL|DEWEY COUNTY JAIL|5
DAL|DIMMIT COUNTY JAIL|2
DAL|DOC CAP: BILL JOHNSON CORRECTIONAL CENTER|13
DAL|DOC CAP: CIMARRON CORRECTIONAL FACILITY|12
DAL|DOC CAP: DAVIS CORRECTIONAL FACILITY|6
DAL|DOC CAP: DR EDDIE WARRIOR CORRECTIONAL CENTER|2
DAL|DOC CAP: HOWARD MCLEOD CORRECTIONAL CENTER|30
DAL|DOC CAP: JACKIE BRANNON CORRECTIONAL CENTER|32
DAL|DOC CAP: JAMES CRABTREE CORRECTIONAL CENTER|12
DAL|DOC CAP: JESS DUNN CORRECTIONAL CENTER|27
DAL|DOC CAP: JIM E HAMILTON CORRECTIONAL CENTER|14
DAL|DOC CAP: JOHN LILLEY CORRECTIONAL CENTER|6
DAL|DOC CAP: JOSEPH HARP CORRECTIONAL CENTER|3
DAL|DOC CAP: KATE BARNARD COMMTY CORRECTIONS CENTER|1
DAL|DOC CAP: LAWTON CORRECTIONAL FACILITY|44
DAL|DOC CAP: LEXINGTON AREA RECEPTION CENTER|19
DAL|DOC CAP: LEXINGTON CORRECTIONAL CENTER|7
DAL|DOC CAP: MABEL BASSETT CORRECTIONAL CENTER|10
DAL|DOC CAP: MACK ALFORD CORRECTIONAL CENTER|8
DAL|DOC CAP: MUSKOGEE COMMUNITY CORRECTIONS CENTER|1
DAL|DOC CAP: NORTHEAST OKLAHOMA CORRECTIONAL CENTER|15
DAL|DOC CAP: OKLAHOMA STATE PENITENTIARY|9
DAL|DOC CAP: OKLAHOMA STATE REFORMATORY|5
DAL|DOC CAP: RB DICK CONNER CORRECTIONAL CENTER|5
DAL|DOC CAP: WILLIAM S KEY CORRECTIONAL CENTER|32
DAL|DONLEY COUNTY|8
DAL|DOUBLE OAK POLICE DEPARTMENT|1
DAL|DUNCANVILLE POLICE DEPARTMENT|12
DAL|E DIST OK MUSKOGEE DIV ADAIR CO CRIM AT LARGE|5
DAL|E DIST OK MUSKOGEE DIV ATOKA CO AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV BRYAN CO AT LARGE|2
DAL|E DIST OK MUSKOGEE DIV BRYAN CO CRIM AT LARGE|2
DAL|E DIST OK MUSKOGEE DIV BRYAN CO PROBATION|1
DAL|E DIST OK MUSKOGEE DIV CHEROKEE CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV CHOCKTAW CO CRIM AT LARGE|3
DAL|E DIST OK MUSKOGEE DIV HAKSELL CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV HASKELL CO NON CRIM|1
DAL|E DIST OK MUSKOGEE DIV LATIMER CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV LEFLORE CO AT LARGE|2
DAL|E DIST OK MUSKOGEE DIV LEFLORE CO CRIM AT LARGE|3
DAL|E DIST OK MUSKOGEE DIV MARSHALL CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV MCCURTAIN CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV MUSKOGEE CO AT LARGE|2
DAL|E DIST OK MUSKOGEE DIV MUSKOGEE CO CRIM AT LARGE|4
DAL|E DIST OK MUSKOGEE DIV MUSKOGEE CO PROBATION|1
DAL|E DIST OK MUSKOGEE DIV OKMULGEE CO AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV OKMULGEE CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV PITTSBURG CO CRIM AT LARGE|2
DAL|E DIST OK MUSKOGEE DIV PONTOTOC CO CRIM AT LARGE|3
DAL|E DIST OK MUSKOGEE DIV SEMINOLE CO CRIM AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV SEQUOYAH CO AT LARGE|1
DAL|E DIST OK MUSKOGEE DIV SEQUOYAH CO CRIM AT LARGE|7
DAL|E DIST OK MUSKOGEE DIV WAGONER CO CRIM AT LARGE|1
DAL|E DIST TX MARSHALL DIV CAMP CO CRIM AT LARGE|1
DAL|E DIST TX MARSHALL DIV MARION CO CRIM AT LARGE|1
DAL|E DIST TX MARSHALL DIV UPSHUR CO PROBATION|4
DAL|E DIST TX SHERMAN DIV COLLIN CO CRIM AT LARGE|52
DAL|E DIST TX SHERMAN DIV COLLIN CO NON CRIM|18
DAL|E DIST TX SHERMAN DIV COLLIN CO P&P AT LARGE|21
DAL|E DIST TX SHERMAN DIV COLLIN CO PROBATION|98
DAL|E DIST TX SHERMAN DIV COOK CO CRIM AT LARGE|1
DAL|E DIST TX SHERMAN DIV COOK CO P&P AT LARGE|2
DAL|E DIST TX SHERMAN DIV DENTON CO CRIM AT LARGE|21
DAL|E DIST TX SHERMAN DIV DENTON CO NON CRIM|11
DAL|E DIST TX SHERMAN DIV DENTON CO P&P AT LARGE|36
DAL|E DIST TX SHERMAN DIV DENTON CO PROBATION|58
DAL|E DIST TX SHERMAN DIV FANNIN CO CRIM AT LARGE|1
DAL|E DIST TX SHERMAN DIV FANNIN CO PROBATION|4
DAL|E DIST TX SHERMAN DIV GRAYSON CO CRIM AT LARGE|8
DAL|E DIST TX SHERMAN DIV GRAYSON CO NON CRIM|1
DAL|E DIST TX SHERMAN DIV GRAYSON CO P&P AT LARGE|2
DAL|E DIST TX SHERMAN DIV GRAYSON CO PROBATION|32
DAL|E DIST TX SHERMAN DIV HOPKINS CO CRIM AT LARGE|1
DAL|E DIST TX SHERMAN DIV LAMAR CO CRIM AT LARGE|7
DAL|E DIST TX SHERMAN DIV LAMAR CO NON CRIM|1
DAL|E DIST TX SHERMAN DIV PLANO FPO|6
DAL|E DIST TX SHERMAN DIV SHERMAN FPO|3
DAL|E DIST TX TEXARKANA DIV TITUS CO CRIM AT LARGE|5
DAL|E DIST TX TYLER DIV ANDERSON CO CRIM AT LARGE|10
DAL|E DIST TX TYLER DIV ANDERSON CO NON CRIM|1
DAL|E DIST TX TYLER DIV ANDERSON CO PROBATION|2
DAL|E DIST TX TYLER DIV GREGG CO CRIM AT LARGE|1
DAL|E DIST TX TYLER DIV GREGG CO P&P AT LARGE|1
DAL|E DIST TX TYLER DIV HENDERSON CO CRIM AT LARGE|4
DAL|E DIST TX TYLER DIV HENDERSON CO PROBATION|1
DAL|E DIST TX TYLER DIV PANOLA CO CRIM AT LARGE|1
DAL|E DIST TX TYLER DIV RUSK CO CRIM AT LARGE|2
DAL|E DIST TX TYLER DIV RUSK CO PROBATION|7
DAL|E DIST TX TYLER DIV SMITH CO CRIM AT LARGE|33
DAL|E DIST TX TYLER DIV SMITH CO NON CRIM|2
DAL|E DIST TX TYLER DIV SMITH CO PROBATION|5
DAL|E DIST TX TYLER DIV VAN ZANDT CO CRIM AT LARGE|1
DAL|EASTLAND COUNTY, TX AT LARGE|2
DAL|EASTLAND COUNTY, TX JAIL|7
DAL|EDC GENERAL AREA, NON-SPECIFIC|943
DAL|EDEN DETENTION CENTER|2
DAL|EDEN DETENTION CENTER - EDEN, TX|807
DAL|EDEN DETENTION CENTER-EDEN, TEXAS|25
DAL|EDMOND POLICE DEPARTMENT EDMOND, OK|28
DAL|EL PASO COUNTY, COLORADO|1
DAL|EL RENO FCI|18
DAL|EL RENO PD|14
DAL|ELLIS COUNTY CRIM AT LARGE|1
DAL|ELLIS COUNTY GENERAL AREA|5
DAL|ELLIS COUNTY JAIL|1
DAL|ELLIS COUNTY SHERIFFS OFFICE|118
DAL|ENNIS POLICE DEPARTMENT|31
DAL|ERATH COUNTY JAIL|19
DAL|ETX GENERAL AREA, NON-SPECIFIC|33
DAL|EULESS CITY JAIL|55
DAL|FANNIN COUNTY CRIM AT LARGE|3
DAL|FANNIN COUNTY GENERAL AREA|2
DAL|FANNIN COUNTY SHERIFFS OFFICE|18
DAL|FARMERS BRANCH JAIL|151
DAL|FCI CARSWELL|16
DAL|FCI FORT WORTH|38
DAL|FCI SEAGOVILLE|39
DAL|FCI TEXARKANA|37
DAL|FLOWER MOUND JAIL|24
DAL|FMC CARSWELL|44
DAL|FOREST HILL POLICE DEPARTMENT|4
DAL|FORT WORTH GENERAL AREA, NON-SPECIFIC|8
DAL|FORT WORTH POLICE DEPARTMENT|204
DAL|FRANKLIN COUNTY CRIM AT LARGE|1
DAL|FRANKLIN COUNTY GENERAL AREA|1
DAL|FRANKLIN COUNTY SHERIFFS OFFICE|10
DAL|FREESTONE COUNTY SHERIFFS OFFICE|1
DAL|FRISCO POLICE DEPARTMENT|64
DAL|FTC CI (FEDERAL TRANSFER CENTER)|13
DAL|GAINES COUNTY JAIL|95
DAL|GAINSVILLE POLICE DEPARTMENT|5
DAL|GARFIELD COUNTY JAIL|111
DAL|GARLAND CITY JAIL|319
DAL|GARVIN COUNTY JAIL|25
DAL|GARZA COUNTY JAIL|16
DAL|GLASSCOCK COUNTY, TX AT LARGE|1
DAL|GLENN HEIGHTS POLICE DEPARTMENT|5
DAL|GPC CI (GREAT PLAINS CORRECTIONAL CENTER)|3795
DAL|GRADY COUNTY JAIL|21
DAL|GRAND PRAIRIE CITY JAIL|267
DAL|GRANY COUNTY JAIL|1
DAL|GRAPEVINE POLICE DEPARTMENT|48
DAL|GRAY COUNTY|36
DAL|GRAYSON COUNTY GENERAL AREA|28
DAL|GRAYSON COUNTY JAIL|83
DAL|GREGG COUNTY CRIM AT LARGE|47
DAL|GREGG COUNTY GEN AREA, NON-SPECIFIC|2
DAL|GREGG COUNTY GENERAL AREA|13
DAL|GREGG COUNTY JAIL|20
DAL|GREGG COUNTY NON CRIM|3
DAL|GREGG COUNTY PROBATION|15
DAL|GREGG COUNTY SHERIFFS OFFICE|86
DAL|HALE COUNTY JAIL|44
DAL|HALL COUNTY|6
DAL|HALTOM CITY POLICE DEPARTMENT|20
DAL|HANSFORD COUNTY|23
DAL|HAR GENERAL AREA, NON-SPECIFIC|1
DAL|HARPER COUNTY JAIL|3
DAL|HARRISON COUNTY CRIM AT LARGE|5
DAL|HARRISON COUNTY GENERAL AREA|6
DAL|HARRISON COUNTY JAIL|3
DAL|HARRISON COUNTY PROBATION|11
DAL|HARRISON COUNTY SHERIFFS OFFICE|79
DAL|HARTLEY COUNTY|1
DAL|HASKELL COUNTY JAIL|267
DAL|HASKELL COUNTY, TX AT LARGE|1
DAL|HEMPHILL COUNTY|10
DAL|HENDERSON COUNTY CRIM AT LARGE|15
DAL|HENDERSON COUNTY GENERAL AREA|2
DAL|HENDERSON COUNTY JAIL|28
DAL|HENDERSON COUNTY NON CRIM|1
DAL|HENDERSON COUNTY PROBATION|6
DAL|HENDERSON COUNTY SHERIFFS OFFICE|48
DAL|HIGH DESERT STATE PRISON (NDOC)|3
DAL|HIGHLAND PARK DEPARTMENT OF PUBLIC SAFETY|7
DAL|HIGHLAND VILLAGE POLICE DEPARTMENT|2
DAL|HNT GENERAL AREA, NON-SPECIFIC|1
DAL|HOCKLEY COUNTY JAIL|13
DAL|HOOD COUNTY GENERAL AREA|2
DAL|HOOD COUNTY SHERIFFS OFFICE|27
DAL|HOPKINS COUNTY CRIM AT LARGE|5
DAL|HOPKINS COUNTY GENERAL AREA|1
DAL|HOPKINS COUNTY JAIL|6
DAL|HOPKINS COUNTY NON CRIM|1
DAL|HOPKINS COUNTY PROBATION|7
DAL|HOPKINS COUNTY SHERIFFS OFFICE|13
DAL|HOUSTON, NORTHEAST SIDE|1
DAL|HOUSTON, NORTHWEST SIDE|1
DAL|HOUSTON, SOUTHEAST SIDE|1
DAL|HOWARD COUNTY|1
DAL|HOWARD COUNTY, TX AT LARGE|16
DAL|HOWARD COUNTY, TX JAIL|16
DAL|HPC GENERAL AREA, NON-SPECIFIC|1
DAL|HUNT COUNTY CRIM AT LARGE|13
DAL|HUNT COUNTY GEN AREA, NON-SPECIFIC|10
DAL|HUNT COUNTY GENERAL AREA|1
DAL|HUNT COUNTY JAIL|114
DAL|HUNT COUNTY NON CRIM|26
DAL|HUNT COUNTY PROBATION|12
DAL|HUNT COUNTY SHERIFF'S OFFICE|2
DAL|HURST POLICE DEPARTMENT|59
DAL|HUTCHINS POLICE DEPARTMENT|1
DAL|HUTCHINSON|20
DAL|IRVING CITY JAIL|465
DAL|JACK COUNTY SHERIFFS COUNTY|13
DAL|JACKSON COUNTY JAIL|10
DAL|JACKSONVILLE POLICE DEPARTMENT|1
DAL|JEFFERSON COUNTY JAIL|2
DAL|JOHNSON COUNTY GENERAL AREA|5
DAL|JOHNSON COUNTY JAIL|53
DAL|JOHNSON COUNTY SHERIFFS OFFICE|117
DAL|JOHNSTON COUNTY JAIL|1
DAL|JONES COUNTY, TX JAIL|8
DAL|KAUFMAN COUNTY CRIM AT LARGE|43
DAL|KAUFMAN COUNTY GEN AREA, NON-SPECIFIC|1
DAL|KAUFMAN COUNTY GENERAL AREA|6
DAL|KAUFMAN COUNTY JAIL|182
DAL|KAUFMAN COUNTY NON CRIM|6
DAL|KAUFMAN COUNTY PROBATION|12
DAL|KAUFMAN COUNTY SHERIFF'S OFFICE|1
DAL|KAY COUNTY JAIL|13
DAL|KELLER POLICE DEPARTMENT|19
DAL|KINGFISHER COUNTY JAIL|6
DAL|LAKE WORTH POLICE DEPARTMENT|3
DAL|LAMAR COUNTY GENERAL AREA|3
DAL|LAMAR COUNTY JAIL|1
DAL|LAMAR COUNTY NON CRIM|5
DAL|LAMAR COUNTY PROBATION|7
DAL|LAMAR COUNTY SHERIFFS OFFICE|63
DAL|LAMB COUNTY JAIL|16
DAL|LATIMER COUNTY JAIL|1
DAL|LAWTON POLICE DEPARTMENT|12
DAL|LBK GENERAL AREA, NON-SPECIFIC|213
DAL|LEFLORE COUNTY JAIL|15
DAL|LEWISVILLE CITY JAIL|332
DAL|LINCOLN COUNTY JAIL|16
DAL|LIPSCOM COUNTY|4
DAL|LOGAN COUNTY JAIL|16
DAL|LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC|1
DAL|LOVE COUNTY JAIL|14
DAL|LUBBOCK COUNTY JAIL|185
DAL|LUBBOCK COUNTY SHERIFF'S OFFICE|66
DAL|LUBBOCK POLICE DEPARTMENT|3
DAL|LUBBOCK TEXAS FUG OPS AOR|55
DAL|MAJOR COUNTY JAIL|2
DAL|MANSFIELD COUNTY JAIL|195
DAL|MARLBORO COUNTY PROBATION & PAROLE OFFICE|1
DAL|MARSHALL COUNTY JAIL|3
DAL|MARSHALL POLICE DEPARTMENT|11
DAL|MAYES COUNTY JAIL|24
DAL|MCCLAIN COUNTY JAIL|20
DAL|MCCURTAIN COUNTY JAIL|2
DAL|MCINTOSH COUNTY JAIL|14
DAL|MCKINNEY CITY JAIL|7
DAL|MESQUITE CITY JAIL|160
DAL|MID GENERAL AREA, NON-SPECIFIC|1
DAL|MIDLOTHIAN POLICE DEPARTMENT|7
DAL|MILLS COUNTY, TX AT LARGE|2
DAL|MILLS COUNTY, TX JAIL|3
DAL|MINERAL WELLS POLICE DEPARTMENT|2
DAL|MITCHELL COUNTY, TX AT LARGE|13
DAL|MITCHELL COUNTY, TX JAIL|5
DAL|MONTAGUE COUNTY SHERIFFS OFFICE|14
DAL|MOORE COUNTY|103
DAL|MORRIS COUNTY GENERAL AREA|2
DAL|MORRIS COUNTY SHERIFFS OFFICE|6
DAL|MTC - GILES DALBY|42
DAL|MURRAY COUNTY JAIL|3
DAL|MUSKOGEE COUNTY JAIL|56
DAL|N DIST OK TULSA DIV CREEK CO PROBATION|1
DAL|N DIST OK TULSA DIV DELAWARE CO AT LARGE|1
DAL|N DIST OK TULSA DIV DELAWARE CO CRIM AT LARGE|3
DAL|N DIST OK TULSA DIV MAYES CO AT LARGE|2
DAL|N DIST OK TULSA DIV OSAGE CO AT LARGE|1
DAL|N DIST OK TULSA DIV OTTAWA CO AT LARGE|1
DAL|N DIST OK TULSA DIV OTTAWA CO CRIM AT LARGE|1
DAL|N DIST OK TULSA DIV ROGERS CO AT LARGE|2
DAL|N DIST OK TULSA DIV ROGERS CO CRIM AT LARGE|3
DAL|N DIST OK TULSA DIV ROGERS CO PROBATION|1
DAL|N DIST OK TULSA DIV TULSA CO AT LARGE|26
DAL|N DIST OK TULSA DIV TULSA CO CRIM AT LARGE|95
DAL|N DIST OK TULSA DIV TULSA CO NON CRIM|13
DAL|N DIST OK TULSA DIV WASHINGTON CO AT LARGE|1
DAL|N DIST OK TULSA DIV WASHINGTON CO CRIM AT LARGE|2
DAL|N DIST TX ABILENE DIV CALLAHAN CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV ARMSTRONG CO P&P AT LARGE|1
DAL|N DIST TX AMARILLO DIV CARSON CO CRIM AT LARGE|2
DAL|N DIST TX AMARILLO DIV CARSON CO NON CRIM|5
DAL|N DIST TX AMARILLO DIV CASTRO CO CRIM AT LARGE|4
DAL|N DIST TX AMARILLO DIV CASTRO CO NON CRIM|2
DAL|N DIST TX AMARILLO DIV CASTRO CO P&P AT LARGE|3
DAL|N DIST TX AMARILLO DIV CASTRO PROBATION|2
DAL|N DIST TX AMARILLO DIV CHILDRESS CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV COLLINGSWORTH CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV DALLAM CO CRIM AT LARGE|4
DAL|N DIST TX AMARILLO DIV DALLAM CO P&P AT LARGE|1
DAL|N DIST TX AMARILLO DIV DEAF SIMTH CO NON CRIM|11
DAL|N DIST TX AMARILLO DIV DEAF SMITH CO CRIM AT LARGE|28
DAL|N DIST TX AMARILLO DIV DEAF SMITH CO NON CRIM|1
DAL|N DIST TX AMARILLO DIV DEAF SMITH CO P&P AT LARGE|6
DAL|N DIST TX AMARILLO DIV DEAF SMITH CO PROBATION|5
DAL|N DIST TX AMARILLO DIV GRAY CO CRIM AT LARGE|3
DAL|N DIST TX AMARILLO DIV GRAY CO P&P AT LARGE|5
DAL|N DIST TX AMARILLO DIV GRAY CO PROBATION|1
DAL|N DIST TX AMARILLO DIV HALL CO NON CRIM|1
DAL|N DIST TX AMARILLO DIV HANSFORD CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV HEMPHILL CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV HEMPHILL CO P&P AT LARGE|2
DAL|N DIST TX AMARILLO DIV HUTCHINSON CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV HUTCHINSON CO NON CRIM|1
DAL|N DIST TX AMARILLO DIV LIPSCOMB CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV MOORE CO CRIM AT LARGE|10
DAL|N DIST TX AMARILLO DIV MOORE CO NON CRIM|2
DAL|N DIST TX AMARILLO DIV MOORE CO P&P AT LARGE|2
DAL|N DIST TX AMARILLO DIV OCHILTREE CO CRIM AT LARGE|2
DAL|N DIST TX AMARILLO DIV PARMER CO CRIM AT LARGE|7
DAL|N DIST TX AMARILLO DIV PARMER CO NON CRIM|11
DAL|N DIST TX AMARILLO DIV POTTER CO CRIM AT LARGE|35
DAL|N DIST TX AMARILLO DIV POTTER CO NON CRIM|16
DAL|N DIST TX AMARILLO DIV POTTER CO P&P AT LARGE|17
DAL|N DIST TX AMARILLO DIV POTTER CO PROBATION|6
DAL|N DIST TX AMARILLO DIV RANDELL CO CRIM AT LARGE|3
DAL|N DIST TX AMARILLO DIV RANDELL CO NON CRIM|1
DAL|N DIST TX AMARILLO DIV SHERMAN CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV SWISHER CO CRIM AT LARGE|1
DAL|N DIST TX AMARILLO DIV SWISHER CO P&P AT LARGE|3
DAL|N DIST TX AMARILLO DIV WHEELER CO CRIM AT LARGE|2
DAL|N DIST TX AMARILLO DIV WHEELER CO P&P AT LARGE|1
DAL|N DIST TX DALLAS DIV DALLAS CO CRIM AT LARGE|438
DAL|N DIST TX DALLAS DIV DALLAS CO NON CRIM|64
DAL|N DIST TX DALLAS DIV DALLAS CO P&P AT LARGE|226
DAL|N DIST TX DALLAS DIV DALLAS CO PROBATION|240
DAL|N DIST TX DALLAS DIV ELLIS CO CRIM AT LARGE|21
DAL|N DIST TX DALLAS DIV ELLIS CO P&P AT LARGE|6
DAL|N DIST TX DALLAS DIV ELLIS CO PROBATION|15
DAL|N DIST TX DALLAS DIV HUNT CO CRIM AT LARGE|1
DAL|N DIST TX DALLAS DIV HUNT CO P&P AT LARGE|2
DAL|N DIST TX DALLAS DIV HUNT CO PROBATION|7
DAL|N DIST TX DALLAS DIV JOHNSON CO CRIM AT LARGE|5
DAL|N DIST TX DALLAS DIV JOHNSON CO P&P AT LARGE|1
DAL|N DIST TX DALLAS DIV JOHNSON CO PROBATION|2
DAL|N DIST TX DALLAS DIV KAUFMAN CO CRIM AT LARGE|5
DAL|N DIST TX DALLAS DIV KAUFMAN CO P&P AT LARGE|3
DAL|N DIST TX DALLAS DIV KAUFMAN CO PROBATION|4
DAL|N DIST TX DALLAS DIV NAVARRO CO CRIM AT LARGE|4
DAL|N DIST TX DALLAS DIV ROCKWALL CO CRIM AT LARGE|2
DAL|N DIST TX DALLAS DIV ROCKWALL CO NON CRIM|2
DAL|N DIST TX DALLAS DIV ROCKWALL CO P&P AT LARGE|4
DAL|N DIST TX DALLAS DIV ROCKWALL CO PROBATION|6
DAL|N DIST TX FT WORTH DIV COMANCHE CO NON CRIM|1
DAL|N DIST TX FT WORTH DIV ERATH CO CRIM AT LARGE|1
DAL|N DIST TX FT WORTH DIV ERATH CO P&P AT LARGE|1
DAL|N DIST TX FT WORTH DIV ERATH CO PROBATION|1
DAL|N DIST TX FT WORTH DIV FT WORTH FPO|1
DAL|N DIST TX FT WORTH DIV HOOD CO CRIM AT LARGE|2
DAL|N DIST TX FT WORTH DIV PALO PINTO CO P&P AT LARGE|1
DAL|N DIST TX FT WORTH DIV PALO PINTO CO PROBATION|1
DAL|N DIST TX FT WORTH DIV PARKER CRIM AT LARGE|5
DAL|N DIST TX FT WORTH DIV TARRANT CO CRIM AT LARGE|159
DAL|N DIST TX FT WORTH DIV TARRANT CO NON CRIM|9
DAL|N DIST TX FT WORTH DIV TARRANT CO P&P AT LARGE|52
DAL|N DIST TX FT WORTH DIV TARRANT CO PROBATION|203
DAL|N DIST TX LUBBOCK DIV BAILEY CO CRIM AT LARGE|7
DAL|N DIST TX LUBBOCK DIV BAILEY CO NON CRIM|28
DAL|N DIST TX LUBBOCK DIV BORDEN CO CRIM AT LARGE|1
DAL|N DIST TX LUBBOCK DIV COCHRAN CO CRIM AT LARGE|5
DAL|N DIST TX LUBBOCK DIV COCHRAN CO NON CRIM|2
DAL|N DIST TX LUBBOCK DIV CROSBY CO CRIM AT LARGE|1
DAL|N DIST TX LUBBOCK DIV DAWSON CO NON CRIM|1
DAL|N DIST TX LUBBOCK DIV FLOYD CO NON CRIM|3
DAL|N DIST TX LUBBOCK DIV FLOYD CO P&P AT LARGE|1
DAL|N DIST TX LUBBOCK DIV GAINES CO CRIM AT LARGE|6
DAL|N DIST TX LUBBOCK DIV GAINES CO NON CRIM|2
DAL|N DIST TX LUBBOCK DIV GAINES CO PROBATION|1
DAL|N DIST TX LUBBOCK DIV GARZA CO CRIM AT LARGE|4
DAL|N DIST TX LUBBOCK DIV GARZA CO NON CRIM|4
DAL|N DIST TX LUBBOCK DIV GILES DALBY (POST, TX) BOP|1497
DAL|N DIST TX LUBBOCK DIV HALE CO CRIM AT LARGE|3
DAL|N DIST TX LUBBOCK DIV HALE CO NON CRIM|1
DAL|N DIST TX LUBBOCK DIV HALE CO P&P AT LARGE|3
