"","apprehension_landmark","total"
"1141","CAP - LEWISBORO TOWN POLICE DEPARTMENT NY STATE",1
"1142","CAP - LIBERTY POLICE DEPARTMENT NY STATE",4
"1143","CAP - LIMESTONE CORRECTIONAL FACILITY - DOC - AL STATE",2
"1144","CAP - LIMESTONE COUNTY JAIL, AL STATE",10
"1145","CAP - LIMESTONE COUTY JAIL, AL",42
"1146","CAP - LONG BEACH POLICE DEPARTMENT NY STATE",1
"1147","CAP - LOS FRESNOS CITY JAIL TX STATE",1
"1148","CAP - LOUDON COUNTY COMMUNITY CORRECTIONS-VA",3
"1149","CAP - LOWER BUCKEYE JAIL",1483
"1150","CAP - LOWNDES COUNTY JAIL, AL STATE",3
"1151","CAP - LYON COUNTY JAIL, YEARINGTON, NEVADA",17
"1152","CAP - MACON COUNTY  JAIL, AL STATE",1
"1153","CAP - MADISON COUNTY JAIL TN STATE",124
"1154","CAP - MADISON COUNTY JAIL, AL STATE",54
"1155","CAP - MAMARONECK VILLAGE POLICE DEPARTMENT NY STATE",11
"1156","CAP - MANHATTAN CRIMINAL COURT NY STATE",7
"1157","CAP - MARENGO COUNTY JAIL, AL STATE",1
"1158","CAP - MARICOPA COUNTY SHERIFFS OFFICE",811
"1159","CAP - MARICOPA COUNTY SHERIFFS OFFICE JAIL",7528
"1160","CAP - MARSHAL COUNTY JAIL MS STATE",14
"1161","CAP - MARSHALL COUNTY JAIL, AL STATE",27
"1162","CAP - MAUI STREET ARREST",10
"1163","CAP - MCNAIRY COUNTY JAIL TN STATE",3
"1164","CAP - MESA CITY JAIL",235
"1165","CAP - MESA POLICE DEPARTMENT",41
"1166","CAP - MIDDLETOWN CITY POLICE DEPARTMENT, NY STATE",20
"1167","CAP - MIDDLETOWN POLICE DEPARTMENT NY STATE",6
"1168","CAP - MILLINGTON POLICE DEPARTMENT TN STATE",2
"1169","CAP - MINERAL COUNTY JAIL, HAWTHORNE, NEVADA",4
"1170","CAP - MISSISSIPPI COUNTY JAIL AR STATE",15
"1171","CAP - MONROE VILLAGE POLICE DEPARTMENT, NY STATE",9
"1172","CAP - MONTGOMERY CITY JAIL, AL STATE",71
"1173","CAP - MONTGOMERY COUNTY JAIL, AL STATE",26
"1174","CAP - MONTGOMERY VILLAGE POLICE DEPARTMENT, NY STATE",1
"1175","CAP - MONTICELLO POLICE DEPARTMENT NY STATE",2
"1176","CAP - MORGAN COUNTY JAIL, AL STATE",84
"1177","CAP - MOUNT KISCO POLICE DEPARTMENT NY STATE",13
"1178","CAP - MOUNT VERNON CITY POLICE DEPARTMENT NY STATE",24
"1179","CAP - NASSAU COUNTY JAIL NY STATE",559
"1180","CAP - NASSAU COUNTY JUVENILE DETENTION CENTER NY STATE",7
"1181","CAP - NASSAU COUNTY POLICE NY STATE",311
"1182","CAP - NASSAU COUNTY PROBATION AND PAROLE NY STATE",1
"1183","CAP - NASSAU COUNTY SERRIFFS OFFICE NY STATE",1
"1184","CAP - NAVAJO COUNTY JAIL",76
"1185","CAP - NAVAJO COUNTY SHERIFFS OFFICE",29
"1186","CAP - NEW CASTLE TOWN POLICE DEPARTMENT NY STATE",1
"1187","CAP - NEW PALTZ POLICE DEPARTMENT NY STATE",6
"1188","CAP - NEW ROCHELLE POLICE DEPARTMENT NY STATE",20
"1189","CAP - NEW WINDSOR TOWN POLICE DEPARTMENT, NY STATE",3
"1190","CAP - NEW YORK COUNTY PROBATIONS, NY STATE",1
"1191","CAP - NEW YORK STATE PAROLE NY STATE",1
"1192","CAP - NEW YORK STATE POLICE NY STATE",12
"1193","CAP - NEWBURGH CITYPOLICE DEPARTMENT, NY STATE",53
"1194","CAP - NEWBURGH TOWN POLICE DEPARTMENT, NY STATE",14
"1195","CAP - NORFOLK CRIMINAL JUSTICE SERVICES-VA",1
"1196","CAP - NORTH CASTLE TOWN POLICE DEPARTMENT NY STATE",2
"1197","CAP - NORTHEAST AR COMMUNITY CORR. CNTR (OSCEOLA) AR STATE",2
"1198","CAP - NORTHWEST CORRECTIONAL COMPLEX TN STATE",21
"1199","CAP - NORTHWESTERN REGIONAL ADULT DETENTION CENTER LOCAL PROBATION-VA",2
"1200","CAP - OAHU STREET ARREST",12
"1201","CAP - OBION COUNTY JAIL TN STATE",31
"1202","CAP - ORANGE COUNTY JAIL NY STATE",170
"1203","CAP - ORANGE COUNTY PROBATION  NY STATE",30
"1204","CAP - ORANGE COUNTY SHERRIFF, NY STATE",4
"1205","CAP - ORANGETOWN POLICE DEPARTMENT, NY STATE",2
"1206","CAP - OSSINING TOWN POLICE DEPARTMENT NY STATE",8
"1207","CAP - OSSINING VILLAGE POLICE DEPARTMENT NY STATE",6
"1208","CAP - OTISVILLE FEDERAL CORRECTIONAL FACILITY NY STATE",50
"1209","CAP - PANOLA COUNTY JAIL MS STATE",2
"1210","CAP - PARADISE VALLEY POLICE DEPARTMENT",1
"1211","CAP - PEEKSKILL POLICE DEPARTMENT NY STATE",17
"1212","CAP - PELHAM CITY JAIL, AL STATE",17
"1213","CAP - Peoria, AZ Police Department",5
"1214","CAP - PERRY COUNTY JAIL TN STATE",1
"1215","CAP - PERRYVILLE",96
"1216","CAP - PERSHING COUNTY JAIL, LOVELOCK, NEVADA",9
"1217","CAP - PHOENIX CITY JAIL",18
"1218","CAP - PHOENIX POLICE DEPARTMENT",277
"1219","CAP - PICKENS COUNTY JAIL, AL STATE",2
"1220","CAP - PIKE COUNTY JAIL, AL STATE",3
"1221","CAP - PINAL COUNTY JAIL",8
"1222","CAP - PINAL COUNTY POLICE DEPARTMENT",2
"1223","CAP - PLATTEKILL POLICE DEPARTMENT NY STATE",1
"1224","CAP - PLEASANTVILLE POLICE DEPARTMENT NY STATE",4
"1225","CAP - PONTOTOC COUNTY JAIL MS STATE",48
"1226","CAP - PORT CHESTER VILLAGE POLICE DEPARTMENT NY STATE",38
"1227","CAP - PORT JERVIS CITY POLICE DEPARMENT, NY STATE",3
"1228","CAP - POUGHKEEPSIE TOWN POLICE NY STATE",5
"1229","CAP - PRENTISS COUNTY JAIL MS STATE",4
"1230","CAP - PRINCE WILLIAM OFFICE OF COMMUNITY JUSTICE SERVICES-VA",45
"1231","CAP - PROBATION OFFICE BOONEVILLE MS STATE",1
"1232","CAP - PROBATION OFFICE MEMPHIS KNIGHT ARNOLD TN STATE",1
"1233","CAP - PROBATION OFFICE NEW ALBANY MS STATE",2
"1234","CAP - PROBATION OFFICE UNION CITY TN STATE",1
"1235","CAP - PUTNAM COUNTY JAIL NY STATE",36
"1236","CAP - PUTNAM COUNTY PROBATION  NY STATE",10
"1237","CAP - PUTNAM COUNTY SHERRIFFS DEPARTMENT, NY STATE",3
"1238","CAP - QUEENS CENTRAL BOOKING NY State",19
"1239","CAP - RAMAPO TOWN POLICE DEPARTMENT, NY STATE",20
"1240","CAP - RANDOLPH COUNTY JAIL AR STATE",7
"1241","CAP - RANDOLPH COUNTY JAIL, AL STATE",6
"1242","CAP - RICHMOND CITY PROBATION SERVICES-VA",1
"1243","CAP - RICHMOND COUNTY PROBATION, NY STATE",4
"1244","CAP - RIKERS ISLAND - PROBATION AND PAROLE NY STATE",2
"1245","CAP - RIVERHEAD TOWN POLICE DEPARTMENT NY STATE",1
"1246","CAP - RIVERSIDE CRIMINAL JUSTICE SERVICES-VA",9
"1247","CAP - RMSC - ROSE M. SINGER CENTER NY STATE",1
"1248","CAP - ROCKINGHAM-HARRISONBURG COURT SERVICES UNIT-VA",2
"1249","CAP - ROCKLAND COUNTY JAIL NY STATE",113
"1250","CAP - ROCKLAND COUNTY PROBATION  NY STATE",48
"1251","CAP - ROCKLAND COUNTY SHERRIFFS DEPARTMENT, NY STATE",3
"1252","CAP - RUSSELL COUNTY JAIL, AL STATE",32
"1253","CAP - RYE BROOK POLICE DEPARTMENT NY STATE",2
"1254","CAP - RYE CITY POLICE DEPARTMENT NY STATE",3
"1255","CAP - SCARSDALE VILLAGE POLICE DEPARTMENT NY STATE",2
"1256","CAP - SCOTTSBORO CITY JAIL, AL STATE",19
"1257","CAP - SCOTTSDALE CITY JAIL DISTRICT 1",142
"1258","CAP - SCOTTSDALE POLICE DEPARTMENT DISTRICT 1",18
"1259","CAP - SHANDAKEN POLICE DEPARTMENT NY STATE",1
"1260","CAP - SHELBY CO CORRECTION CENTER (PENAL FARM) TN STATE",146
"1261","CAP - SHELBY COUNTY JAIL TN STATE",357
"1262","CAP - SHELBY COUNTY JAIL, AL STATE",93
"1263","CAP - SLEEPY HOLLOW VILLAGE POLICE DEPARTMENT NY STATE",6
"1264","CAP - SOMERS TOWN POLICE DEPARTMENT NY STATE",6
"1265","CAP - SOUTH NYACK- GRAND VIEW POLICE DEPARTMENT, NY STATE",1
"1266","CAP - SPRING VALLEY POLICE DEPARTMENT, NY STATE",46
"1267","CAP - ST. CLAIR COUNTY JAIL, AL STATE",17
"1268","CAP - STATE PAROLE AND PROBATION, NEVADA",1
"1269","CAP - STATON CORRECTIONAL FACILITY - DOC - AL STATE",8
"1270","CAP - STONY POINT POLICE DEPARTMENT, NY STATE",3
"1271","CAP - STORY COUNTY JAIL, VIRGINIA CITY, NEVADA",1
"1272","CAP - STREET ARREST MS STATE",26
"1273","CAP - STREET ARREST TN STATE",98
"1274","CAP - SUFFERN POLICE DEPARTMENT, NY STATE",6
"1275","CAP - SUFFOLK COUNTY JAIL NY STATE",743
"1276","CAP - SUFFOLK COUNTY POLICE DEPARTMENT NY STATE",4
"1277","CAP - SUFFOLK COUNTY POLICE NY STATE",200
"1278","CAP - SUFFOLK COUNTY SHERRIFS NY STATE",10
"1279","CAP - SULIVAN COUNTY JAIL NY STATE",24
"1280","CAP - SULIVAN COUNTY PROBATION  NY STATE",9
"1281","CAP - SULIVAN COUNTY SHERRIFFS OFFICE",4
"1282","CAP - SURPRISE POLICE MEPARTMENT",2
"1283","CAP - TALLADEGA COUNTY JAIL, AL STATE",21
"1284","CAP - TALLAPOOSSA COUNTY JAIL, AL STATE",13
"1285","CAP - TARRYTOWN VILLAGE POLICE DEPARTMENT NY STATE",5
"1286","CAP - TATE COUNTY JAIL MS STATE",18
"1287","CAP - TEMPE CITY JAIL",121
"1288","CAP - TEMPE POLICE DEPARTMENT",9
"1289","CAP - TIPPAH COUNTY JAIL MS STATE",6
"1290","CAP - TIPTON COUNTY JAIL TN STATE",17
"1291","CAP - TISHOMINGO COUNTY JAIL MS STATE",22
"1292","CAP - Tolleson AZ, Police Department",1
"1293","CAP - TROY CITY, AL STATE",7
"1294","CAP - TUCKAHOE POLICE DEPARTMENT NY STATE",1
"1295","CAP - TUNICA COUNTY JAIL MS STATE",2
"1296","CAP - TUSCALOOSA COUNTY JAIL, AL STATE",82
"1297","CAP - TUTWILER PRISON FOR WOMEN - DOC - AL STATE",3
"1298","CAP - ULSTER CORRECTIONAL FACILITY NY STATE",1
"1299","CAP - ULSTER COUNTY JAIL NY STATE",29
"1300","CAP - ULSTER COUNTY PROBATION  NY STATE",5
"1301","CAP - ULSTER COUNTY SHERRIFFS DEPARTMENT NY STATE",1
"1302","CAP - ULSTER TOWN POLICE DEPARTMENT NY STATE",1
"1303","CAP - UNION COUNTY JAIL MS STATE",13
"1304","CAP - UNITED STATES PROBATION EDNY NY STATE",5
"1305","CAP - UNITED STATES PROBATION SDNY NY STATE",3
"1306","CAP - US PROBATION CHARLOTTESVILLE OFFICE-VA",1
"1307","CAP - US PROBATION ROANOKE-VA",2
"1308","CAP - USM - CENTRAL ISLIP NY STATE",2
"1309","CAP - USM - EASTERN DISTRICT NY State",73
"1310","CAP - USM - MANHATTAN NY State",49
"1311","CAP - USM - SOUTHERN DISTRICT NY STATE",105
"1312","CAP - USM- WHITE PLAINS NY STATE",3
"1313","CAP - VADOC PROBATION & PAROLE DISTRICT 19 NEWPORT NEWS-VA",1
"1314","CAP - VADOC PROBATION & PAROLE DISTRICT 27 CHESTERFIELD-VA",1
"1315","CAP - VADOC PROBATION & PAROLE DISTRICT 33 WARSAW-VA",1
"1316","CAP - VADOC PROBATION AND PAROLE DISTRICT 11 WINCHESTER-VA",3
"1317","CAP - VADOC PROBATION AND PAROLE DISTRICT 21 FREDERICKSBURG-VA",2
"1318","CAP - VADOC PROBATION AND PAROLE DISTRICT 25 LEESBURG-VA",1
"1319","CAP - VADOC PROBATION AND PAROLE DISTRICT 29 FAIRFAX-VA",11
"1320","CAP - VADOC PROBATION AND PAROLE DISTRICT 39 HARRISONBURG-VA",4
"1321","CAP - VADOC PROBATION AND PAROLE DISTRICT 9 CHARLOTTESVILLE-VA",3
"1322","CAP - VADOC PROBATION AND PAROLE DISTRICT ALEXANDRIA-VA",1
"1323","CAP - VCBC - VERNON C. BAIN CENTER NY STATE",7
"1324","CAP - VENTRESS CORRECTIONAL FACILITY - DOC - AL STATE",2
"1325","CAP - VIRGINIA BEACH OFFICE OF COMMUNITY CORRECTIONS & PRE-TRIAL SERVICES-VA",9
"1326","CAP - WALDEN VILLAGE POLICE DEPARTMENT, NY STATE",1
"1327","CAP - WALKER COUNTY JAIL, AL STATE",21
"1328","CAP - WALKILL TOWN POLICE DEPARTMENT, NY STATE",10
"1329","CAP - WAPPINGERS FALLS VILLAGE POLICE DEPARTMENT NY STATE",2
"1330","CAP - WARWICK TOWN POLICE DEPARTMENT, NY STATE",2
"1331","CAP - WASHINGTONVILLE VILLAGE POLICE DEPARTMENT, NY STATE",1
"1332","CAP - WASHOE COUNTY JAIL, RENO, NEVADA",423
"1333","CAP - WEAKLEY COUNTY JAIL TN STATE",7
"1334","CAP - WEST TENNESSEE DETENTION FACILITY (MASON) TN STATE",21
"1335","CAP - WEST TENNESSEE STATE PENITENTIARY TN STATE",9
"1336","CAP - WESTCHESTER COUNTY JAIL NY STATE",188
"1337","CAP - WESTCHESTER COUNTY POLICE DEPARTMENT, NY STATE",11
"1338","CAP - WESTCHESTER COUNTY PROBATION  NY STATE",1
"1339","CAP - WHITE PINE COUNTY JAIL, ELY, NEVADA",1
"1340","CAP - WHITE PLAINS CITY POLICE NY STATE",45
"1341","CAP - WHITEVILLE CORRECTIONAL FACILITY TN STATE",19
"1342","CAP - WINSTON COUNTY JAIL, AL STATE",4
"1343","CAP - WOODBRIDGE POLICE DEPARTMENT NY STATE",1
"1344","CAP - WOODBURY TOWN POLICE DEPARTMENT, NY STATE",7
"1345","CAP - WOODSTOCK POLICE DEPARTMENT NY STATE",1
"1346","CAP - YAVAPAI COUNTY JAIL",245
"1347","CAP - YAVAPAI POLICE DEPARTMENT",5
"1348","CAP - YONKERS CITY POLICE DEPARTMENT NY STATE",49
"1349","CAP - YORKTOWN POLICE DEPARTMENT NY STATE",7
"1350","CAP ACI",126
"1351","CAP ADOC SAFFORD AZ STATE",1
"1352","CAP ADOC TUCSON AZ STATE",943
"1353","CAP BARNSTABLE MA",18
"1354","CAP BRISTOL MA",39
"1355","CAP COCHISE COUNTY JAIL AZ STATE",48
"1356","CAP DUKES MA",4
"1357","CAP DUTY AGENT ENCOUNTERS",2
"1358","CAP FCI SAFFORD AZ STATE",13
"1359","CAP FCI TUCSON AZ STATE",152
"1360","CAP GRAHAM COUNTY JAIL AZ STATE",3
"1361","CAP GREENLEE COUNTY JAIL AZ STATE",1
"1362","CAP PIMA COUNTY JAIL AZ STATE",918
"1363","CAP PIMA COUNTY JUVENILE DETENTION CENTER AZ STATE",4
"1364","CAP SANTA CRUZ COUNTY JAIL AZ STATE",65
"1365","CAP STREET ARREST",219
"1366","CAP STREET ARREST  ALBUQUERQUE CAP",27
"1367","CAP STREET ARREST CA STATE",2
"1368","CAP STREET ARREST CALIFORNIA",31
"1369","CAP STREET ARREST ID",28
"1370","CAP STREET ARREST VA STATE",3
"1371","CAP STREET ARRESTS CA STATE",250
"1372","CAP TUCSON INTERNATIONAL AIRPORT AZ STATE",1
"1373","CAP TUCSON SUB OFFICE CALL IN AZ STATE",103
"1374","CAP TUCSON SUB OFFICE WALK-IN AZ STATE",16
"1375","CAP US MARSHALS TUCSON AZ STATE",20
"1376","CAP US PROBATION TUCSON AZ STATE",4
"1377","CAP USP TUCSON AZ STATE AZ STATE",23
"1378","CAP WYATT",19
"1379","CAP-ADAMS COUNTY CORRECTIONAL COMPLEX PA STATE",40
"1380","CAP-ADAMS COUNTY PROBATION PA STATE",24
"1381","CAP-ANTELOPE COUNTY JAIL, IA STATE",5
"1382","CAP-BUENA VISTA COUNTY JAIL, IA STATE",31
"1383","CAP-BUREAU COUNTY JAIL, IL",19
"1384","CAP-CARISLE PD-YORK, PA",5
"1385","CAP-CARROLL COUNTY JAIL, IA STATE",10
"1386","CAP-CARROLL COUNTY JAIL, IL",3
"1387","CAP-CHEROKEE COUNTY LAW CENTER, IA STATE",3
"1388","CAP-CLAY COUNTY JAIL, IA STATE",27
"1389","CAP-CRAWFORD COUNTY JAIL, IA STATE",29
"1390","CAP-CUMBERLAND COUNTY PRISON PA STATE",23
"1391","CAP-CUMBERLAND COUNTY PROBATION PA STATE",1
"1392","CAP-DAKOTA COUNTY JAIL, NE STATE",65
"1393","CAP-DAUPHIN COUNTY NIGHT COURT, PA",1
"1394","CAP-DAUPHIN COUNTY PRISON PA STATE",68
"1395","CAP-DAUPHIN COUNTY PROBATION PA STATE",29
"1396","CAP-DERRY TOWNSHIP POLICE PA STATE",2
"1397","CAP-DICKENSON COUNTY JAIL, IA STATE",16
"1398","CAP-DIXON CORRECTIONAL CENTER, IL STATE DOC",50
"1399","CAP-DIXON COUNTY JAIL, NE STATE",30
"1400","CAP-EAST LAMPETER TOWNSHIP PA STATE",1
"1401","CAP-EAST MOLINE CORRECTIONAL CENTER, IL STATE DOC",11
"1402","CAP-EASTERN REGIONAL JAIL - WEST VIRGINIA WV STATE",51
"1403","CAP-EMMET COUNTY JAIL, IA STATE",10
"1404","CAP-FRANKLIN COUNTY JAIL PA",61
"1405","CAP-FRANKLIN COUNTY PROBATION PA",64
"1406","CAP-FULTON COUNTY JAIL, IL",1
"1407","CAP-HARRISBURG POLICE DEPARTMENT PA",29
"1408","CAP-HENDERSON COUNTY JAIL, IL",1
"1409","CAP-HENRY COUNTY JAIL, IL",11
"1410","CAP-HILL CORRECTIONAL FACILITY, IL STATE DOC",21
"1411","CAP-HUMBOLDT COUNTY JAIL, IA STATE",13
"1412","CAP-IDA COUNTY JAIL, IA STATE",1
"1413","CAP-ILLINOIS RIVER CORRECTIONAL CENTER, IL STATE DOC",77
"1414","CAP-KNOX COUNTY JAIL, IL",8
"1415","CAP-KOSSUTH COUNTY JAIL, IA STATE",2
"1416","CAP-LANCASTER COUNTY PRISON PA",42
"1417","CAP-LANCASTER COUNTY PROBATION PA",48
"1418","CAP-LEBANON COUNTY CORRECTIONAL FACILITY PA",17
"1419","CAP-LEBANON COUNTY PROBATION PA",12
"1420","CAP-LEE COUNTY JAIL, IL",3
"1421","CAP-LOWER ALLEN TOWNSHIP POLICE DEPARTMENT - CAMP HILL, PA",9
"1422","CAP-LYON COUNTY JAIL, IA STATE",7
"1423","CAP-MADISON COUNTY JAIL, NE STATE",20
"1424","CAP-MANHEIM TOWNSHIP POLICE DEPARTMENT - LANCASTER, PA STATE",5
"1425","CAP-MARSHALL COUNTY JAIL, IL",4
"1426","CAP-MCDONOUGH COUNTY JAIL, IL",1
"1427","CAP-MERCER COUNTY JAIL, IL",1
"1428","CAP-MIDDLETOWN POLICE DEPT - HARRISBURG, PA STATE",1
"1429","CAP-MONONA COUNTY JAIL, IA STATE",4
"1430","CAP-NORTHEASTERN REGIONAL POLICE DEPARTMENT - MT. WOLF, PA STATE",1
"1431","CAP-O'BRIEN COUNTY JAIL, IA STATE",31
"1432","CAP-OGLE COUNTY JAIL, IL",45
"1433","CAP-OSCEOLA COUNTY JAIL, IA STATE",9
"1434","CAP-OTHER STREET ARREST",123
"1435","CAP-PADOC SCI-CAMP HILL PA STATE",357
"1436","CAP-PALO ALTO COUNTY JAIL, IA STATE",3
"1437","CAP-PENN TOWNSHIP POLICE DEPARTMENT - HANOVER, PA STATE",2
"1438","CAP-PENNSYLVANIA STATE POLICE - CARLISLE BARRACKS",46
"1439","CAP-PENNSYLVANIA STATE POLICE - CHAMBERSBURG BARRACKS",11
"1440","CAP-PENNSYLVANIA STATE POLICE - GETTYSBURG BARRACKS",2
"1441","CAP-PENNSYLVANIA STATE POLICE - HARRISBURG BARRACKS",6
"1442","CAP-PENNSYLVANIA STATE POLICE - LYKENS BARRACKS",6
"1443","CAP-PENNSYLVANIA STATE POLICE - NEWPORT BARRACKS",2
"1444","CAP-PENNSYLVANIA STATE POLICE - YORK BARRACKS",4
"1445","CAP-PEORIA COUNTY JAIL, IL",10
"1446","CAP-PERRY COUNTY PRISON PA STATE",1
"1447","CAP-PIERCE COUNTY JAIL, NE STATE",2
"1448","CAP-PLYMOUTH COUNTY JAIL, IA STATE",22
"1449","CAP-POCAHONTAS COUNTY JAIL, IA STATE",1
"1450","CAP-PUTNAME COUNTY JAIL, IL",1
"1451","CAP-ROCK ISLAND COUNTY, IL",17
"1452","CAP-SIOUX COUNTY JAIL, IA STATE",80
"1453","CAP-STEPHENSON COUNTY JAIL, IL",43
"1454","CAP-STREET ARREST",6
"1455","CAP-STREET ARREST AR STATE FAYETTEVILLE",17
"1456","CAP-STREET ARREST FORT SMITH AR STATE",55
"1457","CAP-STREET ARREST NY STATE",2
"1458","CAP-STREET ARREST TEXARKANA AR STATE",7
"1459","CAP-SWATARA TOWNSHIP POLICE DEPARTMENT - HARRISBURG, PA STATE",3
"1460","CAP-THOMSON CORRECTIONAL CENTER, IL STATE DOC",1
"1461","CAP-THURSTON COUNTY JAIL, NE STATE",18
"1462","CAP-U.S. PROBATION HARRISBURG",1
"1463","CAP-USMS - MIDDLE DISTRICT OF PENNSYLVANIA",1
"1464","CAP-USMS - NORTHERN DISTRICT WEST VIRGINIA",1
"1465","CAP-WARREN COUNTY JAIL, IL",12
"1466","CAP-WAYNE COUNTY JAIL, NE STATE",1
"1467","CAP-WEST YORK POLICE DEPARTMENT - YORK, PA STATE",1
"1468","CAP-WESTERN ILLINOIS CORRECTIONAL CENTER, IL STATE DOC",31
"1469","CAP-WHITESIDE COUNTY JAIL, IL",5
"1470","CAP-WOODBURY COUNTY JAIL, IA STATE",192
"1471","CAP-YORK AREA POLICE DEPARTMENT - YORK, PA STATE",1
"1472","CAP-YORK COUNTY PRISON PA STATE",27
"1473","CAP-YORK COUNTY PROBATION PA STATE",3
"1474","CAP-YORK COUNTY SHERIFF DEPARTMENT PA STATE",3
"1475","CAP-YORK HANOVER PD",1
"1476","CAP-YRK GENERAL AREA, NON-SPECIFIC PA STATE",1396
"1477","CAPAC, MICHIGAN",1
"1478","CAPE GIRARDEAU COUNTY SHERIFFS DEPARTMENT MISSOURI",7
"1479","CAPE MAY COUNTY SHERIFF",3
"1480","CAPE MAY COUNTY, NEW JERSEY",47
"1481","CAPE MAY POLICE DEPARTMENT",2
"1482","CARBON COUNTY CORRECTIONAL FACILITY",6
"1483","CARBON COUNTY JAIL - UT",6
"1484","CARBON COUNTY JAIL, RAWLINS, WYOMING",21
"1485","CARBON COUNTY PROBATION",1
"1486","CARBON COUNTY, WYOMING",4
"1487","CARBONDALE, COLORADO",3
"1488","CARIBOU COUNTY JAIL IDAHO",5
"1489","CARLISLE POLICE DEPARTMENT",1
"1490","Carlsbad, CA",3
"1491","CARLSTAD PD",4
"1492","CARNESVILLE, GA",4
"1493","CARNEYS POINT POLICE DEPARTMENT",2
"1494","CAROLINA PROBATION OFFICE",3
"1495","CAROLINE COUNTY DETENTION CENTER",26
"1496","Caroline County General Area",8
"1497","CARROL COUNTY JAIL",5
"1498","CARROL COUNTY, MS",2
"1499","CARROLL COUNTY DETENTION CENTER",5
"1500","CARROLL COUNTY DETENTION CTR, KY",41
"1501","CARROLL COUNTY GA",20
"1502","CARROLL COUNTY JAIL",46
"1503","CARROLL COUNTY MD",35
"1504","CARROLL COUNTY NH",16
"1505","CARROLL COUNTY NH JAIL",4
"1506","CARROLL COUNTY POLICE",1
"1507","CARROLL COUNTY PROBATION AND PAROLE",2
"1508","CARROLL COUNTY SHERIFF'S OFFICE, INDIANA",7
"1509","CARROLLTON CITY JAIL",404
"1510","CARROLLTON PROBATION OFFICE",5
"1511","CARROLLTON, GA",94
"1512","CARSON CITY CORRECTIONAL FACILITY, CARSON CITY, MI",13
"1513","CARSON CITY OFFICE OF PAROLE & PROBATION",3
"1514","CARSON COUNTY",51
"1515","CARSON SHERIFF'S DEPT, CARSON, CA",1
"1516","CARSWELL FMC",29
"1517","CARSWELL JOINT RESERVE BASE, NAVAL AIR STATION, FTW",4
"1518","CARTER COUNTY DETENTION CTR, KY",10
"1519","CARTER COUNTY JAIL",33
"1520","CARTER COUNTY JAIL, TN",11
"1521","CARTERET COUNTY FUGITIVE OPERATIONS",1
"1522","Carteret County Jail",20
"1523","Carteret County Probation Courthouse Square Beaufort, NC",1
"1524","Carteret County, NC",2
"1525","Carteret DOC",1
"1526","CARTERET PD",7
"1527","CARTERSVILLE PROBATION OFFICE",1
"1528","CARTERSVILLE, GA",70
"1529","CARTHAGE POLICE DEPARTMENT, MISSOURI",13
"1530","CARVER COUNTY JAIL, MN",43
"1531","CASCADE COUNTY JAIL MT",17
"1532","CASES REFERRED BY USCIS",1
"1533","CASEY COUNTY DETENTION CTR, KY",4
"1534","CASEYVILLE, ILLINOIS POLICE DEPARTMENT",4
"1535","CASS COUNTY CORRECTIONAL FACILITY, IA",5
"1536","CASS COUNTY JAIL, CASSOPOLIS, MI",7
"1537","CASS COUNTY JAIL, MN",1
"1538","CASS COUNTY JAIL, ND",76
"1539","CASS COUNTY JAIL, NE",38
"1540","CASS COUNTY PROBATION/PAROLE OFFICE",2
"1541","CASS COUNTY SHERIFF'S OFFICE, IL",4
"1542","CASS COUNTY SHERIFF'S OFFICE, INDIANA",33
"1543","CASS COUNTY SHERIFFS OFFICE",4
"1544","CASS COUNTY SHERIFFS OFFICE MISSOURI",19
"1545","CASSELBERRY, FL PROBATION &PAROLE, FL DOC #184",7
"1546","CASSIA COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"1547","CASTRO COUNTY",50
"1548","CASWELL COUNTY JAIL",10
"1549","CASWELL COUNTY, NC",1
"1550","CATAHOULA PARISH JAIL",1
"1551","CATAWBA COUNTY JAIL",32
"1552","CATAWBA COUNTY, NC",10
"1553","CATOOSA COUNTY, GA",14
"1554","CATSKILL POLICE DEPARTMENT",2
"1555","CATTARAUGUS COUNTY JAIL",1
"1556","CAX GENERAL AREA, NON-SPECIFIC",30
"1557","CAYUGA COUNTY",6
"1558","Cayuga County Jail",1
"1559","CAYUGA COUNTY JAIL",4
"1560","Cayuga County Sheriff",2
"1561","CAYUGA COUNTY SHERIFF",2
"1562","CCA US MARSHALL SAN DIEGO",239
"1563","CCC SUSANVILLE",52
"1564","CCF FOLSOM",5
"1565","CCG GENERAL AREA, NON-SPECIFIC",7
"1566","CCN GENERAL AREA, CABARRUS 287G",3
"1567","CDC GENERAL AREA, NON-SPECIFIC",71
"1568","CECIL COUNTY DETENTION CENTER",8
"1569","CECIL COUNTY MD",26
"1570","CECIL COUNTY POLICE DEPARTMENT",1
"1571","CEDAR COUNTY JAIL, IA",9
"1572","CEDAR HILL POLICE DEPARTMENT",10
"1573","CEDARTOWN PROBATION OFFICE",1
"1574","CEDARTOWN, GA",45
"1575","CENTENNIAL, COLORADO",251
"1576","CENTER POLICE DEPT, SHELBY COUNTY, TX",5
"1577","CENTER, CO POLICE DEPARTMENT",2
"1578","CENTERVILLE, GA (GWINNETT COUNTY)",2
"1579","CENTERVILLE, TEXAS",3
"1580","CENTINELA STATE PRISON",14
"1581","CENTRAL CALIFORNIA WOMEN'S FACILITY",30
"1582","CENTRAL FLORIDA RECEPTION CENTER (FLDOC)",1
