"","landmark","total"
"1977","CLAY COUNTY JAIL, MN",256
"1978","CLAY COUNTY JAIL, NC",1
"1979","CLAY COUNTY JAIL, NE",1
"1980","CLAY COUNTY JAIL, SD",1
"1981","CLAY COUNTY JAIL, TN",1
"1982","CLAY COUNTY SHERIFF'S OFFICE, INDIANA",13
"1983","CLAY COUNTY SHERIFFS OFFICE",7
"1984","CLAY COUNTY SHERIFFS OFFICE MISSOURI",118
"1985","CLAY COUNTY SHERIFFS OFFICE, CLAY CENTER, KANSAS",1
"1986","CLAY COUNTY, GA",14
"1987","CLAYTON COUNTY JAIL, IA",7
"1988","CLAYTON COUNTY, GA",398
"1989","CLAYTON POLICE DEPARTMENT, MISSOURI",2
"1990","CLAYTON PROBATION OFFICE",1
"1991","CLAYTON, GA",65
"1992","CLEAR CREEK COUNTY",3
"1993","CLEAR CREEK COUNTY JAIL",18
"1994","CLEAR LAKE, TEXAS",1
"1995","CLEARFIELD COUNTY PRISON",6
"1996","CLEARWATER COUNTY JAIL ID",2
"1997","CLEARWATER COUNTY JAIL, MN",2
"1998","CLEBURNE COUNTY JAIL",28
"1999","CLEBURNE POLICE DEPARTMENT",8
"2000","CLEMENTON POLICE DEPARTMENT",2
"2001","CLERMONT COUNTY JAIL",24
"2002","CLEVELAND COUNTY JAIL",140
"2003","CLEVELAND COUNTY, NC",4
"2004","CLEVELAND ERO OFFICE",673
"2005","CLEVELAND, GA",1
"2006","CLEVELAND, TEXAS",30
"2007","CLIFFSIDE PARK PD",93
"2008","CLIFTON CITY",14
"2009","CLIFTON PD",203
"2010","CLINTON COUNTY",3
"2011","CLINTON COUNTY CORRECTIONAL FACILITY",14
"2012","CLINTON COUNTY JAIL",413
"2013","CLINTON COUNTY JAIL, IA",19
"2014","CLINTON COUNTY JAIL, ST. JOHNS, MI",21
"2015","CLINTON COUNTY PROBATION",1
"2016","CLINTON COUNTY SHERIFF'S OFFICE, INDIANA",68
"2017","CLINTON COUNTY SHERIFFS DEPARTMENT, ILLINOIS",23
"2018","CLINTON COUNTY SHERIFFS OFFICE MISSOURI",6
"2019","CLINTON COUNTY, KY",1
"2020","CLINTON DISTRICT COURT",1
"2021","CLINTON PD",7
"2022","CLINTON POLICE DEPARTMENT",1
"2023","CLINTON TOWNSHIP, MICHIGAN",26
"2024","CLINTON TWP PD",9
"2025","CLM GENERAL AREA, NON-SPECIFIC",4676
"2026","CLOSTER PD",7
"2027","CLOUD COUNTY SHERIFFS OFFICE, CONCORDIA, KANSAS",4
"2028","CLOVIS POLICE DEPARTMENT",10
"2029","CLT GENERAL AREA, MECKLENBURG 287G",464
"2030","CLT GENERAL AREA, NON-SPECIFIC",85
"2031","CLUTE POLICE DEPT, BRAZORIA CO, TX",3
"2032","CLUTE POLICE DEPT, BRAZORIA COUNTY, TX",8
"2033","CMF VACAVILLE",41
"2034","CNG GENERAL AREA, NON-SPECIFIC",563
"2035","CNT GENERAL AREA, NON-SPECIFIC",5
"2036","COA GENERAL AREA, NON-SPECIFIC",12
"2037","COAL COUNTY JAIL",4
"2038","COALINGA POLICE DEPARTMENT",12
"2039","COBB COUNTY JAIL - 287(G)",18
"2040","COBB COUNTY STATE COURT PROBATION",3
"2041","COBB COUNTY, GA",83
"2042","COBURN AVE, ORLANDO, FL PROBATION AND PAROLE, FL DOC # 096 #09A#091",91
"2043","COCHRAN COUNTY JAIL",16
"2044","COCKE COUNTY JAIL, TN",27
"2045","COCKRELL HILL POLICE DEPARTMENT",18
"2046","COCOA, FL PROBATION AND PAROLE, FL DOC #182",6
"2047","CODINGTON CO DET CENT, WATERTOWN, SD",39
"2048","COFFEE COUNTY GA",67
"2049","COFFEE COUNTY JAIL, TN",64
"2050","COFFEE COUNTY, GA",2
"2051","COFFEE CREEK CORRECTIONAL",419
"2052","COFFEEWOOD CORRECTIONAL CENTER - VA",85
"2053","COFFEEWOOD CORRECTIONAL CENTER-VA",2
"2054","COFFEY COUNTY SHERIFFS OFFICE KANSAS",2
"2055","COHOES POLICE DEPARTMENT NY STATE",2
"2056","COHUTTA, GA",1
"2057","COLDWATER, MICHIGAN",11
"2058","COLE COUNTY SHERIFFS OFFICE MISSOURI",18
"2059","COLEMAN COUNTY JAIL - COLEMAN, TX",1
"2060","Coleman County, TX At Large",1
"2061","Coleman County, TX Jail",3
"2062","COLES COUNTY SHERIFF'S OFFICE, IL",2
"2063","COLFAX COUNTY DETENTION CENTER, RATON, NM",1
"2064","COLFAX COUNTY JAIL, NE",1
"2065","COLLEGE PARK, GA (FULTON COUNTY)",12
"2066","COLLETON COUNTY JAIL",60
"2067","COLLETON COUNTY, SC",4
"2068","COLLETON, SC",4
"2069","COLLEYVILLE POLICE DEPARTMENT",5
"2070","COLLIN COUNTY GENERAL AREA",154
"2071","COLLIN COUNTY JAIL",1035
"2072","COLLINGSWOOD POLICE DEPARTMENT",2
"2073","COLLINGSWORTH COUNTY",5
"2074","COLLINGSWORTH COUNTY JAIL",1
"2075","COLLINS CORRECTIONAL FACILITY",2
"2076","COLLINSVILLE, ILLINOIS POLICE DEPARTMENT",12
"2077","COLONIAL DRIVE A,B, C, D ORLANDO, FL PROBATION & PAROLE, FL DOC #092,097,09B",34
"2078","COLONIE POLICE DEPARTMENT",7
"2079","COLORADO COUNTY JAIL, COLUMBUS, TX",80
"2080","COLORADO COUNTY PROBATION, COLUMBUS, TX",8
"2081","COLORADO DEPARTMENT OF CORRECTIONS",1159
"2082","COLORADO DEPARTMENT OF CORRECTIONS ADULT PAROLE",6
"2083","COLORADO STATE PATROL",3
"2084","COLQUITT COUNTY JAIL, GA",30
"2085","COLQUITT COUNTY, GA",8
"2086","COLQUITT, GA",4
"2087","COLTS NECK TWP PD",3
"2088","COLUMBIA COUNTY",13
"2089","COLUMBIA COUNTY JAIL",44
"2090","COLUMBIA COUNTY JAIL, WA",3
"2091","COLUMBIA COUNTY PRISON",21
"2092","COLUMBIA COUNTY PROBATION",2
"2093","COLUMBIA COUNTY SHERIFFS OFFICE",6
"2094","COLUMBIA COUNTY, GA",51
"2095","COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI)",5
"2096","COLUMBIANA COUNTY JAIL",6
"2097","Columbus County Jail",31
"2098","COLUMBUS COUNTY JAIL",4
"2099","Columbus County Probation 110 W. Smith St. Whiteville, NC",2
"2100","Columbus County, NC",5
"2101","Columbus DOC",30
"2102","COLUMBUS, GA",12
"2103","COLUSA COUNTY JAIL",37
"2104","COMAL COUNTY JAIL - TX0460000",400
"2105","COMANCHE COUNTY JAIL",49
"2106","COMM CORRECTIONAL CENTER-LINCOLN, NE",1
"2107","COMM CORRECTIONAL CENTER-OMAHA, NE",2
"2108","Commerce Township, MI",1
"2109","COMMERCE, GA",4
"2110","CONCORD DISTRICT COURT",4
"2111","CONCORD POLICE DEPARTMENT",37
"2112","CONCORD POLICE DEPT",2
"2113","CONEJOS COUNTY JAIL",4
"2114","CONEJOS COUNTY, CO",2
"2115","CONROE POLICE DEPT, MONTGOMERY COUNTY, TX",3
"2116","CONROE, TEXAS",150
"2117","CONTRA COSTA COUNTY JAIL MAIN- CA",671
"2118","CONTRA COSTA COUNTY JAIL WEST-CA",42
"2119","CONTRA COSTA COUNTY JUVY HALL",2
"2120","CONVERSE COUNTY JAIL, DOUGLAS, WYOMING",19
"2121","CONVERSE COUNTY, WYOMING",29
"2122","CONWAY COUNTY JAIL",3
"2123","CONYERS PAROLE",2
"2124","CONYERS PROBATION OFFICE",5
"2125","CONYERS, GA",71
"2126","COOK COUNTY GENERAL AREA",2
"2127","COOK COUNTY JAIL",52
"2128","COOK COUNTY JAIL, GA",8
"2129","COOK COUNTY JAIL, MN",15
"2130","COOK COUNTY SHERIFFS, GA",1
"2131","COOK COUNTY, GA",1
"2132","COOKE COUNTY SHERIFFS OFFICE",93
"2133","COOLIDGE POLICE DEPARTMENT",1
"2134","COOLIDGE, GA",1
"2135","COOPER COUNTY SHERIFFS OFFICE MISSOURI",2
"2136","COOPER STREET CORRECTIONAL FACILITY, JACKSON, MI",4
"2137","COOS COUNTY JAIL",10
"2138","COOS COUNTY NH",5
"2139","COPIAH COUNTY, MS",23
"2140","COPPELL POLICE DEPARTMENT",14
"2141","CORCORAN POLICE DEPARTMENT",6
"2142","CORCORAN STATE PRISON",95
"2143","CORDELE, GA",2
"2144","CORDOVA JAIL",2
"2145","CORINTH POLICE DEPARTMENT",4
"2146","CORNELIA, GA",2
"2147","CORNELL - AIRPARK",2
"2148","CORNELL - FLIGHTLINE",1
"2149","CORNING POLICE DEPARTMENT",1
"2150","CORPUS CHRISTI POLICE DEPT, NUECES CO, TX",60
"2151","CORPUS CHRISTI POLICE DEPT, NUECES COUNTY, TX",3
"2152","CORPUS CHRISTI, TEXAS",31
"2153","CORRECTIONAL CORPORATION OF AMERICA ? UNITED STATES MARSHALS SERVICE",25
"2154","CORRECTIONAL RECEPTION CENTER",8
"2155","CORRECTIONS CORPORATION OF AMERICA LEAVENWORTH KANSAS",46
"2156","CORRIGAN CORRECTIONAL INSTITUTION, UNCASVILLE, CT",33
"2157","CORSICANA CORRECTION CENTER",27
"2158","CORSON COUNTY JAIL, MCINTOSH, SD",20
"2159","CORTLAND COUNTY",1
"2160","Cortland County Jail",7
"2161","CORTLAND COUNTY JAIL",3
"2162","Cortland County Sheriff",5
"2163","CORTLAND COUNTY SHERIFF",1
"2164","Cortland Police Department",12
"2165","CORYELL COUNTY JAIL, GATESVILLE, TEXAS",36
"2166","COSHOCTON COUNTY MUNICIPAL COURT PROBATION",1
"2167","COSTILLA COUNTY JAIL",5
"2168","COSTILLA COUNTY, CO",7
"2169","COTTON COUNTY JAIL",14
"2170","COTTONWOOD CO JAIL, WINDOM, MN",22
"2171","COTTONWOOD COUNTY JAIL, MN",2
"2172","COVENTRY, CT POLICE DEPARTMENT",1
"2173","COVINGTON COUNTY JAIL, MS",1
"2174","COVINGTON PROBATION OFFICE",3
"2175","COVINGTON, GA",21
"2176","COWETA COUNTY PROBATION",1
"2177","COWETA COUNTY, GA",249
"2178","COWLEY COUNTY SHERIFFS OFFICE, WINFIELD, KANSAS",22
"2179","COWLITZ COUNTY JAIL",503
"2180","COWLITZ COUNTY JUVENILE FACILITY",11
"2181","COYOTE RIDGE CORRECTIONS",57
"2182","CPD GENERAL AREA, NON-SPECIFIC",1
"2183","CPT GENERAL AREA, NON-SPECIFIC",279
"2184","CRAIG COUNTY JAIL",16
"2185","CRAIGHEAD COUNTY JAIL",111
"2186","CRANBURY PD",30
"2187","CRANE COUNTY JAIL",3
"2188","CRANFORD PD",28
"2189","CRANSTON PD",1
"2190","CRAVEN COUNTY FUGITIVE OPERATIONS",1
"2191","CRAVEN COUNTY JAIL",51
"2192","CRAWFORD COUNTY CORRECTIONAL FACIILITY",2
"2193","CRAWFORD COUNTY JAIL",11
"2194","CRAWFORD COUNTY JAIL, GRAYLING, MI",4
"2195","CRAWFORD COUNTY SHERIFF'S DEPARTMENT",5
"2196","CRAWFORD COUNTY SHERIFF'S OFFICE, INDIANA",2
"2197","CRAWFORD COUNTY SHERIFFS OFFICE, KANSAS",8
"2198","CRAWFORD COUNTY, GA",4
"2199","CRE GENERAL AREA, NON-SPECIFIC",17
"2200","CREEK COUNTY JAIL",20
"2201","CRESSKILL PD",7
"2202","CREVE CEOUR POLICE DEPARTMENT",2
"2203","CRI GENERAL AREA, NON-SPECIFIC",965
"2204","CRIMINAL ALIEN PROGAM STREET ARREST",1
"2205","CRIMINAL CASE MONITORING",1
"2206","CRIMINAL JUSTICE CENTER PECOS",3
"2207","CRIMINAL JUSTICE COMPLEX, CHA, VI",9
"2208","CRISP COUNTY JAIL, GA",72
"2209","CRISP COUNTY, GA",1
"2210","Crittenden County Jail",3
"2211","CROCKETT COUNTY JAIL OZONA, TX",7
"2212","Crockett County, TX Jail",3
"2213","CROCKETT, TEXAS",10
"2214","CROOK COUNTY JAIL",15
"2215","CROOK COUNTY JAIL, SUNDANCE, WYOMING",2
"2216","CROOK COUNTY, WYOMING",1
"2217","CROSBY COUNTY JAIL",4
"2218","CROSS COUNTY JAIL",2
"2219","CROSSROADS CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",1
"2220","CROW WING COUNTY JAIL, MN",4
"2221","CROW WING COUNTY, MN",22
"2222","CROWLEY COUNTY JAIL",1
"2223","CROWLEY POLICE DEPARTMENT",6
"2224","CROWLY COUNTY JAIL",1
"2225","CROWN MOUNTAIN",13
"2226","CRP GENERAL AREA, NON-SPECIFIC",1050
"2227","CRYSTAL PD, MN",1
"2228","CSO GENERAL AREA, NON-SPECIFIC",11
"2229","CSP FOLSOM",157
"2230","CSP HIGH DESERT",45
"2231","CSP SACRAMENTO",40
"2232","CSP SOLANO",115
"2233","CT STATE POLICE TROOP A, SOUTHBURY, CT",1
"2234","CT STATE POLICE TROOP D, DANIELSON, CT",1
"2235","CT STATE POLICE TROOP G, BRIDGEPORT, CT",2
"2236","CULPEPER COUNTY JAIL - VA",276
"2237","CULPEPER COUNTY JAIL-VA",1
"2238","CULPEPER JUVENILE DETENTION CENTER - VA",6
"2239","CULPEPPER COUNTY JAIL-VA",7
"2240","CUMBERLAND CO PROBATION DICK ST FAYETTEVILLE",13
"2241","CUMBERLAND CO PROBATION W RUSSELL ST FAYETTEVILLE",1
"2242","CUMBERLAND COUNTY FUGITIVE OPERATIONS",13
"2243","CUMBERLAND COUNTY JAIL",308
"2244","CUMBERLAND COUNTY JAIL, PORTLAND",1044
"2245","CUMBERLAND COUNTY JAIL, TN",11
"2246","CUMBERLAND COUNTY SHERIFF",2
"2247","CUMBERLAND COUNTY SHERIFF'S OFFICE",4
"2248","CUMBERLAND COUNTY, NEW JERSEY",478
"2249","CUMBERLAND POLICE DEPARTMENT",1
"2250","CUMMING PROBATION OFFICE",27
"2251","CUMMING, GA",106
"2252","CURRITUCK COUNTY JAIL",11
"2253","CURRY COUNTY DETENTION CENTER, CLOVIS, NM",1
"2254","CURRY COUNTY JAIL",5
"2255","CUSTER COUNTY JAIL",53
"2256","CUSTER COUNTY JAIL ID",4
"2257","CUSTER COUNTY JAIL MT",4
"2258","CUSTER COUNTY JAIL, NE",1
"2259","CUSTER COUNTY, CO",6
"2260","CUYAHOGA COUNTY JAIL",213
"2261","D - BROWN COUNTY GENERAL AREA",27
"2262","D - BROWN COUNTY JAIL",56
"2263","D - DOOR COUNTY GENERAL AREA",3
"2264","D - DOOR COUNTY JAIL",3
"2265","D - KEWAUNEE COUNTY GENERAL AREA",2
"2266","D - KEWAUNEE COUNTY JAIL",4
"2267","D - LANGLADE COUNTY JAIL",1
"2268","D - MARINETTE COUNTY JAIL",3
"2269","D - OCONTO COUNTY GENERAL AREA",3
"2270","D - OCONTO COUNTY JAIL",3
"2271","D - OUTAGAMIE COUNTY GENERAL AREA",20
"2272","D - OUTAGAMIE COUNTY JAIL",15
"2273","D - SHAWANO COUNTY GENERAL AREA",1
"2274","D - SHAWANO COUNTY JAIL",3
"2275","D - WAUPACA COUNTY JAIL",1
"2276","D - WI DOC - GREEN BAY CORRECTIONAL INSTITUTION",2
"2277","D RAY JAMES BOP",4
"2278","D-RAY JAMES FCI, GA",1
"2279","D. RAY JAMES",2413
"2280","D.E.A. DALLAS OFFICE",15
"2281","DACULA, GA",4
"2282","DADE COUNTY, GA",24
"2283","DAHLONEGA, GA",1
"2284","DAK GENERAL AREA, NON-SPECIFIC",77
"2285","DAKOTA COUNTY JAIL, MN",2135
"2286","DAKOTA WOMENS CORRECTIONN AND REHAB CENTER,ND",1
"2287","DAL COUNTY JAIL",12200
"2288","DALLAM COUNTY",157
"2289","DALLAM COUNTY JAIL",16
"2290","DALLAS COUNTY DISTRICT ATTORNEY'S OFFICE",4
"2291","DALLAS COUNTY GENERAL AREA",6914
"2292","DALLAS COUNTY IOWA",98
"2293","DALLAS COUNTY JAIL",8
"2294","DALLAS COUNTY JAIL, AL",1
"2295","DALLAS COUNTY SHERIFFS OFFICE, MISSOURI",1
"2296","DALLAS DISTRICT OFFICE",13
"2297","DALLAS POLICE DEPARTMENT",62
"2298","DALLAS, GA",4
"2299","DALTON PROBATION OFFICE",1
"2300","DALTON, GA (WHITFIELD COUNTY)",39
"2301","DALWORTHINGTON GARDENS POLICE DEPARTMENT",9
"2302","DAMASCUS, GA (EARLY COUNTY)",1
"2303","DANBURY, CT",60
"2304","DANBURY, CT POLICE DEPARTMENT",22
"2305","DANIELS COUNTY JAIL MT",1
"2306","DANIELSVILLE PROBATION OFFICE",1
"2307","DANIELSVILLE, GA",2
"2308","DANVILLE CITY JAIL - VA",13
"2309","DANVILLE CITY JAIL FARM - VA",2
"2310","DANVILLE CITY JAIL FARM-VA",2
"2311","DANVILLE CITY JAIL-VA",23
"2312","DANVILLE CORRECTIONAL CENTER, IL (ILLINOIS DOC)",2
"2313","DANVILLE POLICE DEPARTMENT - DANVILLE, PA",1
"2314","DAPHNE PD, AL",3
"2315","DARE COUNTY JAIL",107
"2316","DARIEN, CT POLICE DEPARTMENT",1
"2317","DARKE COUNTY JAIL",4
"2318","DARLINGTON COUNTY DETENTION CENTER",5
"2319","DARLINGTON COUNTY, SC",63
"2320","DARRELL B HESTER JUVENILE DETENTION CENTER",1
"2321","Darrell B. Hester Juvenil Detention Center",30
"2322","DAVIDSON COUNTY JAIL",73
"2323","DAVIDSON COUNTY JAIL, TN",814
"2324","DAVIDSON COUNTY, NC",10
"2325","DAVIE COUNTY JAIL",37
"2326","DAVIE COUNTY, NC",3
"2327","Daviess County Detention Center",101
"2328","DAVIESS COUNTY DETENTION CTR, KY",25
"2329","DAVIESS COUNTY SHERIFF'S OFFICE, WASHINGTON, INDIANA",23
"2330","DAVIESS COUNTY SHERIFFS OFFICE MISSOURI",13
"2331","DAVIS COUNTY IOWA",1
"2332","DAVIS COUNTY JAIL - UT",171
"2333","DAVIS POLICE DEPARTMENT",1
"2334","DAVISON CO JAIL, MITCHELL, SD",33
"2335","DAWES COUNTY JAIL, NE",3
"2336","DAWSON COUNTY",2
"2337","DAWSON COUNTY JAIL",20
"2338","DAWSON COUNTY JAIL MT",10
"2339","DAWSON COUNTY JAIL, NE",108
"2340","DAWSON COUNTY, GA",35
"2341","DAWSON PROBATION OFFICE",1
"2342","DAWSON, GA",4
"2343","DAWSONVILLE, GA",9
"2344","DAY CO JAIL, WEBSTER, SD",2
"2345","DAYTON, TEXAS",19
"2346","DAYTONA BEACH MAIN, FL PROBATION & PAROLE, FL DOC #070",3
"2347","DAYTONA BEACH MAIN, FL PROBATION & PAROLE, FL DOC #070,077",7
"2348","DAYTONA BEACH, FL PROBATION & PAROLE, FL DOC #070,077",8
"2349","DC JAIL - CENTRAL DETENTION - CENTRAL TREATMENT - DISTRICT OF COLUMBIA - DC",1050
"2350","DCSGEN-DEWITT COUNTY SHERIFF'S OFFICE",9
"2351","DE BACA COUNTY CORRECTIONAL FACILITY, FORT SUMNER, NM",1
"2352","DEA BANGOR",1
"2353","DEA PORTLAND",1
"2354","DEA STRIKEFORCE",63
"2355","DEADWOOD, SOUTH DAKOTA",31
"2356","DEAF SMITH COUNTY",221
"2357","DEAF SMITH COUNTY JAIL",28
"2358","DEAL PD",19
"2359","DEARBORN COUNTY SHERIFF'S OFFICE, INDIANA",2
"2360","Dearborn Heights",1
"2361","DEARBORN HEIGHTS POLICE DEPARTMENT",12
"2362","DEARBORN HEIGHTS, MICHIGAN",36
"2363","DEARBORN POLICE DEPARTMENT",38
"2364","DEARBORN, MI",77
"2365","DECATUR CORRECTIONAL CENTER, (ILLINOIS DOC)",1
"2366","DECATUR COUNTY IOWA",1
"2367","DECATUR COUNTY JAIL, GA",5
"2368","DECATUR COUNTY SHERIFF'S OFFICE, INDIANA",4
"2369","DECATUR COUNTY, GA",13
"2370","DECATUR POLICE DEPARTMENT",9
"2371","DECATUR, GA",115
"2372","DEDHAM DISTRICT COURT",10
"2373","DEDHAM POLICE DEPT",2
"2374","DEEP MEADOW CORRECTIONAL CENTER-VA",5
"2375","DEEP MEADOWS CORRECTIONAL CENTER-VA",1
"2376","DEER PARK POLICE DEPT, HARRIS CO, TX",5
"2377","DEER PARK POLICE DEPT, HARRIS COUNTY, TX",16
"2378","DEER PARK, TEXAS",1
"2379","DEERFIELD CORRECTIONAL CENTER - VA",3
"2380","DEERFIELD CORRECTIONAL FACILITY, IONIA, MI",1
"2381","DEERLODGE COUNTY JAIL MT",1
"2382","Defiance County, OH",17
"2383","DEKALB CENTRAL PROBATION OFFICE",3
"2384","DEKALB COUNTY JAIL, FORT PAYNE, AL",1
"2385","DEKALB COUNTY JAIL, TN",1
"2386","DEKALB COUNTY SHERIFF'S OFFICE, INDIANA",10
"2387","DEKALB COUNTY SHERIFFS OFFICE MISSOURI",1
"2388","DEKALB COUNTY, GA",444
"2389","DEKALB PROBATION OFFICE",2
"2390","Del Mar, CA",1
"2391","DEL NORTE COUNTY JAIL - CA",1
"2392","DEL NORTE, CO POLICE DEPARTMENT",2
"2393","DEL RIO POLICE DEPARTMENT",1
"2394","DEL RIO U.S. MARSHALS",6
"2395","DEL RIO U.S. PROBATIONS",1
"2396","DELANCO TOWNSHIP POLICE DEPARTMENT",2
"2397","DELAND, FL PROBATION & PAROLE, FL DOC #071",17
"2398","DELANO CCF",871
"2399","DELANO POLICE DEPARTMENT",8
"2400","DELAWARE COUNTY",7
"2401","DELAWARE COUNTY JAIL",70
"2402","DELAWARE COUNTY JAIL, IA",12
"2403","DELAWARE COUNTY PRISON",190
"2404","DELAWARE RIVER PORT AUTHORITY OF PA AND NJ",1
"2405","DELAWARE STATE POLICE - TROOP 1",5
"2406","DELAWARE STATE POLICE - TROOP 2",11
"2407","DELAWARE STATE POLICE - TROOP 4",1
"2408","DELAWARE STATE POLICE - TROOP 6",1
"2409","DELAWARE STATE POLICE - TROOP 9",1
"2410","DELAWARE TWP PD",2
"2411","DELEWARE COUNTY SHERIFF'S OFFICE, INDIANA",11
"2412","DELORES J. BAYLOR CORRECTIONAL INSTITUTION",13
"2413","DELRAN TOWNSHIP POLICE DEPARTMENT",7
"2414","DELTA COUNTY",3
"2415","DELTA COUNTY COURTHOUSE",1
"2416","DELTA COUNTY CRIM AT LARGE",2
"2417","DELTA COUNTY JAIL",47
"2418","DELTA COUNTY JAIL, ESCANABA, MI",2
"2419","DELTA COUNTY PROBATIO OFFICE",8
"2420","DELTA COUNTY PROBATION OFFICE",1
"2421","DELTA COUNTY SHERIFFS OFFICE",8
"2422","DELTA, COLORADO",18
"2423","DEMAREST PD",9
"2424","DEMING, NEW MEXICO",1
"2425","DENTON CITY JAIL",74
"2426","DENTON COUNTY GENERAL AREA",21
"2427","DENTON COUNTY JAIL",1026
"2428","DENTON COUNTY SHERIFFS OFFICE",3
"2429","DENVER COUNTY",3131
"2430","DENVER COUNTY JAIL",39
"2431","DENVER COUNTY PROBATION OFFICE",77
"2432","DENVER JUSTICE CENTER",2128
"2433","DENVER, CO",25
"2434","DENVILLE PD",30
"2435","DEPARTMENT OF DEFENSE FORT DIX POLICE",11
"2436","DEPARTMENT OF DEFENSE POLICE, PICATINNY",3
"2437","DEPT OF CORRECTIONS, RAWLINS, WYOMING",8
"2438","DEPT OF CORRECTIONS, TORRINGTON, WYOMING",1
"2439","DEPT OF CORRECTIONS, WOMENS PRISON, LUSK, WYOMING",1
"2440","DEPT OF CORRETIONS, TORRINGTON, WYOMING",5
"2441","DEPTFORD TOWNSHIP POLICE DEPARTMENT",1
"2442","DERBY, CT",3
"2443","DERBY, CT POLICE DEPARTMENT",2
"2444","DES MOINES CITY PD",1
"2445","DES PERES POLICE DEPARTMENT, MISSOURI",4
"2446","DESCHUTES COUNTY JAIL",99
"2447","DESERT VIEW CCF (STATE) ADELANTO, CA",162
"2448","DESMOINES COUNTY JAIL, IA",13
"2449","DESOTO COUNTY, MS",1
"2450","DESOTO POLICE DEPARTMENT",34
"2451","DETENTION AND REMOVAL OPERATIONS, HARLINGEN FIELD OFFICE",4
"2452","DETENTION AND REMOVALS OPERATIONS, HARLINGEN FIELD OFFICE",2
"2453","DETROIT POLICE DEPARTMENT",46
"2454","DETROIT, MI",1082
"2455","DEUEL VOCATIONAL INSTITUTION",349
"2456","DEWEY COUNTY JAIL",6
"2457","DEWEY COUNTY JAIL, TIMBER LAKE, SD",36
"2458","DEWITT CO JAIL, CUERO, TX",6
"2459","DEWITT COUNTY JAIL, CUERO, TX",52
"2460","DEWITT COUNTY PROBATION, CUERO, TX",1
"2461","DEWITT TOWN POLICE DEPARTMENT",2
"2462","DEXTER POLICE DEPARTMENT, MISSOURI",1
"2463","DHD GENERAL AREA, NON-SPECIFIC",1058
"2464","DIAGNOSTIC & EVALUATION CENTER, NE",133
"2465","DICKENSON COUNTY SHERIFFS OFFICE, ABILENE, KANSAS",9
"2466","DICKINSON COUNTY JAIL, IRON MOUNTAIN, MI",3
"2467","DICKINSON, TEXAS",5
"2468","DICKSON COUNTY JAIL, TN",55
"2469","DILLON AREA",1
"2470","DILLON COUNTY JAIL",41
"2471","DILLON COUNTY, SC",2
"2472","DILLON, MT PROBATION&PAROLE",1
"2473","DILLON, SC",4
"2474","DILWYNN CORRECTIONAL CENTER-VA",5
"2475","DIMMIT COUNTY JAIL",6
"2476","DIMMIT COUNTY JAIL - TX0640000",8
"2477","DINOSAUR, COLORADO",2
"2478","DINUBA POLICE DEPARTMENT",15
"2479","DINWIDDIE COUNTY JAIL - VA",8
"2480","DIXON CORRECTIONAL CENTER",5
"2481","DIXON CORRECTIONAL CENTER, IL (ILLINOIS DOC)",3
"2482","DLR GENERAL AREA, NON-SPECIFIC",127
"2483","DO NOT USE",5981
"2484","DO NOT USE!!!!!",50
"2485","DOBSON, NC",3
"2486","DOC",2
"2487","DOC CAP: BILL JOHNSON CORRECTIONAL CENTER",10
"2488","DOC CAP: CIMARRON CORRECTIONAL FACILITY",18
"2489","DOC CAP: DAVIS CORRECTIONAL FACILITY",7
"2490","DOC CAP: DR EDDIE WARRIOR CORRECTIONAL CENTER",3
"2491","DOC CAP: ENID COMMUNITY CORRECTIONS CENTER",1
"2492","DOC CAP: HOWARD MCLEOD CORRECTIONAL CENTER",27
"2493","DOC CAP: JACKIE BRANNON CORRECTIONAL CENTER",28
"2494","DOC CAP: JAMES CRABTREE CORRECTIONAL CENTER",11
"2495","DOC CAP: JESS DUNN CORRECTIONAL CENTER",35
"2496","DOC CAP: JIM E HAMILTON CORRECTIONAL CENTER",14
"2497","DOC CAP: JOHN LILLEY CORRECTIONAL CENTER",9
"2498","DOC CAP: JOSEPH HARP CORRECTIONAL CENTER",3
"2499","DOC CAP: LAWTON COMMUNITY CORRECTIONS CENTER",2
"2500","DOC CAP: LAWTON CORRECTIONAL FACILITY",39
"2501","DOC CAP: LEXINGTON AREA RECEPTION CENTER",244
"2502","DOC CAP: LEXINGTON CORRECTIONAL CENTER",8
"2503","DOC CAP: MABEL BASSETT CORRECTIONAL CENTER",21
"2504","DOC CAP: MACK ALFORD CORRECTIONAL CENTER",13
"2505","DOC CAP: NORTHEAST OKLAHOMA CORRECTIONAL CENTER",19
"2506","DOC CAP: OKLAHOMA CITY CMMTY CORRECTIONS CENTER",2
"2507","DOC CAP: OKLAHOMA STATE PENITENTIARY",5
"2508","DOC CAP: OKLAHOMA STATE REFORMATORY",5
"2509","DOC CAP: RB DICK CONNER CORRECTIONAL CENTER",7
"2510","DOC CAP: WILLIAM S KEY CORRECTIONAL CENTER",28
"2511","Documnet Fraud TF, San Diego, CA",1
"2512","DODGE COUNTY CORRECTIONS DEPARTMENT, NE",48
"2513","DODGE COUNTY, GA",21
"2514","DOMINGUEZ STATE JAIL",1
"2515","DON""T USE GENERAL",3
"2516","DONA ANA COUNTY DETENTION CENTER",72
