"","aor","apprehension_landmark","total"
"1667","CHI","BUTLER COUNTY SHERIFFS, EL DORADO, KANSAS",18
"1668","CHI","BUTLER COUNTY, KY",8
"1669","CHI","C - BARRON COUNTY JAIL",4
"1670","CHI","C - BUFFALO COUNTY JAIL",2
"1671","CHI","C - BURNETT COUNTY JAIL",1
"1672","CHI","C - CHIPPEWA COUNTY GENERAL AREA",1
"1673","CHI","C - CHIPPEWA COUNTY JAIL",10
"1674","CHI","C - CLARK COUNTY GENERAL AREA",6
"1675","CHI","C - CLARK COUNTY JAIL",13
"1676","CHI","C - DOUGLAS COUNTY JAIL",2
"1677","CHI","C - DUNN COUNTY JAIL",4
"1678","CHI","C - EAU CLAIRE COUNTY GENERAL AREA",9
"1679","CHI","C - EAU CLAIRE COUNTY JAIL",14
"1680","CHI","C - JACKSON COUNTY GENERAL AREA",2
"1681","CHI","C - JACKSON COUNTY JAIL",3
"1682","CHI","C - LINCOLN COUNTY JAIL",3
"1683","CHI","C - MARATHON COUNTY GENERAL AREA",8
"1684","CHI","C - MARATHON COUNTY JAIL",29
"1685","CHI","C - ONIEDA COUNTY JAIL",1
"1686","CHI","C - PIERCE COUNTY JAIL",2
"1687","CHI","C - POLK COUNTY JAIL",1
"1688","CHI","C - PORTAGE COUNTY JAIL",14
"1689","CHI","C - RUSK COUNTY JAIL",3
"1690","CHI","C - SAWYER COUNTY JAIL",1
"1691","CHI","C - ST CROIX COUNTY JAIL",1
"1692","CHI","C - TAYLOR COUNTY GENERAL AREA",8
"1693","CHI","C - TAYLOR COUNTY JAIL",11
"1694","CHI","C - TREMPEALEAU COUNTY GENERAL AREA",10
"1695","CHI","C - TREMPEALEAU COUNTY JAIL",54
"1696","CHI","C - VILAS COUNTY JAIL",1
"1697","CHI","C - WOOD COUNTY GENERAL AREA",3
"1698","CHI","C - WOOD COUNTY JAIL",12
"1699","CHI","CALDWELL COUNTY JAIL, KY",6
"1700","CHI","CALDWELL COUNTY SHERIFFS OFFICE MISSOURI",5
"1701","CHI","CALLAWAY COUNTY SHERIFFS OFFICE MISSOURI",4
"1702","CHI","CALLOWAY COUNTY JAIL, KY",13
"1703","CHI","CAMDEN COUNTY SHERIFFS OFFICE, MISSOURI",2
"1704","CHI","CAMPBELL COUNTY DETENTION CTR, KY",9
"1705","CHI","CAP - DEPARTMENT OF CORRECTIONS, NEVADA",1
"1706","CHI","CAP STREET ARREST",6
"1707","CHI","CAP-BUREAU COUNTY JAIL, IL",19
"1708","CHI","CAP-CARROLL COUNTY JAIL, IL",3
"1709","CHI","CAP-DIXON CORRECTIONAL CENTER, IL STATE DOC",50
"1710","CHI","CAP-EAST MOLINE CORRECTIONAL CENTER, IL STATE DOC",11
"1711","CHI","CAP-FULTON COUNTY JAIL, IL",1
"1712","CHI","CAP-HENDERSON COUNTY JAIL, IL",1
"1713","CHI","CAP-HENRY COUNTY JAIL, IL",11
"1714","CHI","CAP-HILL CORRECTIONAL FACILITY, IL STATE DOC",21
"1715","CHI","CAP-ILLINOIS RIVER CORRECTIONAL CENTER, IL STATE DOC",77
"1716","CHI","CAP-KNOX COUNTY JAIL, IL",8
"1717","CHI","CAP-LEE COUNTY JAIL, IL",3
"1718","CHI","CAP-MARSHALL COUNTY JAIL, IL",4
"1719","CHI","CAP-MCDONOUGH COUNTY JAIL, IL",1
"1720","CHI","CAP-MERCER COUNTY JAIL, IL",1
"1721","CHI","CAP-OGLE COUNTY JAIL, IL",45
"1722","CHI","CAP-PEORIA COUNTY JAIL, IL",10
"1723","CHI","CAP-PUTNAME COUNTY JAIL, IL",1
"1724","CHI","CAP-ROCK ISLAND COUNTY, IL",17
"1725","CHI","CAP-STEPHENSON COUNTY JAIL, IL",43
"1726","CHI","CAP-STREET ARREST",5
"1727","CHI","CAP-THOMSON CORRECTIONAL CENTER, IL STATE DOC",1
"1728","CHI","CAP-WARREN COUNTY JAIL, IL",12
"1729","CHI","CAP-WESTERN ILLINOIS CORRECTIONAL CENTER, IL STATE DOC",31
"1730","CHI","CAP-WHITESIDE COUNTY JAIL, IL",5
"1731","CHI","CAPE GIRARDEAU COUNTY SHERIFFS DEPARTMENT MISSOURI",7
"1732","CHI","CARROLL COUNTY DETENTION CTR, KY",41
"1733","CHI","CARROLL COUNTY SHERIFF'S OFFICE, INDIANA",7
"1734","CHI","CARTER COUNTY DETENTION CTR, KY",10
"1735","CHI","CARTHAGE POLICE DEPARTMENT, MISSOURI",13
"1736","CHI","CASEY COUNTY DETENTION CTR, KY",4
"1737","CHI","CASEYVILLE, ILLINOIS POLICE DEPARTMENT",4
"1738","CHI","CASS COUNTY SHERIFF'S OFFICE, IL",4
"1739","CHI","CASS COUNTY SHERIFF'S OFFICE, INDIANA",32
"1740","CHI","CASS COUNTY SHERIFFS OFFICE MISSOURI",19
"1741","CHI","CAX GENERAL AREA, NON-SPECIFIC",1
"1742","CHI","CDC GENERAL AREA, NON-SPECIFIC",65
"1743","CHI","CENTRALIA CORRECTIONAL CENTER, IL",2
"1744","CHI","CHA GENERAL AREA, NON-SPECIFIC",1
"1745","CHI","CHAIN OLAKES COOR. RACILITY (INDIANA DOC)",1
"1746","CHI","CHARITION COUNTY SHERIFF'S DEPARTMENT, MISSOURI",2
"1747","CHI","CHASE COUNTY SHERIFFS OFFICE, COTTONWOOD FALLS, KANSAS",2
"1748","CHI","CHEROKEE COUNTY SHERIFFS OFFICE, KANSAS",6
"1749","CHI","CHESTERFIELD POLICE DEPARTMENT, MISSOURI",9
"1750","CHI","CHI GENERAL AREA, NON-SPECIFIC",2724
"1751","CHI","CHI IDOC, JOLIET",3
"1752","CHI","CHICAGO FIELD OFFICE",34
"1753","CHI","CHICAGO FUGITIVE OPERATIONS",4
"1754","CHI","CHICAGO GENERAL AREA, NON-SPECIFIC",1
"1755","CHI","CHICAGO MCC (BOP)",43
"1756","CHI","CHICAGO O'HARE AIRPORT",16
"1757","CHI","CHIFUGITIVE OPERATIONS",1379
"1758","CHI","CHILLICOTHE CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",1
"1759","CHI","CHRISTIAN COUNTY JAIL, IL",1
"1760","CHI","CHRISTIAN COUNTY JAIL, KY",18
"1761","CHI","CHRISTIAN COUNTY SHERIFFS OFFICE, MISSOURI",17
"1762","CHI","CIS REFERRAL CHICAGO FIELD OFFICE",4
"1763","CHI","CLARK COUNTY DETENTION CENTER, KY",45
"1764","CHI","CLARK COUNTY SHERIFF'S OFFICE, INDIANA",404
"1765","CHI","CLARK COUNTY SHERIFFS OFFICE, ASHLAND, KANSAS",2
"1766","CHI","CLAY COUNTY DETENTION CTR, KY",5
"1767","CHI","CLAY COUNTY SHERIFF'S OFFICE, INDIANA",8
"1768","CHI","CLAY COUNTY SHERIFFS OFFICE MISSOURI",56
"1769","CHI","CLAY COUNTY SHERIFFS OFFICE, CLAY CENTER, KANSAS",3
"1770","CHI","CLAYTON POLICE DEPARTMENT, MISSOURI",1
"1771","CHI","CLINTON COUNTY SHERIFF'S OFFICE, INDIANA",66
"1772","CHI","CLINTON COUNTY SHERIFFS DEPARTMENT, ILLINOIS",15
"1773","CHI","CLINTON COUNTY SHERIFFS OFFICE MISSOURI",7
"1774","CHI","CLINTON COUNTY, KY",1
"1775","CHI","CLOUD COUNTY SHERIFFS OFFICE, CONCORDIA, KANSAS",2
"1776","CHI","COFFEY COUNTY SHERIFFS OFFICE KANSAS",2
"1777","CHI","COLE COUNTY SHERIFFS OFFICE MISSOURI",16
"1778","CHI","COLES COUNTY SHERIFF'S OFFICE, IL",2
"1779","CHI","COLLINSVILLE, ILLINOIS POLICE DEPARTMENT",9
"1780","CHI","COOK COUNTY JAIL",6
"1781","CHI","COOPER COUNTY SHERIFFS OFFICE MISSOURI",4
"1782","CHI","CORRECTIONS CORPORATION OF AMERICA LEAVENWORTH KANSAS",45
"1783","CHI","COWLEY COUNTY SHERIFFS OFFICE, WINFIELD, KANSAS",19
"1784","CHI","CRAWFORD COUNTY SHERIFF'S DEPARTMENT",3
"1785","CHI","CRAWFORD COUNTY SHERIFF'S OFFICE, INDIANA",2
"1786","CHI","CRAWFORD COUNTY SHERIFFS OFFICE, KANSAS",3
"1787","CHI","CREVE CEOUR POLICE DEPARTMENT",2
"1788","CHI","CRI GENERAL AREA, NON-SPECIFIC",3
"1789","CHI","Crittenden County Jail",2
"1790","CHI","D - BROWN COUNTY GENERAL AREA",32
"1791","CHI","D - BROWN COUNTY JAIL",135
"1792","CHI","D - DOOR COUNTY GENERAL AREA",10
"1793","CHI","D - DOOR COUNTY JAIL",4
"1794","CHI","D - KEWAUNEE COUNTY GENERAL AREA",8
"1795","CHI","D - KEWAUNEE COUNTY JAIL",6
"1796","CHI","D - LANGLADE COUNTY JAIL",5
"1797","CHI","D - MARINETTE COUNTY JAIL",4
"1798","CHI","D - OCONTO COUNTY GENERAL AREA",1
"1799","CHI","D - OUTAGAMIE COUNTY GENERAL AREA",20
"1800","CHI","D - OUTAGAMIE COUNTY JAIL",29
"1801","CHI","D - SHAWANO COUNTY GENERAL AREA",1
"1802","CHI","D - SHAWANO COUNTY JAIL",4
"1803","CHI","D - WAUPACA COUNTY JAIL",7
"1804","CHI","D - WI DOC - GREEN BAY CORRECTIONAL INSTITUTION",1
"1805","CHI","DALLAS COUNTY SHERIFFS OFFICE, MISSOURI",1
"1806","CHI","DANVILLE CORRECTIONAL CENTER, IL (ILLINOIS DOC)",4
"1807","CHI","Daviess County Detention Center",77
"1808","CHI","DAVIESS COUNTY DETENTION CTR, KY",17
"1809","CHI","DAVIESS COUNTY SHERIFF'S OFFICE, WASHINGTON, INDIANA",27
"1810","CHI","DAVIESS COUNTY SHERIFFS OFFICE MISSOURI",12
"1811","CHI","DEARBORN COUNTY SHERIFF'S OFFICE, INDIANA",3
"1812","CHI","DECATUR CORRECTIONAL CENTER, (ILLINOIS DOC)",3
"1813","CHI","DECATUR COUNTY SHERIFF'S OFFICE, INDIANA",3
"1814","CHI","DEKALB COUNTY SHERIFF'S OFFICE, IL",4
"1815","CHI","DEKALB COUNTY SHERIFF'S OFFICE, INDIANA",4
"1816","CHI","DEKALB COUNTY SHERIFFS OFFICE MISSOURI",1
"1817","CHI","DELEWARE COUNTY SHERIFF'S OFFICE, INDIANA",8
"1818","CHI","DES PERES POLICE DEPARTMENT, MISSOURI",3
"1819","CHI","DETROIT, MI",1
"1820","CHI","DEXTER POLICE DEPARTMENT, MISSOURI",1
"1821","CHI","DICKENSON COUNTY SHERIFFS OFFICE, ABILENE, KANSAS",4
"1822","CHI","DIXON CORRECTIONAL CENTER, IL (ILLINOIS DOC)",1
"1823","CHI","DOC CAP: DR EDDIE WARRIOR CORRECTIONAL CENTER",1
"1824","CHI","DOUGLAS COUNTY KS",12
"1825","CHI","DOUGLAS COUNTY SHERIFF'S OFFICE, IL",1
"1826","CHI","DOUGLAS COUNTY SHERIFFS OFFICE KANSAS",12
"1827","CHI","DUBOIS COUNTY SHERIFF'S OFFICE, INDIANA",12
"1828","CHI","DUNKLIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",18
"1829","CHI","DUPAGE COUNTY JAIL",172
"1830","CHI","EASTERN MISSOURI CORRECTIONAL CENTER, MISSOURI DEPARTMETN OF CORRECTIONS",5
"1831","CHI","EASTERN REGIONAL RECEPTION AND DIAGNOSTIC CENTER, MISSOURI",21
"1832","CHI","EFFINGHAM, ILLINOIS POLICE DEPARTMENT",2
"1833","CHI","ELKHART COUNTY SHERIFF'S OFFICE, INDIANA",304
"1834","CHI","ELLIS COUNTY SHERIFFS OFFICE, HAYS, KANSAS",12
"1835","CHI","ELLISVILLE POLICE DEPARTMENT, MISSOURI",1
"1836","CHI","ELLSWORTH COUNTY SHERRIFFS OFFICE, ELLSWORTH, KANSAS",3
"1837","CHI","EPC GENERAL AREA, NON-SPECIFIC",6
"1838","CHI","ERO LOUISVILLE, KY SUB OFFICE",281
"1839","CHI","EUREKA POLICE DEPARTMENT, MISSOURI",2
"1840","CHI","FARMINGTON CORRECTIONAL CENTER, MISSOURI DEPT OF CORRECTIONS",35
"1841","CHI","FARMINGTON POLICE DEPARTMENT, MISSOURI",3
"1842","CHI","FAYETTE COUNTY CORRECTIONS, KY",892
"1843","CHI","FAYETTE COUNTY SHERIFF'S OFFICE, INDIANA",1
"1844","CHI","FCI Ashland, KY",2
"1845","CHI","FCI LA TUNA",1
"1846","CHI","FCI MANCHESTER, KY",9
"1847","CHI","FCI MCCREARY, KY",29
"1848","CHI","FEDERAL CORRECETIONAL INSTITUTE (BOP), INDIANA",48
"1849","CHI","FEDERAL CORRECTIONAL INSTITUTION LEAVENWORTH KANSAS",56
"1850","CHI","FINNEY COUNTY SHERIFFS OFFICE, GARDEN CITY, KANSAS",47
"1851","CHI","FL DEPARTMENT OF CORRECTIONS",1
"1852","CHI","FLEMING COUNTY JAIL",4
"1853","CHI","FLOYD COUNTY DETENTION CENTER, KY",1
"1854","CHI","FLOYD COUNTY SHERIFF'S OFFICE, INDIANA",84
"1855","CHI","FORD COUNTY SHERIFF'S OFFICE, IL",1
"1856","CHI","FORD COUNTY SHERIFFS OFFICE, DODGE CITY, KANSAS",93
"1857","CHI","FOS GENERAL AREA, NON-SPECIFIC",1
"1858","CHI","FOUNTAIN COUNTY SHERIFF'S OFFICE, INDIANA",1
"1859","CHI","FRANKLIN CO KS",2
"1860","CHI","FRANKLIN COUNTY REGIONAL JAIL, KY",12
"1861","CHI","FRANKLIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",7
"1862","CHI","FRANKLIN COUNTY SHERIFFS OFFICE KANSAS",5
"1863","CHI","FUGITIVE NORTH TEAM ARRESTS",539
"1864","CHI","FUGITIVE OPERATIONS",482
"1865","CHI","FUGITIVE OPERATIONS ICE OFFICE",13
"1866","CHI","FUGITIVE OPERATIONS IL STATE",41
"1867","CHI","FUGITIVE OPERATIONS MO STATE",150
"1868","CHI","FUGITIVE OPERATIONS ON STREET AUDRAIN COUNTY, MISSOURI",1
"1869","CHI","FUGITIVE OPERATIONS ON STREET BOND COUNTY, ILLINOIS",5
"1870","CHI","FUGITIVE OPERATIONS ON STREET BUTLER COUNTY, MISSOURI",1
"1871","CHI","FUGITIVE OPERATIONS ON STREET CAPE GIRARDEAU COUNTY, MISSOURI",5
"1872","CHI","FUGITIVE OPERATIONS ON STREET CASS COUNTY, ILLINOIS",3
"1873","CHI","FUGITIVE OPERATIONS ON STREET CHAMPAIGN COUNTY, ILLINOIS",66
"1874","CHI","FUGITIVE OPERATIONS ON STREET CHRISTIAN COUNTY, ILLINOIS",1
"1875","CHI","FUGITIVE OPERATIONS ON STREET CLARK COUNTY, ILLINOIS",2
"1876","CHI","FUGITIVE OPERATIONS ON STREET CLINTON COUNTY, ILLINOIS",2
"1877","CHI","FUGITIVE OPERATIONS ON STREET DUNKLIN COUNTY, MISSOURI",2
"1878","CHI","FUGITIVE OPERATIONS ON STREET EFFINGHAM COUNTY, ILLINOIS",4
"1879","CHI","FUGITIVE OPERATIONS ON STREET FAYETTE COUNTY, ILLINOIS",1
"1880","CHI","FUGITIVE OPERATIONS ON STREET FRANKLIN COUNTY, MISSOURI",3
"1881","CHI","FUGITIVE OPERATIONS ON STREET JACKSON COUNTY, ILLINOIS",5
"1882","CHI","FUGITIVE OPERATIONS ON STREET JEFFERSON COUNTY, ILLINOIS",2
"1883","CHI","FUGITIVE OPERATIONS ON STREET JERSEY COUNTY, ILLINOIS",2
"1884","CHI","FUGITIVE OPERATIONS ON STREET JOHNSON COUNTY, ILLINOIS",1
"1885","CHI","FUGITIVE OPERATIONS ON STREET LINCOLN COUNTY, MISSOURI",1
"1886","CHI","FUGITIVE OPERATIONS ON STREET MACON COUNTY, ILLINOIS",4
"1887","CHI","FUGITIVE OPERATIONS ON STREET MACON COUNTY, MISSOURI",1
"1888","CHI","FUGITIVE OPERATIONS ON STREET MACOUPIN COUNTY, ILLINOIS",1
"1889","CHI","FUGITIVE OPERATIONS ON STREET MADISON COUNTY, ILLINOIS",6
"1890","CHI","FUGITIVE OPERATIONS ON STREET MARION COUNTY, ILLINOIS",2
"1891","CHI","FUGITIVE OPERATIONS ON STREET MISSISSIPPI COUNTY, MISSOURI",1
"1892","CHI","FUGITIVE OPERATIONS ON STREET MONTGOMERY COUNTY, ILLINOIS",2
"1893","CHI","FUGITIVE OPERATIONS ON STREET NEW MADRID COUNTY, ILLINOIS",1
"1894","CHI","FUGITIVE OPERATIONS ON STREET PIKE COUNTY, ILLINOIS",2
"1895","CHI","FUGITIVE OPERATIONS ON STREET PULASKI COUNTY, ILLINOIS",3
"1896","CHI","FUGITIVE OPERATIONS ON STREET RANDOLPH COUNTY, ILLINOIS",2
"1897","CHI","FUGITIVE OPERATIONS ON STREET SANGAMON COUNTY, ILLINOIS",5
"1898","CHI","FUGITIVE OPERATIONS ON STREET ST CHARLES COUNTY, MISSOURI",15
"1899","CHI","FUGITIVE OPERATIONS ON STREET ST CLAIR COUNTY, ILLINOIS",16
"1900","CHI","FUGITIVE OPERATIONS ON STREET ST FRANCOIS COUNTY, MISSOURI",1
"1901","CHI","FUGITIVE OPERATIONS ON STREET ST LOUIS CITY, MISSOURI",27
"1902","CHI","FUGITIVE OPERATIONS ON STREET ST LOUIS COUNTY, MISSOURI",35
"1903","CHI","FUGITIVE OPERATIONS ON STREET UNION COUNTY, ILLINOIS",2
"1904","CHI","FUGITIVE OPERATIONS ON STREET WABASH COUNTY, ILLINOIS",1
"1905","CHI","FUGITIVE OPERATIONS ON STREET WARREN COUNTY, MISSOURI",6
"1906","CHI","FUGITIVE OPERATIONS ON STREET WAYNE COUNTY, ILLINOIS",1
"1907","CHI","FUGITIVE OPERATIONS ON STREET WAYNE COUNTY, MISSOURI",1
"1908","CHI","FUGITIVE OPERATIONS ON STREET WHITE COUNTY, ILLINOIS",1
"1909","CHI","FUGITIVE OPERATIONS St Louis",177
"1910","CHI","FUGITIVE OPERATIONS STL MO",19
"1911","CHI","FUGITIVE OPERATIONS-CROSSCHECK STL FOT",29
"1912","CHI","FUGITIVE OPERATIONS-DETAINER STL FOT",2
"1913","CHI","FUGITIVE SOUTH TEAM ARRESTS",291
"1914","CHI","FULTON COUNTY DETENTION CTR, KY",4
"1915","CHI","FULTON RECEPTION AND DIAGNOSTIC CENTER",2
"1916","CHI","GEARY COUNTY SHERIFFS OFFICE KANSAS",24
"1917","CHI","GIBSON COUNTY SHERIFF'S OFFICE, INDIANA",9
"1918","CHI","GOVE COUNTY SHERIFFS OFFICE, GOVE, KANSAS",1
"1919","CHI","GRANDVIEW MISSOURI AREA NON-CUSTODIAL ARREST",10
"1920","CHI","GRANITE CITY, ILLINOIS POLICE DEPARTMENT",1
"1921","CHI","GRANT COUNTY DETENTION CTR, KY",10
"1922","CHI","GRANT COUNTY SHERIFF'S OFFICE, INDIANA",15
"1923","CHI","GRANT COUNTY SHERIFFS OFFICE, ULYSSES, KANSAS",28
"1924","CHI","GRAVES COUNTY JAIL, KY",23
"1925","CHI","GRAYSON COUNTY DETENTION CTR, KY",32
"1926","CHI","GREENE COUNTY SHERIFFS OFFICE, MISSOURI",67
"1927","CHI","GREENUP COUNTY JAIL, KY",5
"1928","CHI","GREENVILLE FEDERAL CORERCTIONAL INST (BOP)",18
"1929","CHI","GREENWOOD COUNTY SHERIFFS OFFICE, EUREKA, KANSAS",2
"1930","CHI","GRUNDY COUNTY SHERIFF'S OFFICE, IL",2
"1931","CHI","GRUNDY COUNTY SHERIFFS OFFICE MISSOURI",1
"1932","CHI","HAMILTON COUNTY SHERIFF'S OFFICE, INDIANA",85
"1933","CHI","HAMILTON COUNTY SHERIFFS OFFICE, SYRACUSE, KANSAS",21
"1934","CHI","HANCOCK COUNTY SHERIFF'S OFFICE, INDIANA",23
"1935","CHI","HANNIBAL, MISSOURI POLICE DEPARTMENT",1
"1936","CHI","HARDIN COUNTY DETENTION CTR, KY",89
"1937","CHI","HARLAN COUNTY DETENTION CTR, KY",1
"1938","CHI","HARPER COUNTY SHERIFFS OFFICE, ANTHONY, KANSAS",3
"1939","CHI","HARRIS COUNTY SHERIFF'S OFFICE, INDIANA",23
"1940","CHI","HARRISON COUNTY, KY SHERIFF'S OFFICE",3
"1941","CHI","HART COUNTY JAIL, KY",13
"1942","CHI","HARVEY COUNTY SHERIFFS OFFICE, NEWTON, KANSAS",10
"1943","CHI","HARVEY POLICE DEPARTMENT",1
"1944","CHI","HASKELL COUNTY SHERIFFS OFFICE, SUBLETTE, KANSAS",3
"1945","CHI","HAZELWOOD POLICE DEPARTMENT, MISSOURI",1
"1946","CHI","Henderson County Detention Center",28
"1947","CHI","HENDERSON COUNTY DETENTION CTR, KY",3
"1948","CHI","HENDRICKS COUNTY SHERIFF'S OFFICE, DANVILLE, INDIANA",53
"1949","CHI","HENRY COUNTY SHERIFF'S OFFICE, INDIANA",16
"1950","CHI","HICKORY COUNTY SHERIFFS OFFICE MISSOURI",1
"1951","CHI","HIGH DESERT STATE PRISON (NDOC)",1
"1952","CHI","HILL CORRECTIONAL CENTER (ILLINOIS DOC)",1
"1953","CHI","HLG GENERAL AREA, NON-SPECIFIC",1
"1954","CHI","HOLT COUNTY SHERIFFS OFFICE MISSOURI",1
"1955","CHI","HOPKINS COUNTY JAIL, KY",16
"1956","CHI","HOWARD COUNTY SHERIFF'S OFFICE, INDIANA",3
"1957","CHI","HUNTINGTON COUNTY SHERIFF'S OFFICE, INDIANA",5
"1958","CHI","ICE/ERO OFFICE LOBBY  SPRINGFIELD, MISSOURI",10
"1959","CHI","IFI GENERAL AREA, NON-SPECIFIC ID",1
"1960","CHI","ILLINOIS RIVER CORR. FACILITY (ILLINOIS DOC)",2
"1961","CHI","INDEPENDENCE MO PD",23
"1962","CHI","INDIANA DEPARTMENT OF CORRECTIONS, INDIANA",301
"1963","CHI","INDIANA STATE PRISON, IN  (INDIANA DOC)",4
"1964","CHI","INP GENERAL AREA, NON-SPECIFIC",2304
"1965","CHI","IROQUOIS COUNTY SHERIFF'S OFFICE, IL",1
"1966","CHI","JACKSON COUNTY JAIL, KY",1
"1967","CHI","JACKSON COUNTY SHERIFF'S OFFICE, BROWNSTOWN, INDIANA",62
"1968","CHI","JACKSON COUNTY SHERIFFS OFFICE KANSAS",9
"1969","CHI","JACKSON COUNTY SHERIFFS OFFICE MISSOURI",359
"1970","CHI","JACKSONVILLE CORRECTIONAL CENTER, IL",2
"1971","CHI","JAK GENERAL AREA, NON-SPECIFIC",7
"1972","CHI","JASPER COUNTY SHERIFF'S OFFICE, INDIANA",10
"1973","CHI","JASPER COUNTY SHERIFFS OFFICE, MISSOURI",55
"1974","CHI","JAY COUNTY SHERIFF'S OFFICE, INDIANA",5
"1975","CHI","JEFFERSON COUNTY SHERIFF'S DEPARTMENT, MISSOURI",14
"1976","CHI","JEFFERSON COUNTY SHERIFF'S OFFICE, INDIANA",4
"1977","CHI","JEFFERSON COUNTY SHERIFFS OFFICE KANSAS",3
"1978","CHI","JEFFERSON COUNTY, MISSOURI",1
"1979","CHI","JENNINGS COUNTY SHERIFF'S OFFICE, NORTH VERNON, INDIANA",17
"1980","CHI","JENNINGS POLICE DEPARTMENT, MISSOURI",1
"1981","CHI","JESSAMINE COUNTY DETENTION CTR, KY",34
"1982","CHI","JNA GENERAL AREA, NON-SPECIFIC",1
"1983","CHI","JOHNSON COUNTY JAIL, KY",1
"1984","CHI","JOHNSON COUNTY KANSAS AREA NON-CUSTODIAL ARREST",123
"1985","CHI","JOHNSON COUNTY SHERIFF'S OFFICE, FRANKLIN, INDIANA",62
"1986","CHI","JOHNSON COUNTY SHERIFFS OFFICE KANSAS",296
"1987","CHI","JOHNSON COUNTY SHERIFFS OFFICE MISSOURI",4
"1988","CHI","JOPLIN POLICE DEPARTMENT, MISSOURI",7
"1989","CHI","KAN GENERAL AREA, NON-SPECIFIC",1530
"1990","CHI","KANE COUNTY SHERIFF'S OFFICE, IL",51
"1991","CHI","KANKAKEE COUNTY SHERIFF'S OFFICE, IL",22
"1992","CHI","KANSAS CITY DETENTION AND REMOVAL OPERATIONS OFFICE",37
"1993","CHI","KANSAS CITY KANSAS AREA NON-CUSTODIAL ARREST",34
"1994","CHI","KANSAS CITY MISSOURI AREA NON-CUSTODIAL ARREST",276
"1995","CHI","KANSAS CITY POLICE DEPARTMENT KANSAS CITY MISSOURI",81
"1996","CHI","KDOC, EL DORADO CORRECTIONAL FACILITY",36
"1997","CHI","KDOC, ELLSWORTH CORRECTIONAL FACILITY",1
"1998","CHI","KDOC, HUTCHINSON CORRECTIONAL  FACILITY, HUTCHINSON, KANSAS",122
"1999","CHI","KDOC, LARNED CORRECTIONAL FACILITY, LARNED, KANSAS",1
"2000","CHI","KDOC, NORTON CORRECTIONAL FACILITY, NORTON, KANSAS",1
"2001","CHI","KEARNY COUNTY SHERIFFS OFFICE, LAKIN, KANSAS",6
"2002","CHI","KENDALL COUNTY SHERIFF'S OFFICE, IL",7
"2003","CHI","KENTON COUNTY DETENTION CTR, KY",155
"2004","CHI","KENTUCKY DEPARTMENT OF CORRECTIONS",161
"2005","CHI","KINGMAN COUNTY SHERIFFS OFFICE, KINGMAN, KANSAS",11
"2006","CHI","KIOWA COUNTY SHERIFFS OFFICE, GREENSBURG, KANSAS",10
"2007","CHI","KIRKWOOD POLICE DEPARTMENT, MISSOURI",1
"2008","CHI","KNOX COUNTY DETENTION CTR, KY",1
"2009","CHI","KNOX COUNTY SHERIFF'S OFFICE, VINCENNES, INDIANA",4
"2010","CHI","KOSCIUSKO COUNTY SHERIFF'S OFFICE, INDIANA",12
"2011","CHI","LACLEDE COUNTY SHERIFFS OFFICE, MISSOURI",3
"2012","CHI","LAF GENERAL AREA, NON-SPECIFIC",1
"2013","CHI","LAFAYETTE COUNTY SHERIFFS OFFICE MISSOURI",8
"2014","CHI","LAGRANGE COUNTY SHERIFF'S OFFICE, INDIANA",7
"2015","CHI","LAKE COUNTY JAIL, IL",39
"2016","CHI","LAKE COUNTY SHERIFF'S OFFICE, IL",26
"2017","CHI","LAKE COUNTY SHERIFF'S OFFICE, IN",14
"2018","CHI","LAKE ST. LOUIS POLICE DEPARTMENT, MISSOURI",1
"2019","CHI","LANSING CORRECTIONAL FACILITY KANSAS DEPARTMENT OF CORRECTIONS",35
"2020","CHI","LAPORT COUNTY SHERIFF'S OFFICE, IN",10
"2021","CHI","LARUE COUNTY DETENTION CTR, KY",9
"2022","CHI","LASALLE COUNTY SHERIFF'S OFFICE, IL",2
"2023","CHI","LASALLE DETENTION FACILITY (JENA)",1
"2024","CHI","LAUREL COUNTY DETENTION CTR, KY",14
"2025","CHI","LAWRENCE CORR. CENTER, IL (ILLINOIS DOC)",2
"2026","CHI","LAWRENCE COUNTY SHERIFFS OFFICE, MISSOURI",8
"2027","CHI","LEAVENWORTH COUNTY SHERIFFS OFFICE KANSAS",5
"2028","CHI","LEAVENWORTH FEDERAL CAMP LEAVENWORTH KANSAS",2
"2029","CHI","LEE COUNTY JAIL, KY",4
"2030","CHI","LETCHER COUNTY JAIL, KY",3
"2031","CHI","LEWIS COUNTY DETENTION CTR, KY",1
"2032","CHI","LEWIS COUNTY SHERIFF'S DEPARTMENT, MISSOURI",1
"2033","CHI","LINCOLN CORR. CENTER, IL (ILLINOIS DOC)",2
"2034","CHI","LINCOLN COUNTY REGIONAL JAIL, KY",26
"2035","CHI","LINCOLN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",12
"2036","CHI","LINCOLN COUNTY SHERIFFS OFFICE, LINCOLN, KANSAS",2
"2037","CHI","LINN COUNTY SHERIFFS OFFICE KANSAS",1
"2038","CHI","LIVINGSTON COUNTY SHERIFF'S OFFICE, IL",2
