"","apprehension_landmark","total"
"1922","CORRECTIONAL CORPORATION OF AMERICA ? UNITED STATES MARSHALS SERVICE",67
"1923","CORRECTIONS CORPORATION OF AMERICA LEAVENWORTH KANSAS",45
"1924","CORRIGAN CORRECTIONAL INSTITUTION, UNCASVILLE, CT",12
"1925","CORSICANA CORRECTION CENTER",5
"1926","CORSON COUNTY JAIL, MCINTOSH, SD",3
"1927","CORTLAND COUNTY",1
"1928","Cortland County Jail",1
"1929","CORTLAND COUNTY JAIL",4
"1930","Cortland County Sheriff",3
"1931","Cortland Police Department",9
"1932","CORYELL COUNTY JAIL, GATESVILLE, TEXAS",12
"1933","COSHOCTON COUNTY MUNICIPAL COURT PROBATION",1
"1934","COSTILLA COUNTY JAIL",3
"1935","COSTILLA COUNTY PROBATION OFFICE",1
"1936","COSTILLA COUNTY, CO",7
"1937","COTTON COUNTY JAIL",10
"1938","COTTONWOOD CO JAIL, WINDOM, MN",17
"1939","COTTONWOOD COUNTY JAIL, MN",1
"1940","COVINA POLICE DEPT, COVINA, CA",5
"1941","COVINGTON COUNTY JAIL, MS",1
"1942","COVINGTON PROBATION OFFICE",5
"1943","COVINGTON, GA",24
"1944","COWETA COUNTY PROBATION",1
"1945","COWETA COUNTY, GA",153
"1946","COWLEY COUNTY SHERIFFS OFFICE, WINFIELD, KANSAS",19
"1947","COWLITZ COUNTY JAIL",21
"1948","COWLITZ COUNTY JUVENILE FACILITY",1
"1949","COYOTE RIDGE CORRECTIONS",197
"1950","CPT GENERAL AREA, NON-SPECIFIC",142
"1951","CRAIG COUNTY JAIL",11
"1952","CRAIGHEAD COUNTY JAIL",81
"1953","CRANBURY PD",4
"1954","CRANE COUNTY JAIL",3
"1955","CRANFORD PD",1
"1956","CRANSTON PD",1
"1957","CRAVEN COUNTY FUGITIVE OPERATIONS",1
"1958","CRAVEN COUNTY JAIL",11
"1959","CRAWFORD COUNTY JAIL",7
"1960","CRAWFORD COUNTY JAIL, GRAYLING, MI",3
"1961","CRAWFORD COUNTY SHERIFF'S DEPARTMENT",3
"1962","CRAWFORD COUNTY SHERIFF'S OFFICE, INDIANA",2
"1963","CRAWFORD COUNTY SHERIFFS OFFICE, KANSAS",3
"1964","CRAWFORD COUNTY, GA",1
"1965","CRAWFORDVILLE, GA",1
"1966","CRE GENERAL AREA, NON-SPECIFIC",6
"1967","CREEK COUNTY JAIL",9
"1968","CREVE CEOUR POLICE DEPARTMENT",2
"1969","CRI GENERAL AREA, NON-SPECIFIC",430
"1970","CRIMINAL ALIEN PROGRAM",4
"1971","CRIMINAL CASE MONITORING",1
"1972","CRIMINAL JUSTICE CENTER PECOS",3
"1973","CRIMINAL JUSTICE COMPLEX, CHA, VI",2
"1974","CRISP COUNTY JAIL, GA",43
"1975","Crittenden County Jail",2
"1976","Crockett County, TX Jail",2
"1977","CROCKETT, TEXAS",9
"1978","CROOK COUNTY JAIL",5
"1979","CROOK COUNTY JAIL, SUNDANCE, WYOMING",2
"1980","CROSBY COUNTY JAIL",2
"1981","CROSS COUNTY JAIL",2
"1982","CROW WING COUNTY JAIL, MN",2
"1983","CROW WING COUNTY, MN",3
"1984","CROWLEY POLICE DEPARTMENT",1
"1985","CROWN MOUNTAIN",8
"1986","CRP GENERAL AREA, NON-SPECIFIC",1129
"1987","CSP FOLSOM",138
"1988","CSP HIGH DESERT",30
"1989","CSP MULE CREEK",1
"1990","CSP SACRAMENTO",28
"1991","CSP SOLANO",108
"1992","CT STATE POLICE TROOP A, SOUTHBURY, CT",1
"1993","CT STATE POLICE TROOP C, TOLLAND, CT",1
"1994","CT STATE POLICE TROOP D, DANIELSON, CT",2
"1995","CT STATE POLICE TROOP G, BRIDGEPORT, CT",1
"1996","CT STATE POLICE TROOP H, HARTFORD, CT",3
"1997","CT STATE POLICE TROOP L, LITCHFIELD, CT",1
"1998","CUBULSKI CORRECTIONAL INSTITUTION, ENFIELD, CT",2
"1999","CULPEPER COUNTY JAIL - VA",40
"2000","CUMBERLAND COUNTY FUGITIVE OPERATIONS",13
"2001","CUMBERLAND COUNTY JAIL",61
"2002","CUMBERLAND COUNTY JAIL, PORTLAND",19
"2003","CUMBERLAND COUNTY JAIL, TN",6
"2004","CUMBERLAND COUNTY PROBATION",1
"2005","CUMBERLAND COUNTY SHERIFF",5
"2006","CUMBERLAND COUNTY, NEW JERSEY",181
"2007","CUMMING PROBATION OFFICE",27
"2008","CUMMING, GA",101
"2009","CURRITUCK COUNTY JAIL",3
"2010","CUSTER COUNTY JAIL",22
"2011","CUSTER COUNTY JAIL ID",1
"2012","CUSTER COUNTY, CO",5
"2013","CUYAHOGA COUNTY JAIL",184
"2014","D - BROWN COUNTY GENERAL AREA",32
"2015","D - BROWN COUNTY JAIL",135
"2016","D - DOOR COUNTY GENERAL AREA",10
"2017","D - DOOR COUNTY JAIL",4
"2018","D - KEWAUNEE COUNTY GENERAL AREA",8
"2019","D - KEWAUNEE COUNTY JAIL",6
"2020","D - LANGLADE COUNTY JAIL",5
"2021","D - MARINETTE COUNTY JAIL",4
"2022","D - OCONTO COUNTY GENERAL AREA",1
"2023","D - OUTAGAMIE COUNTY GENERAL AREA",20
"2024","D - OUTAGAMIE COUNTY JAIL",29
"2025","D - SHAWANO COUNTY GENERAL AREA",1
"2026","D - SHAWANO COUNTY JAIL",4
"2027","D - WAUPACA COUNTY JAIL",7
"2028","D - WI DOC - GREEN BAY CORRECTIONAL INSTITUTION",1
"2029","D RAY JAMES BOP",5
"2030","D. RAY JAMES",2438
"2031","DACULA, GA",5
"2032","DADE COUNTY, GA",12
"2033","DAGGETT COUNTY JAIL - UT",1
"2034","DAHLONEGA, GA",2
"2035","DAK GENERAL AREA, NON-SPECIFIC",14
"2036","DAKOTA COUNTY JAIL, MN",289
"2037","DAKOTA WOMENS CORRECTIONN AND REHAB CENTER,ND",1
"2038","DAL COUNTY JAIL",5895
"2039","DAL GENERAL AREA, NON-SPECIFIC",10
"2040","DALLAM COUNTY",99
"2041","DALLAM COUNTY JAIL",1
"2042","DALLAS COUNTY DISTRICT ATTORNEY'S OFFICE",5
"2043","DALLAS COUNTY GENERAL AREA",7468
"2044","DALLAS COUNTY IOWA",25
"2045","DALLAS COUNTY JAIL",4
"2046","DALLAS COUNTY JAIL, AL",1
"2047","DALLAS COUNTY SHERIFFS OFFICE, MISSOURI",1
"2048","DALLAS DISTRICT OFFICE",35
"2049","DALLAS POLICE DEPARTMENT",282
"2050","DALLAS, GA",3
"2051","DALTON PROBATION OFFICE",4
"2052","DALTON, GA (WHITFIELD COUNTY)",41
"2053","DALWORTHINGTON GARDENS POLICE DEPARTMENT",6
"2054","DAMASCUS, GA (GORDON COUNTY)",1
"2055","DANBURY JUDICIAL MARSHAL'S LOCKUP",5
"2056","DANBURY, CT",83
"2057","DANBURY, CT POLICE DEPARTMENT",10
"2058","DANIELSVILLE, GA",3
"2059","DANVILLE CITY JAIL FARM-VA",1
"2060","DANVILLE CITY JAIL-VA",14
"2061","DANVILLE CORRECTIONAL CENTER, IL (ILLINOIS DOC)",4
"2062","DANVILLE POLICE DEPARTMENT - DANVILLE, PA",1
"2063","DAPHNE PD, AL",3
"2064","DARE COUNTY JAIL",33
"2065","DARIEN, CT POLICE DEPARTMENT",1
"2066","DARKE COUNTY JAIL",6
"2067","DARLINGTON COUNTY DETENTION CENTER",1
"2068","DARLINGTON COUNTY, SC",49
"2069","Darrell B. Hester Juvenil Detention Center",18
"2070","DAVIDSON COUNTY JAIL",48
"2071","DAVIDSON COUNTY JAIL, TN",696
"2072","DAVIDSON COUNTY, NC",4
"2073","DAVIE COUNTY JAIL",12
"2074","DAVIE COUNTY, NC",3
"2075","Daviess County Detention Center",77
"2076","DAVIESS COUNTY DETENTION CTR, KY",17
"2077","DAVIESS COUNTY SHERIFF'S OFFICE, WASHINGTON, INDIANA",27
"2078","DAVIESS COUNTY SHERIFFS OFFICE MISSOURI",12
"2079","DAVIS COUNTY JAIL - UT",193
"2080","DAVISON CO JAIL, MITCHELL, SD",32
"2081","DAWES COUNTY JAIL, NE",2
"2082","DAWSON COUNTY JAIL",10
"2083","DAWSON COUNTY JAIL MT",3
"2084","DAWSON COUNTY JAIL, NE",76
"2085","DAWSON COUNTY, GA",16
"2086","DAWSON, GA",1
"2087","DAWSONVILLE, GA",11
"2088","DAY CO JAIL, WEBSTER, SD",3
"2089","DAYTON, TEXAS",21
"2090","DAYTONA BEACH MAIN, FL PROBATION & PAROLE, FL DOC #070",2
"2091","DAYTONA BEACH MAIN, FL PROBATION & PAROLE, FL DOC #070,077",5
"2092","DAYTONA BEACH, FL PROBATION & PAROLE, FL DOC #070,077",6
"2093","DC JAIL - CENTRAL DETENTION - CENTRAL TREATMENT - DISTRICT OF COLUMBIA - DC",179
"2094","DEA STRIKEFORCE",19
"2095","DEADWOOD, SOUTH DAKOTA",2
"2096","DEAF SMITH COUNTY",165
"2097","DEAF SMITH COUNTY JAIL",9
"2098","DEARBORN COUNTY SHERIFF'S OFFICE, INDIANA",3
"2099","Dearborn Heights",2
"2100","DEARBORN HEIGHTS POLICE DEPARTMENT",2
"2101","DEARBORN HEIGHTS, MICHIGAN",24
"2102","DEARBORN POLICE DEPARTMENT",15
"2103","DEARBORN, MI",41
"2104","DECATUR CORRECTIONAL CENTER, (ILLINOIS DOC)",3
"2105","DECATUR COUNTY JAIL, GA",5
"2106","DECATUR COUNTY SHERIFF'S OFFICE, INDIANA",3
"2107","DECATUR COUNTY, GA",3
"2108","DECATUR POLICE DEPARTMENT",4
"2109","DECATUR, GA",43
"2110","DECATUR, MICHIGAN",2
"2111","DEDHAM DISTRICT COURT",9
"2112","DEEP MEADOW CORRECTIONAL CENTER-VA",3
"2113","DEER PARK POLICE DEPT, HARRIS CO, TX",4
"2114","DEER PARK POLICE DEPT, HARRIS COUNTY, TX",12
"2115","DEERFIELD CORRECTIONAL CENTER - VA",1
"2116","DEERFIELD CORRECTIONAL CENTER-VA",1
"2117","DEFERRED INSPECTIONS OFFICE",1
"2118","Defiance County, OH",15
"2119","DEKALB CENTRAL PROBATION OFFICE",4
"2120","DEKALB COUNTY JAIL, TN",3
"2121","DEKALB COUNTY SHERIFF'S OFFICE, IL",4
"2122","DEKALB COUNTY SHERIFF'S OFFICE, INDIANA",4
"2123","DEKALB COUNTY SHERIFFS OFFICE MISSOURI",1
"2124","DEKALB COUNTY STATE COURT PROBATION",1
"2125","DEKALB COUNTY, GA",125
"2126","DEKALB PROBATION OFFICE",4
"2127","Del Mar, CA",1
"2128","DEL NORTE, CO POLICE DEPARTMENT",2
"2129","DEL RIO U.S. MARSHALS",2
"2130","DEL RIO U.S. PROBATIONS",1
"2131","DELANCO TOWNSHIP POLICE DEPARTMENT",1
"2132","DELAND, FL PROBATION & PAROLE, FL DOC #071",15
"2133","DELANO CCF",101
"2134","DELANO POLICE DEPARTMENT",1
"2135","DELAWARE COUNTY",15
"2136","DELAWARE COUNTY JAIL",38
"2137","DELAWARE COUNTY JAIL, IA",13
"2138","DELAWARE COUNTY PRISON",89
"2139","DELAWARE STATE POLICE - TROOP 1",2
"2140","DELAWARE STATE POLICE - TROOP 2",2
"2141","DELAWARE STATE POLICE - TROOP 4",1
"2142","DELAWARE STATE POLICE - TROOP 6",1
"2143","DELAWARE TWP PD",1
"2144","DELEWARE COUNTY SHERIFF'S OFFICE, INDIANA",8
"2145","DELORES J. BAYLOR CORRECTIONAL INSTITUTION",5
"2146","DELRAN TOWNSHIP POLICE DEPARTMENT",7
"2147","DELTA COUNTY CRIM AT LARGE",1
"2148","DELTA COUNTY JAIL",8
"2149","DELTA COUNTY JAIL, ESCANABA, MI",1
"2150","DELTA COUNTY PROBATION OFFICE",1
"2151","DELTA COUNTY SHERIFFS OFFICE",11
"2152","DELTA, COLORADO",10
"2153","DEMAREST PD",2
"2154","DEMING, NEW MEXICO",2
"2155","DENTON CITY JAIL",21
"2156","DENTON COUNTY GENERAL AREA",29
"2157","DENTON COUNTY JAIL",642
"2158","DENTON COUNTY SHERIFFS OFFICE",3
"2159","DENVER COUNTY",1398
"2160","DENVER COUNTY JAIL",22
"2161","DENVER COUNTY PROBATION OFFICE",106
"2162","DENVER JUSTICE CENTER",109
"2163","DENVER, CO",47
"2164","DENVILLE PD",3
"2165","DEPARTMENT OF DEFENSE FORT DIX POLICE",14
"2166","DEPARTMENT OF DEFENSE POLICE, PICATINNY",2
"2167","DEPT OF CORRECTIONS, RAWLINS, WYOMING",12
"2168","DEPT OF CORRECTIONS, TORRINGTON, WYOMING",1
"2169","DEPT OF CORRECTIONS, WOMENS PRISON, LUSIK, WYOMING",1
"2170","DEPT OF CORRETIONS, TORRINGTON, WYOMING",5
"2171","DERBY, CT",10
"2172","DES PERES POLICE DEPARTMENT, MISSOURI",3
"2173","DESCHUTES COUNTY JAIL",16
"2174","DESERT VIEW CCF (STATE) ADELANTO, CA",186
"2175","DESMOINES COUNTY JAIL, IA",5
"2176","DESOTO COUNTY, MS",1
"2177","DESOTO POLICE DEPARTMENT",14
"2178","DET GENERAL AREA, NON-SPECIFIC",1
"2179","DETENTION AND REMOVAL OPERATIONS, HARLINGEN FIELD OFFICE",3
"2180","DETROIT METRO PAROLE OFFICE, LAWTON, DETROIT",1
"2181","DETROIT POLICE DEPARTMENT",11
"2182","DETROIT, MI",1199
"2183","DEUEL VOCATIONAL INSTITUTION",87
"2184","DEWEY COUNTY JAIL",5
"2185","DEWEY COUNTY JAIL, TIMBER LAKE, SD",2
"2186","DEWITT CO JAIL, CUERO, TX",4
"2187","DEWITT COUNTY JAIL, CUERO, TX",46
"2188","DEWITT COUNTY PROBATION, CUERO, TX",2
"2189","DEWITT TOWN POLICE DEPARTMENT",2
"2190","DEXTER POLICE DEPARTMENT, MISSOURI",1
"2191","DHD GENERAL AREA, NON-SPECIFIC",328
"2192","DIAGNOSTIC & EVALUATION CENTER, NE",49
"2193","DICKENSON COUNTY SHERIFFS OFFICE, ABILENE, KANSAS",4
"2194","DICKINSON COUNTY JAIL, IRON MOUNTAIN, MI",2
"2195","DICKINSON, TEXAS",5
"2196","DICKSON COUNTY JAIL, TN",40
"2197","DILLON COUNTY JAIL",36
"2198","DILLON COUNTY, SC",4
"2199","DILWYNN CORRECTIONAL CENTER-VA",8
"2200","DIMMIT COUNTY JAIL",2
"2201","DIMMIT COUNTY JAIL - TX0640000",1
"2202","DINOSAUR, COLORADO",2
"2203","DISCONTINUED",2
"2204","DIXON CORRECTIONAL CENTER",4
"2205","DIXON CORRECTIONAL CENTER, IL (ILLINOIS DOC)",1
"2206","DLR GENERAL AREA, NON-SPECIFIC",89
"2207","DNA GENERAL AREA, NON-SPECIFIC",1
"2208","DO NOT USE",2442
"2209","DOBSON, NC",3
"2210","DOC 287G OFFICER, MCI FRAMINGHAM",1
"2211","DOC CAP: BILL JOHNSON CORRECTIONAL CENTER",13
"2212","DOC CAP: CIMARRON CORRECTIONAL FACILITY",12
"2213","DOC CAP: DAVIS CORRECTIONAL FACILITY",6
"2214","DOC CAP: DR EDDIE WARRIOR CORRECTIONAL CENTER",3
"2215","DOC CAP: HOWARD MCLEOD CORRECTIONAL CENTER",30
"2216","DOC CAP: JACKIE BRANNON CORRECTIONAL CENTER",32
"2217","DOC CAP: JAMES CRABTREE CORRECTIONAL CENTER",12
"2218","DOC CAP: JESS DUNN CORRECTIONAL CENTER",27
"2219","DOC CAP: JIM E HAMILTON CORRECTIONAL CENTER",14
"2220","DOC CAP: JOHN LILLEY CORRECTIONAL CENTER",6
"2221","DOC CAP: JOSEPH HARP CORRECTIONAL CENTER",3
"2222","DOC CAP: KATE BARNARD COMMTY CORRECTIONS CENTER",1
"2223","DOC CAP: LAWTON CORRECTIONAL FACILITY",44
"2224","DOC CAP: LEXINGTON AREA RECEPTION CENTER",19
"2225","DOC CAP: LEXINGTON CORRECTIONAL CENTER",7
"2226","DOC CAP: MABEL BASSETT CORRECTIONAL CENTER",10
"2227","DOC CAP: MACK ALFORD CORRECTIONAL CENTER",8
"2228","DOC CAP: MUSKOGEE COMMUNITY CORRECTIONS CENTER",1
"2229","DOC CAP: NORTHEAST OKLAHOMA CORRECTIONAL CENTER",15
"2230","DOC CAP: OKLAHOMA STATE PENITENTIARY",9
"2231","DOC CAP: OKLAHOMA STATE REFORMATORY",5
"2232","DOC CAP: RB DICK CONNER CORRECTIONAL CENTER",5
"2233","DOC CAP: WILLIAM S KEY CORRECTIONAL CENTER",32
"2234","Documnet Fraud TF, San Diego, CA",1
"2235","DODGE COUNTY CORRECTIONS DEPARTMENT, NE",27
"2236","DODGE COUNTY, GA",12
"2237","DOLORES COUNTY COURTHOUSE",1
"2238","DOLORES COUNTY PROBATION OFFICE",1
"2239","DONA ANA COUNTY DETENTION CENTER",26
"2240","DONLEY COUNTY",8
"2241","DONNA CITY JAIL, TX - TX1080200",25
"2242","DONOVAN STATE PRISON",82
"2243","DOOLY COUNTY JAIL, GA",36
"2244","DORAVILLE, GA",85
"2245","DORCHESTER COUNTY DETENTION CENTER",88
"2246","DORCHESTER COUNTY GENERAL AREA",9
"2247","DORCHESTER COUNTY, SC",25
"2248","DORCHESTER DISTRICT COURT",24
"2249","DOUBLE OAK POLICE DEPARTMENT",1
"2250","DOUGHERTY COUNTY JAIL, GA",35
"2251","DOUGLAS BORDER PATROL AZ STATE",2
"2252","DOUGLAS COUNTY",51
"2253","DOUGLAS COUNTY JAIL",87
"2254","DOUGLAS COUNTY JAIL, MN",7
"2255","DOUGLAS COUNTY JAIL, NE",477
"2256","DOUGLAS COUNTY KS",12
"2257","DOUGLAS COUNTY PROBATION OFFICE",8
"2258","DOUGLAS COUNTY SHERIFF'S OFFICE, IL",1
"2259","DOUGLAS COUNTY SHERIFFS OFFICE KANSAS",12
"2260","DOUGLAS COUNTY, GA",44
"2261","DOUGLAS, GA",14
"2262","DOUGLASVILLE PROBATION OFFICE",4
"2263","DOUGLASVILLE, GA (DOUGLAS COUNTY)",68
"2264","DOVER PD",38
"2265","DOVER POLICE DEPARTMENT - DOVER, DE",1
"2266","DOVER PROBATION",3
"2267","DOWNEY POLICE DEPT, DOWNEY, CA",1
"2268","DPS GIITEM",8
"2269","DREW COUNTY JAIL",2
"2270","DSM GENERAL AREA, NON-SPECIFIC IOWA",300
"2271","DTN GENERAL AREA, NON-SPECIFIC",408
"2272","DUAL VOCATIONAL INSTITUTE",55
"2273","DUBLIN FCI/FDC/FPC - CA",286
"2274","DUBOIS COUNTY SHERIFF'S OFFICE, INDIANA",12
"2275","DUBUQUE COUNTY JAIL, IA",20
"2276","DUBUQUE RESIDENTIAL FACILITY, IA",2
"2277","DUCHESNE COUNTY JAIL - UT",8
"2278","DUDLEY DISTRICT COURT",8
"2279","DULUTH, GA",42
"2280","DUMONT PD",1
"2281","DUNCANVILLE POLICE DEPARTMENT",12
"2282","DUNDY COUNTY JAIL, NE",1
"2283","DUNELLEN PD",19
"2284","DUNKIRK, FREDONIA FUGOPS",1
"2285","DUNKLIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",18
"2286","DUNWOODY, GA",10
"2287","DUPAGE COUNTY JAIL",172
"2288","DUPLIN COUNTY FUGITIVE OPERATIONS",64
"2289","DUPLIN COUNTY JAIL",57
"2290","DUPLIN COUNTY PROBATION KENANSVILLE NC",1
"2291","DURHAM CO PROBATION 119 ORANGE ST DURHAM",4
"2292","DURHAM CO PROBATION DURHAM CHAPEL HILL BLVD DURHAM",1
"2293","DURHAM COUNTY FUGITIVE OPERATIONS",163
"2294","DURHAM COUNTY JAIL",221
"2295","DUTY WINDOW 126 NORTHPOINT",7
"2296","DUVAL COUNTY JAIL",2
"2297","DUVAL COUNTY PROBATION & PAROLE",6
"2298","DVD AOR FUGITIVE OPERATIONS",190
"2299","DVD GENERAL AREA, NON-SPECIFIC",451
"2300","DVN GENERAL AREA, NON-SPECIFIC",6
"2301","E DIST OK MUSKOGEE DIV ADAIR CO CRIM AT LARGE",5
"2302","E DIST OK MUSKOGEE DIV ATOKA CO AT LARGE",1
"2303","E DIST OK MUSKOGEE DIV BRYAN CO AT LARGE",2
"2304","E DIST OK MUSKOGEE DIV BRYAN CO CRIM AT LARGE",2
"2305","E DIST OK MUSKOGEE DIV BRYAN CO PROBATION",1
"2306","E DIST OK MUSKOGEE DIV CHEROKEE CO CRIM AT LARGE",1
"2307","E DIST OK MUSKOGEE DIV CHOCKTAW CO CRIM AT LARGE",3
"2308","E DIST OK MUSKOGEE DIV HAKSELL CO CRIM AT LARGE",1
"2309","E DIST OK MUSKOGEE DIV HASKELL CO NON CRIM",1
"2310","E DIST OK MUSKOGEE DIV LATIMER CO CRIM AT LARGE",1
"2311","E DIST OK MUSKOGEE DIV LEFLORE CO AT LARGE",2
"2312","E DIST OK MUSKOGEE DIV LEFLORE CO CRIM AT LARGE",3
"2313","E DIST OK MUSKOGEE DIV MARSHALL CO CRIM AT LARGE",1
"2314","E DIST OK MUSKOGEE DIV MCCURTAIN CO CRIM AT LARGE",1
"2315","E DIST OK MUSKOGEE DIV MUSKOGEE CO AT LARGE",2
"2316","E DIST OK MUSKOGEE DIV MUSKOGEE CO CRIM AT LARGE",4
"2317","E DIST OK MUSKOGEE DIV MUSKOGEE CO PROBATION",1
"2318","E DIST OK MUSKOGEE DIV OKMULGEE CO AT LARGE",1
"2319","E DIST OK MUSKOGEE DIV OKMULGEE CO CRIM AT LARGE",1
"2320","E DIST OK MUSKOGEE DIV PITTSBURG CO CRIM AT LARGE",2
"2321","E DIST OK MUSKOGEE DIV PONTOTOC CO CRIM AT LARGE",3
"2322","E DIST OK MUSKOGEE DIV SEMINOLE CO CRIM AT LARGE",1
"2323","E DIST OK MUSKOGEE DIV SEQUOYAH CO AT LARGE",1
"2324","E DIST OK MUSKOGEE DIV SEQUOYAH CO CRIM AT LARGE",7
"2325","E DIST OK MUSKOGEE DIV WAGONER CO CRIM AT LARGE",1
"2326","E DIST TX MARSHALL DIV CAMP CO CRIM AT LARGE",1
"2327","E DIST TX MARSHALL DIV MARION CO CRIM AT LARGE",1
"2328","E DIST TX MARSHALL DIV UPSHUR CO PROBATION",4
"2329","E DIST TX SHERMAN DIV COLLIN CO CRIM AT LARGE",52
"2330","E DIST TX SHERMAN DIV COLLIN CO NON CRIM",18
"2331","E DIST TX SHERMAN DIV COLLIN CO P&P AT LARGE",21
"2332","E DIST TX SHERMAN DIV COLLIN CO PROBATION",98
"2333","E DIST TX SHERMAN DIV COOK CO CRIM AT LARGE",1
"2334","E DIST TX SHERMAN DIV COOK CO P&P AT LARGE",2
"2335","E DIST TX SHERMAN DIV DENTON CO CRIM AT LARGE",21
"2336","E DIST TX SHERMAN DIV DENTON CO NON CRIM",11
"2337","E DIST TX SHERMAN DIV DENTON CO P&P AT LARGE",36
"2338","E DIST TX SHERMAN DIV DENTON CO PROBATION",58
"2339","E DIST TX SHERMAN DIV FANNIN CO CRIM AT LARGE",1
"2340","E DIST TX SHERMAN DIV FANNIN CO PROBATION",4
"2341","E DIST TX SHERMAN DIV GRAYSON CO CRIM AT LARGE",8
"2342","E DIST TX SHERMAN DIV GRAYSON CO NON CRIM",1
"2343","E DIST TX SHERMAN DIV GRAYSON CO P&P AT LARGE",2
"2344","E DIST TX SHERMAN DIV GRAYSON CO PROBATION",32
"2345","E DIST TX SHERMAN DIV HOPKINS CO CRIM AT LARGE",1
"2346","E DIST TX SHERMAN DIV LAMAR CO CRIM AT LARGE",7
"2347","E DIST TX SHERMAN DIV LAMAR CO NON CRIM",1
"2348","E DIST TX SHERMAN DIV PLANO FPO",6
"2349","E DIST TX SHERMAN DIV SHERMAN FPO",3
"2350","E DIST TX TEXARKANA DIV TITUS CO CRIM AT LARGE",5
"2351","E DIST TX TYLER DIV ANDERSON CO CRIM AT LARGE",10
"2352","E DIST TX TYLER DIV ANDERSON CO NON CRIM",1
"2353","E DIST TX TYLER DIV ANDERSON CO PROBATION",2
"2354","E DIST TX TYLER DIV GREGG CO CRIM AT LARGE",1
"2355","E DIST TX TYLER DIV GREGG CO P&P AT LARGE",1
"2356","E DIST TX TYLER DIV HENDERSON CO CRIM AT LARGE",4
"2357","E DIST TX TYLER DIV HENDERSON CO PROBATION",1
"2358","E DIST TX TYLER DIV PANOLA CO CRIM AT LARGE",1
"2359","E DIST TX TYLER DIV RUSK CO CRIM AT LARGE",2
"2360","E DIST TX TYLER DIV RUSK CO PROBATION",7
"2361","E DIST TX TYLER DIV SMITH CO CRIM AT LARGE",33
"2362","E DIST TX TYLER DIV SMITH CO NON CRIM",2
"2363","E DIST TX TYLER DIV SMITH CO PROBATION",5
"2364","E DIST TX TYLER DIV VAN ZANDT CO CRIM AT LARGE",1
"2365","EAGLE COUNTY JAIL",15
"2366","EAGLE COUNTY PROBATION OFFICE",19
"2367","EAGLE COUNTY, COLORADO",23
"2368","EARLY COUNTY, GA",3
"2369","EAST BATON ROUGE PARISH PRISON",254
"2370","EAST BATON ROUGE PARRISH SHERRIF'S OFFICE, LA",3
"2371","EAST BOSTON DISTRICT COURT",15
"2372","EAST BRUNSWICK PD",6
"2373","EAST CENTRAL REGIONAL JUVENILE CENTER ANOKA CO, MN",1
"2374","EAST HANOVER TWP PD",4
"2375","EAST HARTFORD, CT",7
"2376","EAST HARTFORD, CT POLICE DEPARTMENT",1
"2377","EAST HAVEN, CT",4
"2378","EAST HAVEN, CT POLICE DEPARTMENT",1
"2379","EAST HIDALGO DETENTION CENTER, LA VILLA, TX",53
"2380","EAST HUNT CORRECTIONAL CENTER",4
"2381","EAST JERSEY STATE PRISION",30
"2382","EAST LOS ANGELES SHERIFF'S DEPT, EAST LOS ANGELES, CA",4
"2383","EAST MESA DETENTION FACILITY",340
"2384","EAST MESA JUVENILE DETENTION FACILITY",1
"2385","EAST ORANGE PD",18
"2386","EAST POINT, GA",19
"2387","EAST RUTHERFORD PD",3
"2388","EAST WINDSOR TOWNSHIP POLICE DEPARTMENT",22
"2389","EAST WINDSOR, CT",3
"2390","EAST WINDSOR, CT POLICE DEPARTMENT",1
"2391","EASTAMPTON POLICE DEPARTMENT",1
"2392","EASTERN CORRECTIONAL INSTITUTION",34
"2393","EASTERN MISSOURI CORRECTIONAL CENTER, MISSOURI DEPARTMETN OF CORRECTIONS",5
"2394","EASTERN REGIONAL RECEPTION AND DIAGNOSTIC CENTER, MISSOURI",23
"2395","EASTERN SHORE AREA, VIRGINIA",4
"2396","EASTERN SHORE REGIONAL JAIL - VA",1
"2397","EASTERN SHORE REGIONAL JAIL VA",18
"2398","Eastland County, TX At Large",2
"2399","Eastland County, TX Jail",7
"2400","EASTON, MD GENERAL AREA",22
"2401","EATON COUNTY JAIL, CHARLOTTE, MI",15
"2402","EATONTON, GA",1
"2403","EATONTOWN PD",9
"2404","ECC GENERAL AREA, NON-SPECIFIC",26
"2405","ECHOLS COUNTY SHERIFFS, GA",1
"2406","ECORSE POLICE DEPARTMENT",2
"2407","ECORSE, MICHIGAN",8
"2408","ECTOR COUNTY DETENTION CENTER",52
"2409","ECTOR COUNTY LAW ENFORCEMENT CENTER",146
"2410","EDC GENERAL AREA, NON-SPECIFIC",943
"2411","EDCOUCH CITY JAIL, TX - TX1080300",1
"2412","EDEN DETENTION CENTER",2
"2413","EDEN DETENTION CENTER - EDEN, TX",810
"2414","Eden Detention Center-Eden, Texas",25
"2415","EDGECOMB COUNTY FUGITIVE OPERATIONS",10
"2416","EDGECOMB COUNTY JAIL",10
"2417","EDGEFIELD, SC",38
"2418","EDGEWATER PARK POLICE DEPARTMENT",6
"2419","EDGEWATER PD",6
"2420","EDINA POLICE DEPARTMENT - MINNESOTA",2
"2421","EDINBURG CITY JAIL, TX - TX1080400",44
"2422","EDISON PD",14
"2423","EDMOND POLICE DEPARTMENT EDMOND, OK",28
