"","aor","apprehension_landmark","total"
"2300","BUF","WASHINGTON COUNTY JAIL",22
"2301","BUF","WASHINGTON COUNTY SHERIFFS OFFICE",9
"2302","BUF","WATERTOWN POLICE DEPARTMENT",1
"2303","BUF","WAYNE COUNTY",18
"2304","BUF","WAYNE COUNTY JAIL",14
"2305","BUF","WAYNE COUNTY PROBATION",1
"2306","BUF","WAYNE COUNTY SHERIFF",5
"2307","BUF","WENDE CORRECTIONAL FACILITY",5046
"2308","BUF","WHP GENERAL AREA, NON-SPECIFIC",1
"2309","BUF","WILLARD DRUG TREATMENT CAMPUS",45
"2310","BUF","WYOMING COUNTY",4
"2311","BUF","WYOMING COUNTY JAIL",6
"2312","BUF","WYOMING COUNTY SHERIFF",6
"2313","BUF","XAY GENERAL AREA, NON-SPECIFIC",1
"2314","BUF","XBU GENERAL AREA, NON-SPECIFIC",2
"2315","BUF","YATES COUNTY JAIL",2
"2316","BUF","YORKVILLE VILLAGE POLICE DEPARTMENT",3
"2317","BUF",NA,760
"2318","CHI"," A- MILWAUKEE COUNTY JAIL (CJF)",4
"2319","CHI"," MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)",1
"2320","CHI","A - CALUMET COUNTY GENERAL AREA",11
"2321","CHI","A - CALUMET COUNTY JAIL",47
"2322","CHI","A - DODGE COUNTY GENERAL AREA",14
"2323","CHI","A - DODGE COUNTY JAIL",79
"2324","CHI","A - ERO-MIL KNAPP ST OFFICE",532
"2325","CHI","A - FOND DU LAC COUNTY GENERAL AREA",17
"2326","CHI","A - FOND DU LAC COUNTY JAIL",115
"2327","CHI","A - GREEN LAKE COUNTY GENERAL AREA",1
"2328","CHI","A - GREEN LAKE COUNTY JAIL",14
"2329","CHI","A - KENOSHA COUNTY GENERAL AREA",89
"2330","CHI","A - KENOSHA COUNTY JAIL",181
"2331","CHI","A - MANITOWOC COUNTY GENERAL AREA",31
"2332","CHI","A - MANITOWOC COUNTY JAIL",78
"2333","CHI","A - MARQUETTE COUNTY JAIL",12
"2334","CHI","A - MILWAUKEE COUNTY HOUSE OF CORRECTIONS (HOC)",124
"2335","CHI","A - MILWAUKEE COUNTY JAIL (CJF)",558
"2336","CHI","A - MILWAUKEE POLICE DEPARTMENT",2
"2337","CHI","A - OZAUKEE COUNTY GENERAL AREA",18
"2338","CHI","A - OZAUKEE COUNTY JAIL",32
"2339","CHI","A - RACINE COUNTY GENERAL AREA",127
"2340","CHI","A - RACINE COUNTY JAIL",203
"2341","CHI","A - SHEBOYGAN COUNTY DETENTION CENTER",26
"2342","CHI","A - SHEBOYGAN COUNTY GENERAL AREA",21
"2343","CHI","A - SHEBOYGAN COUNTY JAIL",105
"2344","CHI","A - U.S. MARSHALL - EASTERN DISTRICT OF WISCONSIN",52
"2345","CHI","A - WALWORTH COUNTY GENERAL AREA",51
"2346","CHI","A - WALWORTH COUNTY JAIL",240
"2347","CHI","A - WASHINGTON COUNTY GENERAL AREA",22
"2348","CHI","A - WASHINGTON COUNTY JAIL",43
"2349","CHI","A - WAUKESHA COUNTY GENERAL AREA",114
"2350","CHI","A - WAUKESHA COUNTY JAIL",204
"2351","CHI","A - WAUSHARA COUNTY GENERAL AREA",4
"2352","CHI","A - WAUSHARA COUNTY JAIL",30
"2353","CHI","A - WI DOC - DODGE CORRECTIONAL INSTITUTION",116
"2354","CHI","A - WI DOC - FOX LAKE CORRECTIONAL INSTITUTION",18
"2355","CHI","A - WI DOC - KENOSHA COUNTY CORRECTIONAL CENTER",1
"2356","CHI","A - WI DOC - KETTLE MORAINE CORRECTIONAL INSTITUTION",9
"2357","CHI","A - WI DOC - MILWAUKEE SECURE DETENTION FACILITY",6
"2358","CHI","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",515
"2359","CHI","A - WI DOC - RED GRANITE CORRECTIONAL INSTITUTION",22
"2360","CHI","A - WI DOC - TAYCHEEDAH CORRECTIONAL INSTITUTION",16
"2361","CHI","A - WI DOC - WAUPUN CORRECTIONAL INSTITUTION",4
"2362","CHI","A - WI DOC - WINNEBAGO CORRECTIONAL CENTER",1
"2363","CHI","A - WI DOC - WISCONSIN RESCOURCE CENTER",2
"2364","CHI","A - WI DOC OSHKOSH CORRECTIONAL INSTITUTION",18
"2365","CHI","A - WI DOC-DODGE CORRECTIONAL INSTITUTION",2
"2366","CHI","A - WI DOC-RACINE CORRECTIONAL INSTITUTION",1
"2367","CHI","A - WINNEBAGO COUNTY GENERAL AREA",9
"2368","CHI","A - WINNEBAGO COUNTY JAIL",68
"2369","CHI","A-Washington County Jail",10
"2370","CHI","ADAIR COUNTY JAIL, KY",5
"2371","CHI","ADAIR COUNTY REGIONAL JAIL, KY",25
"2372","CHI","ADAIR COUNTY SHERIFF'S DEPARTMENT, MISSOURI",5
"2373","CHI","ADAMS COUNTY",1
"2374","CHI","ADAMS COUNTY CORRECTIONAL CENTER, NATCHEZ, MS",2
"2375","CHI","ADAMS COUNTY JAIL",1
"2376","CHI","ADAMS COUNTY SHERIFF'S OFFICE",21
"2377","CHI","ADAMS COUNTY SHERIFF'S OFFICE, IL",3
"2378","CHI","ADAMS COUNTY SHERIFF'S OFFICE, INDIANA",3
"2379","CHI","ADELANTO, CA ICE FACILITY",2
"2380","CHI","ADSLKFJA;KL",1
"2381","CHI","ALGOA CORRECTIONAL CENTER MISSOURI DEPARTMENT OF CORRECTIONS",4
"2382","CHI","ALLEN COUNTY JAIL, KY",21
"2383","CHI","ALLEN COUNTY SHERIFF'S OFFICE, FT. WAYNE, IN",414
"2384","CHI","ALLEN COUNTY SHERIFFS OFFICE KANSAS",3
"2385","CHI","ALTON, ILLINOIS POLICE DEPARTMENT",2
"2386","CHI","ANDERSON COUNTY SHERIFFS OFFICE KANSAS",3
"2387","CHI","ANDREW COUNTY SHERIFFS OFFICE MISSOURI",2
"2388","CHI","ARNOLD POLICE DEPARTMENT, MISSOURI",1
"2389","CHI","ATCHISON COUNTY SHERIFFS OFFICE MISSOURI",4
"2390","CHI","AUDRAIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",15
"2391","CHI","AURORA POLICE DEPARTMENT, MISSOURI",2
"2392","CHI","AURORA, IL POLICE DEPARTMENT",2
"2393","CHI","Adams County Correctional Center",1
"2394","CHI","B - ADAMS COUNTY JAIL",8
"2395","CHI","B - COLUMBIA COUNTY GENERAL AREA",6
"2396","CHI","B - COLUMBIA COUNTY JAIL",52
"2397","CHI","B - CRAWFORD COUNTY GENERAL AREA",1
"2398","CHI","B - CRAWFORD COUNTY JAIL",3
"2399","CHI","B - DANE COUNTY GENERAL AREA",297
"2400","CHI","B - DANE COUNTY JAIL",524
"2401","CHI","B - FEDERAL CORRECTIONAL INSTITUTION, OXFORD, WI",153
"2402","CHI","B - FEDERAL PRISON CAMP, OXFORD, WI",12
"2403","CHI","B - GRANT COUNTY GENERAL AREA",7
"2404","CHI","B - GRANT COUNTY JAIL",26
"2405","CHI","B - GREEN COUNTY GENERAL AREA",6
"2406","CHI","B - GREEN COUNTY JAIL",31
"2407","CHI","B - IOWA COUNTY GENERAL AREA",4
"2408","CHI","B - IOWA COUNTY JAIL",15
"2409","CHI","B - JEFFERSON COUNTY GENERAL AREA",67
"2410","CHI","B - JEFFERSON COUNTY JAIL",148
"2411","CHI","B - JUNEAU COUNTY GENERAL AREA",3
"2412","CHI","B - JUNEAU COUNTY JAIL",12
"2413","CHI","B - LA CROSSE COUNTY GENERAL AREA",4
"2414","CHI","B - LA CROSSE COUNTY JAIL",21
"2415","CHI","B - LAFAYETTE COUNTY GENERAL AREA",11
"2416","CHI","B - LAFAYETTE COUNTY JAIL",63
"2417","CHI","B - MONROE COUNTY GENERAL AREA",15
"2418","CHI","B - MONROE COUNTY JAIL",66
"2419","CHI","B - RICHLAND COUNTY GENERAL AREA",6
"2420","CHI","B - RICHLAND COUNTY JAIL",9
"2421","CHI","B - ROCK COUNTY GENERAL AREA",105
"2422","CHI","B - ROCK COUNTY JAIL",136
"2423","CHI","B - SAUK COUNTY GENERAL AREA",29
"2424","CHI","B - SAUK COUNTY JAIL",153
"2425","CHI","B - U.S. MARSHALL - WESTERN DISTRICT OF WISCONSIN",23
"2426","CHI","B - VERNON COUNTY GENERAL AREA",6
"2427","CHI","B - VERNON COUNTY JAIL",4
"2428","CHI","B - WASHBURN COUNTY GENERAL AREA",1
"2429","CHI","B - WASHBURN COUNTY JAIL",2
"2430","CHI","B - WI DOC - COLUMBIA CORRECTIONAL INSTITUTION",3
"2431","CHI","B - WI DOC - NEW LISBON CORRECTIONAL INSTITUTION",10
"2432","CHI","B - WI DOC - OAKHILL CORRECTIONAL INSTITUTION",3
"2433","CHI","B - WI DOC - PRAIRIE DU CHIEN CORRECTIONAL INSTITUTION",5
"2434","CHI","BALLARD COUNTY DETENTION CTR, KY",14
"2435","CHI","BALLWIN POLICE DEPARTMENT, MISSOURI",7
"2436","CHI","BARBER COUNTY SHERIFFS, MEDICINE LODGE, KANSAS",2
"2437","CHI","BARREN COUNTY CORRECTIONS CTR, KY",121
"2438","CHI","BARRY COUNTY SHERIFFS OFFICE, MISSOURI",28
"2439","CHI","BARTHOLOMEW COUNTY SHERIFF'S OFFICE, COLUMBUS, IN",428
"2440","CHI","BARTHOLOMEW COUNTY SHERIFF'S OFFICE, IN",3
"2441","CHI","BARTON COUNTY SHERIFFS OFFICE, MISSOURI",1
"2442","CHI","BARTON COUNTY SHERIFFS, GREAT BEND, KANSAS",87
"2443","CHI","BASTROP COUNTY JAIL, BASTROP, TEXAS",1
"2444","CHI","BASTROP FEDERAL CORRECTIONAL INST., BASTROP, TEXAS",1
"2445","CHI","BATES COUNTY SHERIFFS OFFICE MISSOURI",11
"2446","CHI","BATH COUNTY JAIL, KY",2
"2447","CHI","BELL COUNTY DETENTION CTR, KY",11
"2448","CHI","BELLFOUNTAIN POLICE DEPARTMENT, MISSOURI",2
"2449","CHI","BELLVILLE, ILLINOIS POLICE DEPARTMENT",3
"2450","CHI","BELTON MISSOURI POLICE DEPARTMENT",68
"2451","CHI","BENTON COUNTY SHERIFF'S OFFICE, INDIANA",1
"2452","CHI","BENTON COUNTY SHERIFFS OFFICE MISSOURI",3
"2453","CHI","BERKELEY POLICE DEPARTMENT, MISSOURI",5
"2454","CHI","BERKS COUNTY FAMILY SHELTER",1
"2455","CHI","BIG MUDDY CORRECTIONAL, ILLINOIS DOC",12
"2456","CHI","BIG MUDDY RIVER CORRECTIONAL CENTER, IL",4
"2457","CHI","BIG SANDY REGIONAL PAINTSVILLE, KY",3
"2458","CHI","BKI GENERAL AREA, NON-SPECIFIC",1
"2459","CHI","BLACKFORD COUNTY SHERIFF'S OFFICE, INDIANA",8
"2460","CHI","BLG GENERAL AREA, NON-SPECIFIC",81
"2461","CHI","BOI GENERAL AREA, NON-SPECIFIC",1
"2462","CHI","BOND COUNTY SHERIFF'S OFFICE, IL",3
"2463","CHI","BOONE COUNTY JAIL, KY",200
"2464","CHI","BOONE COUNTY SHERIFF'S OFFICE, IL",24
"2465","CHI","BOONE COUNTY SHERIFF'S OFFICE, INDIANA",184
"2466","CHI","BOONE COUNTY SHERIFFS OFFICE MISSOURI",138
"2467","CHI","BOONVILLE CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",6
"2468","CHI","BOP FED MED CENTER LEXINGTON, KY",145
"2469","CHI","BOPFCI WINTON, NC",2
"2470","CHI","BOURBON COUNTY JAIL, KY",225
"2471","CHI","BOURBON COUNTY SHERIFFS OFFICE, KANSAS",6
"2472","CHI","BOWLING GREEN CAP STREET ARREST",43
"2473","CHI","BOYD COUNTY DETENTION CTR, KY",9
"2474","CHI","BOYLE COUNTY DETENTION CTR, KY",122
"2475","CHI","BRACKEN COUNTY JAIL, KY",3
"2476","CHI","BRANSON POLICE DEPARTMENT, MISSOURI",15
"2477","CHI","BRECKENRIDGE HILLS POLICE DEPARTMENT, MISSOURI",2
"2478","CHI","BRECKINRIDGE CO DETENTION CENTER, KY",13
"2479","CHI","BRENTWOOD POLICE DEPARTMENT, MISSOURI",4
"2480","CHI","BRIDGETON POLICE DEPARTMENT, MISSOURI",41
"2481","CHI","BRK GENERAL AREA, NON-SPECIFIC",1
"2482","CHI","BROWN COUNTY SHERIFF'S OFFICE, INDIANA",4
"2483","CHI","BROWN COUNTY SHERIFFS OFFICE KANSAS",4
"2484","CHI","BSA GENERAL AREA, NON-SPECIFIC",290
"2485","CHI","BSC GENERAL AREA, NON-SPECIFIC",1
"2486","CHI","BUCHANAN COUNTY SHERIFFS OFFICE MISSOURI",105
"2487","CHI","BULLITT COUNTY DETENTION CTR, KY",61
"2488","CHI","BUREAU COUNTY SHERIFF'S OFFICE, IL",13
"2489","CHI","BURNET COUNTY JAIL, BURNET, TEXAS",2
"2490","CHI","BUTLER COUNTY JAIL, KY",1
"2491","CHI","BUTLER COUNTY SHEFIFF'S DEPARTMENT, MISSOURI",3
"2492","CHI","BUTLER COUNTY SHERIFFS, EL DORADO, KANSAS",46
"2493","CHI","BUTLER COUNTY, KY",21
"2494","CHI","Bellwood Police Department",1
"2495","CHI","C - ASHLAND COUNTY GENERAL AREA",1
"2496","CHI","C - ASHLAND COUNTY JAIL",2
"2497","CHI","C - BARRON COUNTY GENERAL AREA",1
"2498","CHI","C - BARRON COUNTY JAIL",21
"2499","CHI","C - BUFFALO COUNTY JAIL",12
"2500","CHI","C - BURNETT COUNTY JAIL",1
"2501","CHI","C - CHIPPEWA COUNTY GENERAL AREA",1
"2502","CHI","C - CHIPPEWA COUNTY JAIL",23
"2503","CHI","C - CLARK COUNTY GENERAL AREA",25
"2504","CHI","C - CLARK COUNTY JAIL",70
"2505","CHI","C - DOUGLAS COUNTY JAIL",3
"2506","CHI","C - DUNN COUNTY GENERAL AREA",4
"2507","CHI","C - DUNN COUNTY JAIL",20
"2508","CHI","C - EAU CLAIRE COUNTY GENERAL AREA",16
"2509","CHI","C - EAU CLAIRE COUNTY JAIL",44
"2510","CHI","C - JACKSON COUNTY GENERAL AREA",7
"2511","CHI","C - JACKSON COUNTY JAIL",9
"2512","CHI","C - LINCOLN COUNTY JAIL",8
"2513","CHI","C - MARATHON COUNTY GENERAL AREA",43
"2514","CHI","C - MARATHON COUNTY JAIL",94
"2515","CHI","C - ONIEDA COUNTY JAIL",8
"2516","CHI","C - PEPIN COUNTY JAIL",1
"2517","CHI","C - PIERCE COUNTY GENERAL AREA",2
"2518","CHI","C - PIERCE COUNTY JAIL",5
"2519","CHI","C - POLK COUNTY GENERAL AREA",1
"2520","CHI","C - POLK COUNTY JAIL",11
"2521","CHI","C - PORTAGE COUNTY GENERAL AREA",4
"2522","CHI","C - PORTAGE COUNTY JAIL",47
"2523","CHI","C - PRICE COUNTY JAIL",2
"2524","CHI","C - RUSK COUNTY JAIL",6
"2525","CHI","C - SAWYER COUNTY JAIL",8
"2526","CHI","C - ST CROIX COUNTY JAIL",7
"2527","CHI","C - TAYLOR COUNTY GENERAL AREA",11
"2528","CHI","C - TAYLOR COUNTY JAIL",36
"2529","CHI","C - TREMPEALEAU COUNTY GENERAL AREA",23
"2530","CHI","C - TREMPEALEAU COUNTY JAIL",152
"2531","CHI","C - VILAS COUNTY JAIL",4
"2532","CHI","C - WI DOC - JACKSON CORRECTIONAL INSTITUTION",8
"2533","CHI","C - WI DOC - STANLEY CORRECTIONAL INSTITUTION",20
"2534","CHI","C - WOOD COUNTY GENERAL AREA",10
"2535","CHI","C - WOOD COUNTY JAIL",40
"2536","CHI","C- WAUKESHA COUNTY JAIL",1
"2537","CHI","CALDWELL COUNTY JAIL, KY",13
"2538","CHI","CALDWELL COUNTY SHERIFFS OFFICE MISSOURI",11
"2539","CHI","CALHOUN COUNTY SHERIFF'S OFFICE, IL",1
"2540","CHI","CALLAWAY COUNTY SHERIFFS OFFICE MISSOURI",10
"2541","CHI","CALLOWAY COUNTY JAIL, KY",36
"2542","CHI","CAMDEN COUNTY SHERIFFS OFFICE, MISSOURI",27
"2543","CHI","CAMPBELL COUNTY DETENTION CTR, KY",50
"2544","CHI","CAP - ALHAMBRA",1
"2545","CHI","CAP - ARIZONA DEPARTMENT OF PUBLIC SAFETY",1
"2546","CHI","CAP - DEPARTMENT OF CORRECTIONS, NEVADA",1
"2547","CHI","CAP - LOWER BUCKEYE JAIL",1
"2548","CHI","CAP - MARICOPA COUNTY SHERIFFS OFFICE",3
"2549","CHI","CAP - MARICOPA COUNTY SHERIFFS OFFICE JAIL",2
"2550","CHI","CAP - OTISVILLE FEDERAL CORRECTIONAL FACILITY NY STATE",1
"2551","CHI","CAP - RIVERSIDE CRIMINAL JUSTICE SERVICES-VA",1
"2552","CHI","CAP STREET ARREST",49
"2553","CHI","CAP-BUREAU COUNTY JAIL, IL",27
"2554","CHI","CAP-CARROLL COUNTY JAIL, IL",5
"2555","CHI","CAP-DIXON CORRECTIONAL CENTER, IL STATE DOC",81
"2556","CHI","CAP-EAST MOLINE CORRECTIONAL CENTER, IL STATE DOC",20
"2557","CHI","CAP-FULTON COUNTY JAIL, IL",3
"2558","CHI","CAP-HENDERSON COUNTY JAIL, IL",1
"2559","CHI","CAP-HENRY COUNTY JAIL, IL",17
"2560","CHI","CAP-HILL CORRECTIONAL FACILITY, IL STATE DOC",37
"2561","CHI","CAP-ILLINOIS RIVER CORRECTIONAL CENTER, IL STATE DOC",98
"2562","CHI","CAP-KNOX COUNTY JAIL, IL",13
"2563","CHI","CAP-LEE COUNTY JAIL, IL",3
"2564","CHI","CAP-MARSHALL COUNTY JAIL, IL",5
"2565","CHI","CAP-MCDONOUGH COUNTY JAIL, IL",2
"2566","CHI","CAP-MERCER COUNTY JAIL, IL",4
"2567","CHI","CAP-OGLE COUNTY JAIL, IL",69
"2568","CHI","CAP-PEORIA COUNTY JAIL, IL",18
"2569","CHI","CAP-PUTNAME COUNTY JAIL, IL",1
"2570","CHI","CAP-ROCK ISLAND COUNTY, IL",37
"2571","CHI","CAP-STEPHENSON COUNTY JAIL, IL",63
"2572","CHI","CAP-STREET ARREST",11
"2573","CHI","CAP-THOMSON CORRECTIONAL CENTER, IL STATE DOC",1
"2574","CHI","CAP-WARREN COUNTY JAIL, IL",18
"2575","CHI","CAP-WESTERN ILLINOIS CORRECTIONAL CENTER, IL STATE DOC",35
"2576","CHI","CAP-WHITESIDE COUNTY JAIL, IL",6
"2577","CHI","CAPE GIRARDEAR POLICE DEPARTMENT, MISSOURI",9
"2578","CHI","CAPE GIRARDEAU COUNTY SHERIFFS DEPARTMENT MISSOURI",27
"2579","CHI","CARROLL COUNTY DETENTION CTR, KY",120
"2580","CHI","CARROLL COUNTY SHERIFF'S OFFICE, IL",2
"2581","CHI","CARROLL COUNTY SHERIFF'S OFFICE, INDIANA",20
"2582","CHI","CARTER COUNTY DETENTION CTR, KY",19
"2583","CHI","CARTER COUNTY SHERIFF'S DEPARTMENT, MISSOURI",1
"2584","CHI","CARTHAGE POLICE DEPARTMENT, MISSOURI",137
"2585","CHI","CASEY COUNTY DETENTION CTR, KY",40
"2586","CHI","CASEYVILLE, ILLINOIS POLICE DEPARTMENT",7
"2587","CHI","CASS COUNTY SHERIFF'S OFFICE, IL",4
"2588","CHI","CASS COUNTY SHERIFF'S OFFICE, INDIANA",117
"2589","CHI","CASS COUNTY SHERIFFS OFFICE MISSOURI",92
"2590","CHI","CAX GENERAL AREA, NON-SPECIFIC",1
"2591","CHI","CDC GENERAL AREA, NON-SPECIFIC",190
"2592","CHI","CENTRALIA CORRECTIONAL CENTER, IL",10
"2593","CHI","CHA GENERAL AREA, NON-SPECIFIC",4
"2594","CHI","CHAIN OLAKES COOR. RACILITY (INDIANA DOC)",1
"2595","CHI","CHAMPAIGN COUNTY SHERIFF'S OFFICE, IL",21
"2596","CHI","CHARITION COUNTY SHERIFF'S DEPARTMENT, MISSOURI",2
"2597","CHI","CHARLACK POLICE DEPARTMENT, MISSOURI",1
"2598","CHI","CHASE COUNTY SHERIFFS OFFICE, COTTONWOOD FALLS, KANSAS",7
"2599","CHI","CHEROKEE COUNTY SHERIFFS OFFICE, KANSAS",12
"2600","CHI","CHESTERFIELD POLICE DEPARTMENT, MISSOURI",26
"2601","CHI","CHEYENNE COUNTY SHERIFFS OFFICE, ST. FRANCIS, KANSAS",1
"2602","CHI","CHI COOK COUNTY JAIL",4
"2603","CHI","CHI DUPAGE COUNTY JAIL",23
"2604","CHI","CHI FUGITIVE OPERATIONS",22
"2605","CHI","CHI GENERAL AREA, NON-SPECIFIC",8604
"2606","CHI","CHI IDOC, JOLIET",34
"2607","CHI","CHI LAKE COUNTY JAIL",8
"2608","CHI","CHI METROPOLITAN CORRECTIONAL CENTER",1
"2609","CHI","CHI WILL COUNTY JAIL",12
"2610","CHI","CHICAGO FIELD OFFICE",950
"2611","CHI","CHICAGO FUGITIVE OPERATIONS",9
"2612","CHI","CHICAGO GENERAL AREA, NON-SPECIFIC",4
"2613","CHI","CHICAGO IDOC, JOLIET",4
"2614","CHI","CHICAGO MCC (BOP)",119
"2615","CHI","CHICAGO O'HARE AIRPORT",59
"2616","CHI","CHICAGO POLICE DEPARTMENT, IL",1
"2617","CHI","CHIFUGITIVE OPERATIONS",2236
"2618","CHI","CHILLICOTHE CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",5
"2619","CHI","CHRISTIAN COUNTY JAIL, IL",2
"2620","CHI","CHRISTIAN COUNTY JAIL, KY",98
"2621","CHI","CHRISTIAN COUNTY SHERIFFS OFFICE, MISSOURI",35
"2622","CHI","CIP GENERAL AREA, NON-SPECIFIC",1
"2623","CHI","CIS REFERRAL CHICAGO FIELD OFFICE",30
"2624","CHI","CIS REFERRAL SANFRANCISCO FIELD OFFICE",1
"2625","CHI","CLARK COUNTY DETENTION CENTER, KY",108
"2626","CHI","CLARK COUNTY SHERIFF'S DEPARTMENT, MISSOURI",1
"2627","CHI","CLARK COUNTY SHERIFF'S OFFICE, IN",1
"2628","CHI","CLARK COUNTY SHERIFF'S OFFICE, INDIANA",1009
"2629","CHI","CLARK COUNTY SHERIFFS OFFICE, ASHLAND, KANSAS",2
"2630","CHI","CLAY COUNTY DETENTION CTR, KY",6
"2631","CHI","CLAY COUNTY SHERIFF'S OFFICE, IL",1
"2632","CHI","CLAY COUNTY SHERIFF'S OFFICE, INDIANA",17
"2633","CHI","CLAY COUNTY SHERIFFS OFFICE MISSOURI",143
"2634","CHI","CLAY COUNTY SHERIFFS OFFICE, CLAY CENTER, KANSAS",4
"2635","CHI","CLAYTON POLICE DEPARTMENT, MISSOURI",1
"2636","CHI","CLINTON COUNTY JAIL, KY",1
"2637","CHI","CLINTON COUNTY SHERIFF'S OFFICE, INDIANA",294
"2638","CHI","CLINTON COUNTY SHERIFFS DEPARTMENT, ILLINOIS",34
"2639","CHI","CLINTON COUNTY SHERIFFS OFFICE MISSOURI",10
"2640","CHI","CLINTON COUNTY, KY",3
"2641","CHI","CLOUD COUNTY SHERIFFS OFFICE, CONCORDIA, KANSAS",5
"2642","CHI","CMF VACAVILLE",1
"2643","CHI","COFFEY COUNTY SHERIFFS OFFICE KANSAS",7
"2644","CHI","COLE COUNTY SHERIFFS OFFICE MISSOURI",38
"2645","CHI","COLES COUNTY SHERIFF'S OFFICE, IL",7
"2646","CHI","COLLINSVILLE, ILLINOIS POLICE DEPARTMENT",33
"2647","CHI","COLUMBIA MISSOURI AREA NON-CUSTODIAL ARREST",1
"2648","CHI","COOK COUNTY JAIL",107
"2649","CHI","COOK COUNTY SHERIFF'S OFFICE, IL",5
"2650","CHI","COOPER COUNTY SHERIFFS OFFICE MISSOURI",10
"2651","CHI","CORPUS CHRISTI BP STATION",1
"2652","CHI","CORRECTIONS CORPORATION OF AMERICA LEAVENWORTH KANSAS",139
"2653","CHI","COWLEY COUNTY SHERIFFS OFFICE, WINFIELD, KANSAS",63
"2654","CHI","COYOTE RIDGE CORRECTIONS",1
"2655","CHI","CRAWFORD COUNTY SHERIFF'S DEPARTMENT",8
"2656","CHI","CRAWFORD COUNTY SHERIFF'S OFFICE, IL",1
"2657","CHI","CRAWFORD COUNTY SHERIFF'S OFFICE, INDIANA",2
"2658","CHI","CRAWFORD COUNTY SHERIFFS OFFICE, KANSAS",34
"2659","CHI","CREVE CEOUR POLICE DEPARTMENT",7
"2660","CHI","CRI GENERAL AREA, NON-SPECIFIC",4
"2661","CHI","CRITTENDEN COUNTY JAIL, KY",1
"2662","CHI","CROSSROADS CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",2
"2663","CHI","Crittenden County Jail",9
"2664","CHI","D - BROWN COUNTY GENERAL AREA",156
"2665","CHI","D - BROWN COUNTY JAIL",348
"2666","CHI","D - DOOR COUNTY GENERAL AREA",16
"2667","CHI","D - DOOR COUNTY JAIL",8
"2668","CHI","D - FLORENCE COUNTY JAIL",1
"2669","CHI","D - KEWAUNEE COUNTY GENERAL AREA",15
"2670","CHI","D - KEWAUNEE COUNTY JAIL",24
"2671","CHI","D - LANGLADE COUNTY GENERAL AREA",3
"2672","CHI","D - LANGLADE COUNTY JAIL",7
"2673","CHI","D - MARINETTE COUNTY JAIL",6
"2674","CHI","D - OCONTO COUNTY GENERAL AREA",3
"2675","CHI","D - OCONTO COUNTY JAIL",2
"2676","CHI","D - OUTAGAMIE COUNTY GENERAL AREA",50
"2677","CHI","D - OUTAGAMIE COUNTY JAIL",153
"2678","CHI","D - SHAWANO COUNTY GENERAL AREA",5
"2679","CHI","D - SHAWANO COUNTY JAIL",14
"2680","CHI","D - WAUPACA COUNTY GENERAL AREA",3
"2681","CHI","D - WAUPACA COUNTY JAIL",21
"2682","CHI","D - WI DOC - GREEN BAY CORRECTIONAL INSTITUTION",6
"2683","CHI","D - WI DOC-GREEN BAY CORRECTIONAL INSTITUTION",1
"2684","CHI","DADE COUNTY SHERIFFS OFFICE, MISSOURI",1
"2685","CHI","DALLAS COUNTY GENERAL AREA",3
"2686","CHI","DALLAS COUNTY SHERIFFS OFFICE, MISSOURI",2
"2687","CHI","DANVILLE CORRECTIONAL CENTER, IL",4
"2688","CHI","DANVILLE CORRECTIONAL CENTER, IL (ILLINOIS DOC)",29
"2689","CHI","DAVIESS COUNTY DETENTION CTR, KY",208
"2690","CHI","DAVIESS COUNTY SHERIFF'S OFFICE, WASHINGTON, INDIANA",130
"2691","CHI","DAVIESS COUNTY SHERIFFS OFFICE MISSOURI",26
"2692","CHI","DEARBORN COUNTY SHERIFF'S OFFICE, INDIANA",57
"2693","CHI","DECATUR CORRECTIONAL CENTER, (ILLINOIS DOC)",11
"2694","CHI","DECATUR COUNTY SHERIFF'S OFFICE, INDIANA",37
"2695","CHI","DEKALB COUNTY SHERIFF'S OFFICE, IL",47
"2696","CHI","DEKALB COUNTY SHERIFF'S OFFICE, INDIANA",14
"2697","CHI","DEKALB COUNTY SHERIFFS OFFICE MISSOURI",2
"2698","CHI","DEKALB COUNTY, GA",1
"2699","CHI","DELEWARE COUNTY SHERIFF'S OFFICE, INDIANA",49
"2700","CHI","DES PERES POLICE DEPARTMENT, MISSOURI",6
"2701","CHI","DETROIT, MI",1
"2702","CHI","DEWITT COUNTY SHERIFF'S OFFICE, IL",2
"2703","CHI","DEXTER POLICE DEPARTMENT, MISSOURI",3
"2704","CHI","DICKENSON COUNTY SHERIFFS OFFICE, ABILENE, KANSAS",15
"2705","CHI","DIXON CORRECTIONAL CENTER, IL",9
"2706","CHI","DIXON CORRECTIONAL CENTER, IL (ILLINOIS DOC)",136
"2707","CHI","DO NOT USE",1
"2708","CHI","DOC CAP: CIMARRON CORRECTIONAL FACILITY",1
"2709","CHI","DOC CAP: DR EDDIE WARRIOR CORRECTIONAL CENTER",1
"2710","CHI","DONIPHAN COUNTY SHERIFFS OFFICE KANSAS",1
