"","apprehension_landmark","total"
"2699","CRIMINAL CASE MONITORING",2
"2700","CRIMINAL HISTORY",8
"2701","CRIMINAL JUSTICE CENTER PECOS",40
"2702","CRIMINAL JUSTICE COMPLEX, CHA, VI",11
"2703","CRISP COUNTY JAIL, GA",170
"2704","CRITTENDEN COUNTY JAIL, KY",1
"2705","CRITTENTON CENTER-JUVENILE FACILITY, FULLERTON, CA",1
"2706","CROCKETT COUNTY JAIL - OZONA, TX",4
"2707","CROCKETT, TEXAS",9
"2708","CROMWELL, CT",2
"2709","CROMWELL, CT POLICE DEPARTMENT",1
"2710","CROOK COUNTY JAIL",12
"2711","CROOK COUNTY JAIL, SUNDANCE, WYOMING",8
"2712","CROSBY COUNTY JAIL",9
"2713","CROSS COUNTY JAIL",3
"2714","CROSSOVER ROAD BETWEEN GU VO & PISINEMO",1
"2715","CROSSROADS CORRECTIONAL FACILITY MISSOURI DEPARTMENT OF CORRECTIONS",2
"2716","CROW WING COUNTY JAIL, MN",4
"2717","CROW WING COUNTY, MN",6
"2718","CROWLEY COUNTY JAIL",2
"2719","CROWLEY POLICE DEPARTMENT",6
"2720","CROWN MOUNTAIN",68
"2721","CRP GENERAL AREA, NON-SPECIFIC",1302
"2722","CRYSTAL CITY DETENTION CENTER",4
"2723","CSB GENERAL AREA, NON-SPECIFIC",1
"2724","CSP FOLSOM",607
"2725","CSP HIGH DESERT",41
"2726","CSP MULE CREEK",181
"2727","CSP SACRAMENTO",190
"2728","CSP SOLANO",313
"2729","CT STATE POLICE TROOP A, SOUTHBURY, CT",1
"2730","CT STATE POLICE TROOP C, TOLLAND, CT",1
"2731","CT STATE POLICE TROOP D, DANIELSON, CT",2
"2732","CT STATE POLICE TROOP E, MONTVILLE, CT",1
"2733","CT STATE POLICE TROOP F, WESTBROOK, CT",1
"2734","CT STATE POLICE TROOP G, BRIDGEPORT, CT",1
"2735","CT STATE POLICE TROOP H, HARTFORD, CT",8
"2736","CT STATE POLICE TROOP L, LITCHFIELD, CT",1
"2737","CUBULSKI CORRECTIONAL INSTITUTION, ENFIELD, CT",3
"2738","CULBERSON COUNTY JAIL",4
"2739","CULPEPER COUNTY JAIL - VA",246
"2740","CULPEPER JUVENILE DETENTION CENTER - VA",1
"2741","CULPEPPER COUNTY JAIL-VA",6
"2742","CULVER CITY POLICE DEPT, CULVER CITY, CA",19
"2743","CUMBERLAND CO PROBATION DICK ST FAYETTEVILLE",1
"2744","CUMBERLAND COUNTY FUGITIVE OPERATIONS",46
"2745","CUMBERLAND COUNTY JAIL",118
"2746","CUMBERLAND COUNTY JAIL, PORTLAND",95
"2747","CUMBERLAND COUNTY JAIL, TN",7
"2748","CUMBERLAND COUNTY JUVINILE FACILITY",1
"2749","CUMBERLAND COUNTY PROBATION",4
"2750","CUMBERLAND COUNTY PROSECUTOR (MEGHAN'S LAW)",1
"2751","CUMBERLAND COUNTY SHERIFF",8
"2752","CUMBERLAND COUNTY, NEW JERSEY",623
"2753","CUMMING PROBATION OFFICE",33
"2754","CUMMING, GA",233
"2755","CURRITUCK COUNTY JAIL",9
"2756","CURRY COUNTY DETENTION CENTER, CLOVIS, NM",101
"2757","CURRY COUNTY JAIL",3
"2758","CUSTER COUNTY JAIL",55
"2759","CUSTER COUNTY JAIL ID",7
"2760","CUSTER COUNTY JAIL MT",2
"2761","CUSTER COUNTY JAIL, NE",4
"2762","CUSTER COUNTY, CO",5
"2763","CUYAHOGA COUNTY JAIL",1629
"2764","CYPRESS, CA",6
"2765","Cabarrus County Jail 287G",4
"2766","Caddo Parish Corrections",7
"2767","California Healthcare Facility",49
"2768","Callahan County, TX Jail",4
"2769","Camillus Town and Village Police Department",1
"2770","Campo, CA",1
"2771","Carlsbad, CA",7
"2772","Caroline County General Area",10
"2773","Carteret County Jail",32
"2774","Carteret County Probation Courthouse Square Beaufort, NC",1
"2775","Carteret County, NC",2
"2776","Carteret DOC",1
"2777","Cayuga County Jail",1
"2778","Cayuga County Sheriff",2
"2779","Charleston County Detention Center",455
"2780","Chatham County, NC",4
"2781","Chenango County Jail",2
"2782","Chula Vista Superior Court, Chula Vista, CA",1
"2783","Chula Vista, CA",44
"2784","Coastal Bend Detention Center",1248
"2785","Coleman County, TX At Large",1
"2786","Coleman County, TX Jail",3
"2787","Collier County 287g Program",1376
"2788","Collier County Jail",27
"2789","Columbus County Jail",16
"2790","Columbus County Probation 110 W. Smith St. Whiteville, NC",2
"2791","Columbus County, NC",5
"2792","Columbus DOC",29
"2793","Commerce Township, MI",7
"2794","Cortland County Jail",1
"2795","Cortland County Sheriff",3
"2796","Cortland Police Department",9
"2797","Craig Sub-office",4
"2798","Crittenden County Jail",9
"2799","Crockett County, TX Jail",6
"2800","D - BROWN COUNTY GENERAL AREA",156
"2801","D - BROWN COUNTY JAIL",348
"2802","D - DOOR COUNTY GENERAL AREA",16
"2803","D - DOOR COUNTY JAIL",8
"2804","D - FLORENCE COUNTY JAIL",1
"2805","D - KEWAUNEE COUNTY GENERAL AREA",15
"2806","D - KEWAUNEE COUNTY JAIL",24
"2807","D - LANGLADE COUNTY GENERAL AREA",3
"2808","D - LANGLADE COUNTY JAIL",7
"2809","D - MARINETTE COUNTY JAIL",6
"2810","D - OCONTO COUNTY GENERAL AREA",3
"2811","D - OCONTO COUNTY JAIL",2
"2812","D - OUTAGAMIE COUNTY GENERAL AREA",50
"2813","D - OUTAGAMIE COUNTY JAIL",153
"2814","D - SHAWANO COUNTY GENERAL AREA",5
"2815","D - SHAWANO COUNTY JAIL",14
"2816","D - WAUPACA COUNTY GENERAL AREA",3
"2817","D - WAUPACA COUNTY JAIL",21
"2818","D - WI DOC - GREEN BAY CORRECTIONAL INSTITUTION",6
"2819","D - WI DOC-GREEN BAY CORRECTIONAL INSTITUTION",1
"2820","D RAY JAMES BOP",7
"2821","D-RAY JAMES FCI, GA",3
"2822","D. RAY JAMES",7037
"2823","D.E.A. DALLAS OFFICE",2
"2824","DAA GENERAL AREA, NON-SPECIFIC",1
"2825","DACULA, GA",7
"2826","DADE COUNTY SHERIFFS OFFICE, MISSOURI",1
"2827","DADE COUNTY, GA",14
"2828","DAGGETT COUNTY JAIL - UT",2
"2829","DAHLONEGA, GA",4
"2830","DAK GENERAL AREA, NON-SPECIFIC",32
"2831","DAKOTA COUNTY JAIL, MN",686
"2832","DAKOTA COUNTY JAIL, NE",1
"2833","DAKOTA WOMENS CORRECTIONN AND REHAB CENTER,ND",2
"2834","DAL COUNTY JAIL",13749
"2835","DAL GENERAL AREA, NON-SPECIFIC",76
"2836","DALLAM COUNTY",235
"2837","DALLAM COUNTY JAIL",2
"2838","DALLAS COUNTY DISTRICT ATTORNEY'S OFFICE",12
"2839","DALLAS COUNTY GENERAL AREA",27015
"2840","DALLAS COUNTY IOWA",60
"2841","DALLAS COUNTY JAIL",367
"2842","DALLAS COUNTY JAIL, AL",1
"2843","DALLAS COUNTY SHERIFFS OFFICE",5
"2844","DALLAS COUNTY SHERIFFS OFFICE, MISSOURI",2
"2845","DALLAS DISTRICT OFFICE",1054
"2846","DALLAS POLICE DEPARTMENT",511
"2847","DALLAS, GA",24
"2848","DALLAS/FT WORTH AIRPORT DPS",1
"2849","DALTON MUNICIPAL PROBATION",1
"2850","DALTON PROBATION OFFICE",6
"2851","DALTON, GA (WHITFIELD COUNTY)",145
"2852","DALWORTHINGTON GARDENS POLICE DEPARTMENT",31
"2853","DALY CITY POLICE DEPARTMENT",1
"2854","DAMASCUS, GA (GORDON COUNTY)",1
"2855","DANBURY JUDICIAL MARSHAL'S LOCKUP",8
"2856","DANBURY, CT",134
"2857","DANBURY, CT POLICE DEPARTMENT",39
"2858","DANIELSVILLE PROBATION OFFICE",2
"2859","DANIELSVILLE, GA",7
"2860","DANVILLE CITY JAIL FARM-VA",1
"2861","DANVILLE CITY JAIL-VA",50
"2862","DANVILLE CORRECTIONAL CENTER, IL",4
"2863","DANVILLE CORRECTIONAL CENTER, IL (ILLINOIS DOC)",29
"2864","DANVILLE POLICE DEPARTMENT - DANVILLE, PA",1
"2865","DAPHNE PD, AL",13
"2866","DARE COUNTY FUGITIVE OPERATIONS",3
"2867","DARE COUNTY JAIL",89
"2868","DARIEN, CT",1
"2869","DARIEN, CT POLICE DEPARTMENT",2
"2870","DARKE COUNTY JAIL",25
"2871","DARLINGTON COUNTY DETENTION CENTER",4
"2872","DARLINGTON COUNTY PROBATION & PAROLE OFFICE",1
"2873","DARLINGTON COUNTY, SC",103
"2874","DARLINGTON, SC",33
"2875","DARRELL B HESTER JUVENILE DETENTION CENTER",6
"2876","DAVID WADE CORRECTIONAL CENTER",1
"2877","DAVIDSON COUNTY JAIL",89
"2878","DAVIDSON COUNTY JAIL, NC",7
"2879","DAVIDSON COUNTY JAIL, TN",1843
"2880","DAVIDSON COUNTY, NC",38
"2881","DAVIE COUNTY JAIL",29
"2882","DAVIE COUNTY JAIL, NC",3
"2883","DAVIE COUNTY, NC",13
"2884","DAVIESS COUNTY DETENTION CTR, KY",208
"2885","DAVIESS COUNTY SHERIFF'S OFFICE, WASHINGTON, INDIANA",130
"2886","DAVIESS COUNTY SHERIFFS OFFICE MISSOURI",27
"2887","DAVIS COUNTY JAIL - UT",593
"2888","DAVISON CO JAIL, MITCHELL, SD",89
"2889","DAWES COUNTY JAIL, NE",5
"2890","DAWSON COUNTY",1
"2891","DAWSON COUNTY JAIL",23
"2892","DAWSON COUNTY JAIL MT",10
"2893","DAWSON COUNTY JAIL, NE",206
"2894","DAWSON COUNTY, GA",56
"2895","DAWSON PROBATION OFFICE",1
"2896","DAWSON, GA",1
"2897","DAWSONVILLE, GA",25
"2898","DAY CO JAIL, WEBSTER, SD",8
"2899","DAYTON, TEXAS",23
"2900","DAYTONA BEACH CENTRAL, FL PROBATION & PAROLE, FL DOC ,077",4
"2901","DAYTONA BEACH MAIN, FL PROBATION & PAROLE, FL DOC #070",9
"2902","DAYTONA BEACH MAIN, FL PROBATION & PAROLE, FL DOC #070,077",5
"2903","DAYTONA BEACH, FL PROBATION & PAROLE, FL DOC #070,077",7
"2904","DC JAIL - CENTRAL DETENTION - CENTRAL TREATMENT - DISTRICT OF COLUMBIA - DC",468
"2905","DCSGEN-DEWITT COUNTY SHERIFF'S OFFICE",1
"2906","DCT GENERAL AREA, NON-SPECIFIC",1
"2907","DE BACA COUNTY CORRECTIONAL FACILITY, FORT SUMNER, NM",1
"2908","DEA STRIKEFORCE",23
"2909","DEADWOOD, SOUTH DAKOTA",2
"2910","DEAF SMITH COUNTY",439
"2911","DEAF SMITH COUNTY JAIL",13
"2912","DEAL PD",1
"2913","DEARBORN COUNTY SHERIFF'S OFFICE, INDIANA",57
"2914","DEARBORN HEIGHTS POLICE DEPARTMENT",5
"2915","DEARBORN HEIGHTS, MICHIGAN",39
"2916","DEARBORN POLICE DEPARTMENT",24
"2917","DEARBORN, MI",102
"2918","DECATUR CORRECTIONAL CENTER, (ILLINOIS DOC)",11
"2919","DECATUR COUNTY JAIL, GA",23
"2920","DECATUR COUNTY SHERIFF'S OFFICE, INDIANA",38
"2921","DECATUR COUNTY, GA",14
"2922","DECATUR POLICE DEPARTMENT",9
"2923","DECATUR, GA",253
"2924","DECATUR, MICHIGAN",7
"2925","DEDHAM DISTRICT COURT",20
"2926","DEDHAM POLICE DEPT",1
"2927","DEEP MEADOW CORRECTIONAL CENTER-VA",21
"2928","DEER PARK POLICE DEPT, HARRIS CO, TX",10
"2929","DEER PARK POLICE DEPT, HARRIS COUNTY, TX",61
"2930","DEER PARK, TEXAS",4
"2931","DEER RIDGE CORRECTIONAL (DRCI)",1
"2932","DEERFIELD CORRECTIONAL CENTER - VA",1
"2933","DEERFIELD CORRECTIONAL CENTER-VA",10
"2934","DEERLODGE AREA",1
"2935","DEFERRED INSPECTIONS OFFICE",3
"2936","DEFIANCE COUNTY JAIL",5
"2937","DEKALB CENTRAL PROBATION OFFICE",20
"2938","DEKALB COUNTY JAIL, TN",25
"2939","DEKALB COUNTY SHERIFF'S OFFICE, IL",47
"2940","DEKALB COUNTY SHERIFF'S OFFICE, INDIANA",14
"2941","DEKALB COUNTY SHERIFFS OFFICE MISSOURI",2
"2942","DEKALB COUNTY STATE COURT PROBATION",2
"2943","DEKALB COUNTY, GA",1575
"2944","DEKALB PROBATION OFFICE",18
"2945","DEL NORTE COUNTY JAIL - CA",4
"2946","DEL NORTE COUNTY SHERIFFS",3
"2947","DEL NORTE, CO POLICE DEPARTMENT",2
"2948","DEL RIO POLICE DEPARTMENT",3
"2949","DEL RIO U.S. MARSHALS",3
"2950","DEL RIO U.S. PROBATIONS",3
"2951","DELANCO TOWNSHIP POLICE DEPARTMENT",1
"2952","DELAND, FL PROBATION & PAROLE, FL DOC #071",35
"2953","DELANO CCF",181
"2954","DELANO POLICE DEPARTMENT",123
"2955","DELAWARE COUNTY",21
"2956","DELAWARE COUNTY JAIL",123
"2957","DELAWARE COUNTY JAIL, IA",22
"2958","DELAWARE COUNTY PRISON",366
"2959","DELAWARE PROBATION - GEORGETOWN",1
"2960","DELAWARE PROBATION - NEW CASTLE COUNTY",1
"2961","DELAWARE PROBATION - WILMINGTON",12
"2962","DELAWARE STATE POLICE - TROOP 1",4
"2963","DELAWARE STATE POLICE - TROOP 2",3
"2964","DELAWARE STATE POLICE - TROOP 4",2
"2965","DELAWARE STATE POLICE - TROOP 5",2
"2966","DELAWARE STATE POLICE - TROOP 6",2
"2967","DELAWARE STATE POLICE - TROOP 7",1
"2968","DELAWARE TWP PD",1
"2969","DELEWARE COUNTY SHERIFF'S OFFICE, INDIANA",49
"2970","DELORES J. BAYLOR CORRECTIONAL INSTITUTION",24
"2971","DELORES J. BAYLOR WOMENS CORRECTIONAL INSTITUTION",3
"2972","DELRAN TOWNSHIP POLICE DEPARTMENT",19
"2973","DELTA COUNTY COURTHOUSE",1
"2974","DELTA COUNTY CRIM AT LARGE",1
"2975","DELTA COUNTY JAIL",31
"2976","DELTA COUNTY JAIL, ESCANABA, MI",2
"2977","DELTA COUNTY PROBATION OFFICE",1
"2978","DELTA COUNTY SHERIFFS OFFICE",18
"2979","DELTA, COLORADO",21
"2980","DEMAREST PD",3
"2981","DEMING, NEW MEXICO",6
"2982","DENNY JUVENILE CENTER",3
"2983","DENTON CITY JAIL",35
"2984","DENTON COUNTY GENERAL AREA",94
"2985","DENTON COUNTY JAIL",2051
"2986","DENTON COUNTY SHERIFFS OFFICE",13
"2987","DENTON POLICE DEPARTMENT",2
"2988","DENVER COUNTY",4813
"2989","DENVER COUNTY JAIL",245
"2990","DENVER COUNTY PROBATION OFFICE",182
"2991","DENVER JUSTICE CENTER",1674
"2992","DENVER, CO",84
"2993","DENVILLE PD",12
"2994","DEPARTMENT OF CORRECTIONS, FEDERAL DETENTION FACILITY",1
"2995","DEPARTMENT OF DEFENSE FORT DIX POLICE",19
"2996","DEPARTMENT OF DEFENSE POLICE, FORT DIX",1
"2997","DEPARTMENT OF DEFENSE POLICE, PICATINNY",4
"2998","DEPT OF CORRECTIONS, HONOR/BOOT CAMP, NEWCASTLE, WYOMING",9
"2999","DEPT OF CORRECTIONS, RAWLINS, WYOMING",21
"3000","DEPT OF CORRECTIONS, TORRINGTON, WYOMING",5
"3001","DEPT OF CORRECTIONS, WOMENS PRISON, LUSIK, WYOMING",1
"3002","DEPT OF CORRECTIONS, WOMENS PRISON, LUSK, WYOMING",1
"3003","DEPT OF CORRETIONS, TORRINGTON, WYOMING",4
"3004","DEPTFORD TOWNSHIP POLICE DEPARTMENT",4
"3005","DER GENERAL AREA, NON-SPECIFIC",1
"3006","DERBY, CT",18
"3007","DES MOINES CITY PD",1
"3008","DES PERES POLICE DEPARTMENT, MISSOURI",6
"3009","DESCHUTES COUNTY JAIL",188
"3010","DESCHUTES COUNTY JAIL, BEND, OREGON",1
"3011","DESERT VIEW CCF (STATE) ADELANTO, CA",222
"3012","DESMOINES COUNTY JAIL, IA",8
"3013","DESOTO COUNTY, MS",1
"3014","DESOTO PARISH JAIL",9
"3015","DESOTO PARISH JAIL, MANSFIELD, LA",2
"3016","DESOTO POLICE DEPARTMENT",35
"3017","DET GENERAL AREA, NON-SPECIFIC",109
"3018","DETENTION AND REMOVAL OPERATIONS, HARLINGEN FIELD OFFICE",841
"3019","DETENTION AND REMOVALS OPERATIONS, HARLINGEN FIELD OFFICE",19
"3020","DETROIT METRO PAROLE OFFICE, LAWTON, DETROIT",2
"3021","DETROIT POLICE DEPARTMENT",26
"3022","DETROIT POLICE DEPARTMENT SW DISTRICT, DETROIT, MI",4
"3023","DETROIT, MI",3758
"3024","DEUEL COUNTY JAIL, NE",1
"3025","DEUEL VOCATIONAL INSTITUTION",283
"3026","DEWEY COUNTY JAIL",14
"3027","DEWEY COUNTY JAIL, TIMBER LAKE, SD",3
"3028","DEWITT CO JAIL, CUERO, TX",20
"3029","DEWITT CO PROBATION, CUERO, TX",1
"3030","DEWITT COUNTY JAIL, CUERO, TX",112
"3031","DEWITT COUNTY PROBATION, CUERO, TX",2
"3032","DEWITT COUNTY SHERIFF'S OFFICE, IL",2
"3033","DEWITT TOWN POLICE DEPARTMENT",2
"3034","DEXTER POLICE DEPARTMENT, MISSOURI",3
"3035","DGL GENERAL AREA, NON-SPECIFIC",1
"3036","DHD GENERAL AREA, NON-SPECIFIC",1153
"3037","DIAGNOSTIC & EVALUATION CENTER, NE",414
"3038","DICKENS COUNTY JAIL",1
"3039","DICKENSON COUNTY SHERIFFS OFFICE, ABILENE, KANSAS",15
"3040","DICKINSON COUNTY JAIL, IRON MOUNTAIN, MI",4
"3041","DICKINSON POLICE DEPT, GALVESTON COUNTY, TX",7
"3042","DICKINSON, TEXAS",14
"3043","DICKSON COUNTY JAIL, TN",90
"3044","DILLON COUNTY DEPT. OF JUVENILE JUSTICE",1
"3045","DILLON COUNTY JAIL",55
"3046","DILLON COUNTY, SC",15
"3047","DILWYN CORRECTIONAL CENTER - VA",1
"3048","DILWYNN CORRECTIONAL CENTER-VA",42
"3049","DIMMIT COUNTY JAIL",2
"3050","DIMMIT COUNTY JAIL - TX0640000",11
"3051","DINOSAUR, COLORADO",2
"3052","DINUBA POLICE DEPARTMENT",2
"3053","DISCONTINUED",51
"3054","DISTRICT 6 CANAL",2
"3055","DIXIE COUNTY PROBATION AND PAROLE",1
"3056","DIXON CORRECTIONAL CENTER",11
"3057","DIXON CORRECTIONAL CENTER, IL",10
"3058","DIXON CORRECTIONAL CENTER, IL (ILLINOIS DOC)",138
"3059","DLR GENERAL AREA, NON-SPECIFIC",2578
"3060","DLV GENERAL AREA, NON-SPECIFIC",1
"3061","DNA GENERAL AREA, NON-SPECIFIC",2
"3062","DNM GENERAL AREA, NON-SPECIFIC",1
"3063","DO NOT USE",5969
"3064","DO NOT USE!!!!!",1
"3065","DOBSON, NC",10
"3066","DOC 287G OFFICER, MCI CONCORD",3
"3067","DOC 287G OFFICER, MCI FRAMINGHAM",2
"3068","DOC CAP: BILL JOHNSON CORRECTIONAL CENTER",36
"3069","DOC CAP: CIMARRON CORRECTIONAL FACILITY",44
"3070","DOC CAP: DAVIS CORRECTIONAL FACILITY",56
"3071","DOC CAP: DR EDDIE WARRIOR CORRECTIONAL CENTER",23
"3072","DOC CAP: HOWARD MCLEOD CORRECTIONAL CENTER",65
"3073","DOC CAP: JACKIE BRANNON CORRECTIONAL CENTER",97
"3074","DOC CAP: JAMES CRABTREE CORRECTIONAL CENTER",56
"3075","DOC CAP: JESS DUNN CORRECTIONAL CENTER",67
"3076","DOC CAP: JIM E HAMILTON CORRECTIONAL CENTER",42
"3077","DOC CAP: JOHN LILLEY CORRECTIONAL CENTER",31
"3078","DOC CAP: JOSEPH HARP CORRECTIONAL CENTER",33
"3079","DOC CAP: KATE BARNARD COMMTY CORRECTIONS CENTER",2
"3080","DOC CAP: LAWTON COMMUNITY CORRECTIONS CENTER",3
"3081","DOC CAP: LAWTON CORRECTIONAL FACILITY",175
"3082","DOC CAP: LEXINGTON AREA RECEPTION CENTER",91
"3083","DOC CAP: LEXINGTON CORRECTIONAL CENTER",68
"3084","DOC CAP: MABEL BASSETT CORRECTIONAL CENTER",29
"3085","DOC CAP: MACK ALFORD CORRECTIONAL CENTER",36
"3086","DOC CAP: MUSKOGEE COMMUNITY CORRECTIONS CENTER",2
"3087","DOC CAP: NORTHEAST OKLAHOMA CORRECTIONAL CENTER",43
"3088","DOC CAP: OKLAHOMA CITY CMMTY CORRECTIONS CENTER",8
"3089","DOC CAP: OKLAHOMA STATE PENITENTIARY",22
"3090","DOC CAP: OKLAHOMA STATE REFORMATORY",62
"3091","DOC CAP: RB DICK CONNER CORRECTIONAL CENTER",25
"3092","DOC CAP: WILLIAM S KEY CORRECTIONAL CENTER",119
"3093","DODGE COUNTY CORRECTIONS DEPARTMENT, NE",76
"3094","DODGE COUNTY GA",2
"3095","DODGE COUNTY, GA",28
"3096","DOLORES COUNTY",1
"3097","DOLORES COUNTY COURTHOUSE",1
"3098","DOLORES COUNTY JAIL",2
"3099","DOLORES COUNTY PROBATION OFFICE",2
"3100","DOMINGUEZ STATE JAIL",28
"3101","DONA ANA COUNTY DETENTION CENTER",683
"3102","DONA ANA COUNTY JUVENILE DETENTION CENTER",6
"3103","DONIPHAN COUNTY SHERIFFS OFFICE KANSAS",1
"3104","DONLEY COUNTY",16
"3105","DONNA CITY JAIL, TX",1
"3106","DONNA CITY JAIL, TX - TX1080200",217
"3107","DONOVAN STATE PRISON",354
"3108","DOOLY COUNTY JAIL, GA",99
"3109","DORAVILLE, GA",193
"3110","DORCHESTER",2
"3111","DORCHESTER COUNTY DETENTION CENTER",257
"3112","DORCHESTER COUNTY GENERAL AREA",13
"3113","DORCHESTER COUNTY, SC",68
"3114","DORCHESTER DISTRICT COURT",43
"3115","DOU GENERAL AREA, NON-SPECIFIC",8
"3116","DOUBLE ADOBE",1
"3117","DOUBLE OAK POLICE DEPARTMENT",1
"3118","DOUGHERTY COUNTY JAIL, GA",162
"3119","DOUGLAS BORDER PATROL AZ STATE",7
"3120","DOUGLAS COUNTY",89
"3121","DOUGLAS COUNTY JAIL",432
"3122","DOUGLAS COUNTY JAIL, MN",15
"3123","DOUGLAS COUNTY JAIL, NE",1677
"3124","DOUGLAS COUNTY KS",22
"3125","DOUGLAS COUNTY PROBATION OFFICE",10
"3126","DOUGLAS COUNTY SHERIFF'S OFFICE, IL",6
"3127","DOUGLAS COUNTY SHERIFFS OFFICE KANSAS",67
"3128","DOUGLAS COUNTY, GA",177
"3129","DOUGLAS PROBATION OFFICE",2
"3130","DOUGLAS, GA",27
"3131","DOUGLASVILLE PROBATION OFFICE",8
"3132","DOUGLASVILLE, GA (DOUGLAS COUNTY)",137
"3133","DOUGLASVILLE, GA (EARLY COUNTY)",1
"3134","DOVER PD",194
"3135","DOVER POLICE DEPARTMENT - DOVER, DE",1
"3136","DOVER PROBATION",4
"3137","DOVER TOWNSHIP POLICE DEPARTMENT",17
"3138","DOWNEY POLICE DEPT, DOWNEY, CA",1
"3139","DOWNTOWN AREA",1
"3140","DOWNTOWN EAST",1
"3141","DPS GIITEM",11
"3142","DREW COUNTY JAIL",8
"3143","DRUG ENFORCEMENT ADMINISTRATION BUFFALO",1
"3144","DRUG ENFORCEMENT AGENCY",1
"3145","DSM GENERAL AREA, NON-SPECIFIC",1
"3146","DSM GENERAL AREA, NON-SPECIFIC IOWA",809
"3147","DTN GENERAL AREA, NON-SPECIFIC",816
"3148","DTS GENERAL AREA, NON-SPECIFIC",1
"3149","DUAL VOCATIONAL INSTITUTE",62
"3150","DUBLIN FCI/FDC/FPC - CA",1121
"3151","DUBLIN POLICE DEPARTMENT",1
"3152","DUBLIN, GA",1
"3153","DUBOIS COUNTY SHERIFF'S OFFICE, INDIANA",93
"3154","DUBUQUE COUNTY JAIL, IA",93
"3155","DUBUQUE RESIDENTIAL FACILITY, IA",3
"3156","DUCHESNE COUNTY JAIL - UT",28
"3157","DUDLEY DISTRICT COURT",14
"3158","DUKE'S COUNTY HOC",19
"3159","DUKE'S COUNTY LOCAL POLICE DEPT",4
"3160","DULUTH, GA",71
"3161","DUMONT PD",3
"3162","DUNCANVILLE POLICE DEPARTMENT",23
"3163","DUNDY COUNTY JAIL, NE",2
"3164","DUNELLEN PD",36
"3165","DUNKIRK, FREDONIA FUGOPS",30
"3166","DUNKLIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",35
"3167","DUNWOODY, GA",18
"3168","DUPAGE COUNTY JAIL",861
"3169","DUPAGE COUNTY SHERIFF'S OFFICE, IL",130
"3170","DUPLIN COUNTY FUGITIVE OPERATIONS",132
"3171","DUPLIN COUNTY JAIL",194
"3172","DUPLIN COUNTY PROBATION KENANSVILLE NC",1
"3173","DUPLIN COUNTY SHERIFF",1
"3174","DURHAM CO PROBATION 119 ORANGE ST DURHAM",4
"3175","DURHAM CO PROBATION DURHAM CHAPEL HILL BLVD DURHAM",1
"3176","DURHAM COUNTY FUGITIVE OPERATIONS",424
"3177","DURHAM COUNTY JAIL",532
"3178","DURHAM POLICE DEPARTMENT",1
"3179","DUTY CALLS: PRINCIPAL IN A PROSECUTION (OI)",3
"3180","DUTY WINDOW 126 NORTHPOINT",4488
"3181","DUVAL COUNTY JAIL",21
"3182","DUVAL COUNTY PROBATION & PAROLE",25
"3183","DVA GENERAL AREA, NON-SPECIFIC",309
"3184","DVD AOR FUGITIVE OPERATIONS",575
"3185","DVD GENERAL AREA, NON-SPECIFIC",1101
"3186","DVN GENERAL AREA, NON-SPECIFIC",23
"3187","DWIGHT CORRECTIONAL CENTER, IL",7
"3188","DWIGHT CORRECTIONAL CENTER, IL (ILLINOIS DOC)",6
"3189","Darrell B. Hester Juvenil Detention Center",18
"3190","Daviess County Detention Center",111
"3191","Dearborn Heights",5
"3192","Defiance County, OH",15
"3193","Del Mar, CA",2
"3194","Documnet Fraud TF, San Diego, CA",1
"3195","Doresy Run Correctional Facility",1
"3196","E DIST OK MUSKOGEE DIV ADAIR CO CRIM AT LARGE",7
"3197","E DIST OK MUSKOGEE DIV ATOKA CO AT LARGE",1
"3198","E DIST OK MUSKOGEE DIV BRYAN CO AT LARGE",2
"3199","E DIST OK MUSKOGEE DIV BRYAN CO CRIM AT LARGE",2
"3200","E DIST OK MUSKOGEE DIV BRYAN CO PROBATION",1
"3201","E DIST OK MUSKOGEE DIV CHEROKEE CO AT LARGE",1
"3202","E DIST OK MUSKOGEE DIV CHEROKEE CO CRIM AT LARGE",10
"3203","E DIST OK MUSKOGEE DIV CHEROKEE CO PROBATION",2
"3204","E DIST OK MUSKOGEE DIV CHOCKTAW CO CRIM AT LARGE",3
"3205","E DIST OK MUSKOGEE DIV HAKSELL CO CRIM AT LARGE",1
"3206","E DIST OK MUSKOGEE DIV HASKELL CO NON CRIM",2
"3207","E DIST OK MUSKOGEE DIV HUGHES CO CRIM AT LARGE",1
"3208","E DIST OK MUSKOGEE DIV JOHNSTON CO AT LARGE",1
"3209","E DIST OK MUSKOGEE DIV LATIMER CO AT LARGE",2
"3210","E DIST OK MUSKOGEE DIV LATIMER CO CRIM AT LARGE",2
"3211","E DIST OK MUSKOGEE DIV LATIMIER CO CRIM AT LARGE",1
"3212","E DIST OK MUSKOGEE DIV LEFLORE CO AT LARGE",3
"3213","E DIST OK MUSKOGEE DIV LEFLORE CO CRIM AT LARGE",12
"3214","E DIST OK MUSKOGEE DIV LOVE CO PROBATION",1
"3215","E DIST OK MUSKOGEE DIV MARSHALL CO CRIM AT LARGE",2
"3216","E DIST OK MUSKOGEE DIV MCCURTAIN CO CRIM AT LARGE",2
"3217","E DIST OK MUSKOGEE DIV MURRAY CO CRIM AT LARGE",1
"3218","E DIST OK MUSKOGEE DIV MUSKOGEE CO AT LARGE",3
